project,algorithm,batch_size,builds_saved,median_delay,testall_size
apache-tajo.csv,BATCHBISECT,2,17.767295597484278,0.5,1272
apache-tajo.csv,BATCHBISECT,4,21.698113207547166,1.5,1272
apache-tajo.csv,BATCHBISECT,8,19.88993710691824,3.5,1272
apache-tajo.csv,BATCHBISECT,16,17.767295597484278,8.0,1272
apache-tajo.csv,BATCHSTOP4,8,31.05345911949685,3.5,1272
apache-tajo.csv,BATCHSTOP4,16,28.93081761006289,8.0,1272
osmdroid-osmdroid.csv,BATCHBISECT,2,-9.949622166246854,0.5,794
osmdroid-osmdroid.csv,BATCHBISECT,4,-17.506297229219143,2.0,794
osmdroid-osmdroid.csv,BATCHBISECT,8,-23.929471032745596,4.0,794
osmdroid-osmdroid.csv,BATCHBISECT,16,-28.715365239294698,8.0,794
osmdroid-osmdroid.csv,BATCHSTOP4,8,3.0226700251889156,4.0,794
osmdroid-osmdroid.csv,BATCHSTOP4,16,-2.5188916876574297,8.0,794
DSpace-DSpace.csv,BATCHBISECT,2,40.15696533682145,1,1529
DSpace-DSpace.csv,BATCHBISECT,4,56.245912361020274,2,1529
DSpace-DSpace.csv,BATCHBISECT,8,61.41268803139307,4,1529
DSpace-DSpace.csv,BATCHBISECT,16,62.459123610202745,8,1529
DSpace-DSpace.csv,BATCHSTOP4,8,62.328319162851535,4,1529
DSpace-DSpace.csv,BATCHSTOP4,16,63.243950294310004,8,1529
apache-nifi.csv,BATCHBISECT,2,12.731871838111303,0.5,1186
apache-nifi.csv,BATCHBISECT,4,13.40640809443508,2.0,1186
apache-nifi.csv,BATCHBISECT,8,10.033726812816184,4.0,1186
apache-nifi.csv,BATCHBISECT,16,5.9865092748735265,8.0,1186
apache-nifi.csv,BATCHSTOP4,8,22.681281618887013,4.0,1186
apache-nifi.csv,BATCHSTOP4,16,18.634064080944356,8.0,1186
caelum-vraptor4.csv,BATCHBISECT,2,31.18393234672304,0.5,946
caelum-vraptor4.csv,BATCHBISECT,4,41.120507399577164,2.0,946
caelum-vraptor4.csv,BATCHBISECT,8,42.81183932346723,4.0,946
caelum-vraptor4.csv,BATCHBISECT,16,40.80338266384778,8.0,946
caelum-vraptor4.csv,BATCHSTOP4,8,46.61733615221987,4.0,946
caelum-vraptor4.csv,BATCHSTOP4,16,44.60887949260042,8.0,946
grails-grails-core.csv,BATCHBISECT,2,4.671968190854869,0.5,1006
grails-grails-core.csv,BATCHBISECT,4,-1.3916500994035772,2.0,1006
grails-grails-core.csv,BATCHBISECT,8,-8.349900596421477,4.0,1006
grails-grails-core.csv,BATCHBISECT,16,-13.419483101391648,8.0,1006
grails-grails-core.csv,BATCHSTOP4,8,5.964214711729625,4.0,1006
grails-grails-core.csv,BATCHSTOP4,16,0.8946322067594394,8.0,1006
square-wire.csv,BATCHBISECT,2,39.72093023255814,1,1075
square-wire.csv,BATCHBISECT,4,57.30232558139535,2,1075
square-wire.csv,BATCHBISECT,8,64.0,4,1075
square-wire.csv,BATCHBISECT,16,65.58139534883722,8,1075
square-wire.csv,BATCHSTOP4,8,66.7906976744186,4,1075
square-wire.csv,BATCHSTOP4,16,68.37209302325581,8,1075
puniverse-quasar.csv,BATCHBISECT,2,35.172413793103445,0.5,1160
puniverse-quasar.csv,BATCHBISECT,4,47.93103448275862,1.5,1160
puniverse-quasar.csv,BATCHBISECT,8,49.741379310344826,3.5,1160
puniverse-quasar.csv,BATCHBISECT,16,48.36206896551724,8.0,1160
puniverse-quasar.csv,BATCHSTOP4,8,52.327586206896555,3.5,1160
puniverse-quasar.csv,BATCHSTOP4,16,50.94827586206897,8.0,1160
dropwizard-dropwizard.csv,BATCHBISECT,2,38.25331971399387,0.5,1958
dropwizard-dropwizard.csv,BATCHBISECT,4,54.85188968335036,2.0,1958
dropwizard-dropwizard.csv,BATCHBISECT,8,61.1338100102145,4.0,1958
dropwizard-dropwizard.csv,BATCHBISECT,16,62.87027579162411,8.0,1958
dropwizard-dropwizard.csv,BATCHSTOP4,8,64.50459652706843,4.0,1958
dropwizard-dropwizard.csv,BATCHSTOP4,16,66.24106230847804,8.0,1958
essentials-Essentials.csv,BATCHBISECT,2,-21.917808219178085,1,73
essentials-Essentials.csv,BATCHBISECT,4,-41.0958904109589,2,73
essentials-Essentials.csv,BATCHBISECT,8,-53.42465753424656,4,73
essentials-Essentials.csv,BATCHBISECT,16,-57.53424657534248,8,73
essentials-Essentials.csv,BATCHSTOP4,8,-26.027397260273972,4,73
essentials-Essentials.csv,BATCHSTOP4,16,-32.87671232876713,8,73
mybatis-mybatis-3.csv,BATCHBISECT,2,41.68260038240918,0.5,2092
mybatis-mybatis-3.csv,BATCHBISECT,4,61.61567877629063,1.5,2092
mybatis-mybatis-3.csv,BATCHBISECT,8,70.07648183556405,4.0,2092
mybatis-mybatis-3.csv,BATCHBISECT,16,73.08795411089866,8.0,2092
mybatis-mybatis-3.csv,BATCHSTOP4,8,73.32695984703633,4.0,2092
mybatis-mybatis-3.csv,BATCHSTOP4,16,76.33843212237093,8.0,2092
naver-pinpoint.csv,BATCHBISECT,2,34.019557385486365,1,1943
naver-pinpoint.csv,BATCHBISECT,4,48.43026248069995,2,1943
naver-pinpoint.csv,BATCHBISECT,8,53.42254246011323,4,1943
naver-pinpoint.csv,BATCHBISECT,16,54.6062789500772,8,1943
naver-pinpoint.csv,BATCHSTOP4,8,58.672156459083894,4,1943
naver-pinpoint.csv,BATCHSTOP4,16,59.85589294904786,8,1943
FasterXML-jackson-databind.csv,BATCHBISECT,2,19.521178637200734,0.5,2172
FasterXML-jackson-databind.csv,BATCHBISECT,4,26.74953959484347,1.5,2172
FasterXML-jackson-databind.csv,BATCHBISECT,8,28.176795580110493,4.0,2172
FasterXML-jackson-databind.csv,BATCHBISECT,16,26.887661141804784,8.0,2172
FasterXML-jackson-databind.csv,BATCHSTOP4,8,40.88397790055249,4.0,2172
FasterXML-jackson-databind.csv,BATCHSTOP4,16,39.50276243093923,8.0,2172
samtools-htsjdk.csv,BATCHBISECT,2,40.08647313156269,1,1619
samtools-htsjdk.csv,BATCHBISECT,4,56.94873378628783,2,1619
samtools-htsjdk.csv,BATCHBISECT,8,63.49598517603459,4,1619
samtools-htsjdk.csv,BATCHBISECT,16,65.04014823965412,8,1619
samtools-htsjdk.csv,BATCHSTOP4,8,65.22544780728845,4,1619
samtools-htsjdk.csv,BATCHSTOP4,16,66.76961087090797,8,1619
deeplearning4j-deeplearning4j.csv,BATCHBISECT,2,-41.19565217391303,0.5,1840
deeplearning4j-deeplearning4j.csv,BATCHBISECT,4,-63.260869565217405,1.5,1840
deeplearning4j-deeplearning4j.csv,BATCHBISECT,8,-74.8913043478261,3.5,1840
deeplearning4j-deeplearning4j.csv,BATCHBISECT,16,-80.92391304347825,7.5,1840
deeplearning4j-deeplearning4j.csv,BATCHSTOP4,8,-30.760869565217405,3.5,1840
deeplearning4j-deeplearning4j.csv,BATCHSTOP4,16,-36.79347826086956,7.5,1840
open-keychain-open-keychain.csv,BATCHBISECT,2,20.247933884297524,0.5,1694
open-keychain-open-keychain.csv,BATCHBISECT,4,24.79338842975207,2.0,1694
open-keychain-open-keychain.csv,BATCHBISECT,8,22.786304604486418,4.0,1694
open-keychain-open-keychain.csv,BATCHBISECT,16,19.480519480519476,8.0,1694
open-keychain-open-keychain.csv,BATCHSTOP4,8,31.995277449822908,4.0,1694
open-keychain-open-keychain.csv,BATCHSTOP4,16,28.689492325855966,8.0,1694
yegor256-takes.csv,BATCHBISECT,2,19.696969696969703,0.5,1914
yegor256-takes.csv,BATCHBISECT,4,26.071055381400214,2.0,1914
yegor256-takes.csv,BATCHBISECT,8,26.54127481713688,4.0,1914
yegor256-takes.csv,BATCHBISECT,16,24.660397074190172,8.0,1914
yegor256-takes.csv,BATCHSTOP4,8,38.244514106583075,4.0,1914
yegor256-takes.csv,BATCHSTOP4,16,36.36363636363637,8.0,1914
keycloak-keycloak.csv,BATCHBISECT,2,34.81244281793229,0.5,2186
keycloak-keycloak.csv,BATCHBISECT,4,46.61482159194877,2.0,2186
keycloak-keycloak.csv,BATCHBISECT,8,48.85635864592864,4.0,2186
keycloak-keycloak.csv,BATCHBISECT,16,47.80420860018298,8.0,2186
keycloak-keycloak.csv,BATCHSTOP4,8,50.86916742909423,4.0,2186
keycloak-keycloak.csv,BATCHSTOP4,16,49.72552607502287,8.0,2186
rackerlabs-blueflood.csv,BATCHBISECT,2,25.012285012285005,1,2035
rackerlabs-blueflood.csv,BATCHBISECT,4,32.92383292383292,2,2035
rackerlabs-blueflood.csv,BATCHBISECT,8,33.513513513513516,4,2035
