,project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size
0,junit-team-junit5.csv,BATCHBISECT,-1,linear,1,558,67.09905660377359,1696
1,junit-team-junit5.csv,BATCHBISECT,-1,linear,2,566,66.62735849056604,1696
2,junit-team-junit5.csv,BATCHBISECT,-1,linear,3,565,66.68632075471697,1696
3,junit-team-junit5.csv,BATCHBISECT,-1,linear,4,577,65.97877358490567,1696
4,junit-team-junit5.csv,BATCHSTOP4,-1,linear,1,533,68.57311320754717,1696
5,junit-team-junit5.csv,BATCHSTOP4,-1,linear,2,539,68.21933962264151,1696
6,junit-team-junit5.csv,BATCHSTOP4,-1,linear,3,542,68.04245283018868,1696
7,junit-team-junit5.csv,BATCHSTOP4,-1,linear,4,558,67.09905660377359,1696
8,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,1,724,57.31132075471698,1696
9,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,2,729,57.01650943396226,1696
10,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,3,731,56.89858490566038,1696
11,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,4,751,55.719339622641506,1696
12,junit-team-junit5.csv,BATCHBISECT,-1,exponential,2,573,66.21462264150944,1696
13,junit-team-junit5.csv,BATCHBISECT,-1,exponential,3,590,65.2122641509434,1696
14,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,2,549,67.62971698113208,1696
15,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,3,570,66.39150943396226,1696
16,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,2,716,57.783018867924525,1696
17,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,3,615,63.738207547169814,1696
18,junit-team-junit5.csv,BATCHBISECT,-1,stagger,2,577,65.97877358490567,1696
19,junit-team-junit5.csv,BATCHBISECT,-1,stagger,3,574,66.15566037735849,1696
20,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,2,571,66.33254716981132,1696
21,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,3,550,67.57075471698113,1696
22,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,2,749,55.8372641509434,1696
23,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,3,725,57.25235849056604,1696
24,junit-team-junit5.csv,BATCHBISECT,-1,random_linear,-1,589,65.27122641509433,1696
25,junit-team-junit5.csv,BATCHSTOP4,-1,random_linear,-1,572,66.27358490566039,1696
26,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_linear,-1,274,83.84433962264151,1696
27,junit-team-junit5.csv,BATCHBISECT,-1,random_exponential,-1,599,64.6816037735849,1696
28,junit-team-junit5.csv,BATCHSTOP4,-1,random_exponential,-1,571,66.33254716981132,1696
29,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_exponential,-1,350,79.36320754716981,1696
30,junit-team-junit5.csv,BATCHBISECT,-1,random_random,-1,603,64.44575471698113,1696
31,junit-team-junit5.csv,BATCHSTOP4,-1,random_random,-1,542,68.04245283018868,1696
32,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_random,-1,745,56.073113207547166,1696
33,ratpack-ratpack.csv,BATCHBISECT,-1,linear,1,1829,2.5053304904051146,1876
34,ratpack-ratpack.csv,BATCHBISECT,-1,linear,2,1852,1.2793176972281515,1876
35,ratpack-ratpack.csv,BATCHBISECT,-1,linear,3,1854,1.1727078891258031,1876
36,ratpack-ratpack.csv,BATCHBISECT,-1,linear,4,1894,-0.9594882729211065,1876
37,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,1,2075,-10.607675906183374,1876
38,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,2,2108,-12.366737739872065,1876
39,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,3,2077,-10.714285714285708,1876
40,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,4,2158,-15.031982942430702,1876
41,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,1,2085,-11.140724946695101,1876
42,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,2,2116,-12.793176972281444,1876
43,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,3,2094,-11.620469083155655,1876
44,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,4,2142,-14.179104477611943,1876
45,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,2,1848,1.492537313432834,1876
46,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,3,1862,0.7462686567164241,1876
47,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,2,2066,-10.12793176972282,1876
48,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,3,2094,-11.620469083155655,1876
49,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,2,2071,-10.394456289978677,1876
50,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,3,2094,-11.620469083155655,1876
51,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,2,1778,5.223880597014926,1876
52,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,3,1881,-0.2665245202558566,1876
53,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,2,2116,-12.793176972281444,1876
54,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,3,2140,-14.072494669509595,1876
55,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,2,2130,-13.539445628997868,1876
56,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,3,2138,-13.965884861407247,1876
57,ratpack-ratpack.csv,BATCHBISECT,-1,random_linear,-1,2034,-8.42217484008529,1876
58,ratpack-ratpack.csv,BATCHSTOP4,-1,random_linear,-1,2176,-15.991471215351808,1876
59,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_linear,-1,1898,-1.1727078891258031,1876
60,ratpack-ratpack.csv,BATCHBISECT,-1,random_exponential,-1,1912,-1.918976545842213,1876
61,ratpack-ratpack.csv,BATCHSTOP4,-1,random_exponential,-1,2127,-13.379530916844345,1876
62,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_exponential,-1,1913,-1.9722814498933872,1876
63,ratpack-ratpack.csv,BATCHBISECT,-1,random_random,-1,1982,-5.650319829424305,1876
64,ratpack-ratpack.csv,BATCHSTOP4,-1,random_random,-1,2106,-12.260127931769716,1876
65,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_random,-1,2195,-17.00426439232409,1876
66,p6spy-p6spy.csv,BATCHBISECT,-1,linear,1,1117,13.276397515527947,1288
67,p6spy-p6spy.csv,BATCHBISECT,-1,linear,2,1106,14.130434782608702,1288
68,p6spy-p6spy.csv,BATCHBISECT,-1,linear,3,1104,14.285714285714292,1288
69,p6spy-p6spy.csv,BATCHBISECT,-1,linear,4,1116,13.354037267080741,1288
70,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,1,1187,7.841614906832305,1288
71,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,2,1187,7.841614906832305,1288
72,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,3,1173,8.92857142857143,1288
73,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,4,1218,5.434782608695656,1288
74,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,1,1243,3.4937888198757747,1288
75,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,2,1244,3.41614906832298,1288
76,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,3,1228,4.658385093167695,1288
77,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,4,1282,0.46583850931676807,1288
78,p6spy-p6spy.csv,BATCHBISECT,-1,exponential,2,1109,13.897515527950304,1288
79,p6spy-p6spy.csv,BATCHBISECT,-1,exponential,3,1089,15.450310559006212,1288
80,p6spy-p6spy.csv,BATCHSTOP4,-1,exponential,2,1201,6.754658385093165,1288
81,p6spy-p6spy.csv,BATCHSTOP4,-1,exponential,3,1230,4.5031055900621055,1288
82,p6spy-p6spy.csv,BATCHDIVIDE4,-1,exponential,2,1252,2.7950310559006226,1288
83,p6spy-p6spy.csv,BATCHDIVIDE4,-1,exponential,3,1254,2.6397515527950333,1288
84,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,2,1051,18.400621118012424,1288
85,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,3,1096,14.90683229813665,1288
86,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,2,1250,2.950310559006212,1288
87,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,3,1240,3.7267080745341588,1288
88,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,2,1296,-0.6211180124223574,1288
89,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,3,1280,0.6211180124223574,1288
90,p6spy-p6spy.csv,BATCHBISECT,-1,random_linear,-1,1209,6.133540372670808,1288
91,p6spy-p6spy.csv,BATCHSTOP4,-1,random_linear,-1,1222,5.124223602484477,1288
92,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_linear,-1,1111,13.742236024844715,1288
93,p6spy-p6spy.csv,BATCHBISECT,-1,random_exponential,-1,1143,11.257763975155285,1288
94,p6spy-p6spy.csv,BATCHSTOP4,-1,random_exponential,-1,1205,6.444099378881987,1288
95,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_exponential,-1,1164,9.627329192546583,1288
96,p6spy-p6spy.csv,BATCHBISECT,-1,random_random,-1,1219,5.357142857142861,1288
97,p6spy-p6spy.csv,BATCHSTOP4,-1,random_random,-1,1198,6.987577639751549,1288
98,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_random,-1,1260,2.173913043478265,1288
99,apache-tajo.csv,BATCHBISECT,-1,linear,1,993,22.84382284382285,1287
100,apache-tajo.csv,BATCHBISECT,-1,linear,2,979,23.931623931623932,1287
101,apache-tajo.csv,BATCHBISECT,-1,linear,3,993,22.84382284382285,1287
102,apache-tajo.csv,BATCHBISECT,-1,linear,4,996,22.610722610722604,1287
103,apache-tajo.csv,BATCHSTOP4,-1,linear,1,904,29.759129759129763,1287
