,Unnamed: 0,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs,verdict
0,1525575,45853383,CloudSlang/cloud-slang,False,,,java,,master,,,merge_found,,,,13,64d15f54bdc50507666d01dce31d2414a292d804#e406d46eafe29ddce4bd5999ca316c9813ad1dcd#856015fbabc05a3de099847a21df300f624b0377#9db2ee49048087e98b61e093ec4cd146f20ab2ce#13f8f17ae59096b4e7467312e07c9035b883e273,5,64d15f54bdc50507666d01dce31d2414a292d804,,,0,,0,0,4,0,14,0,0,0,0,18,71,2966,1428.86041807148,80.5799055967633,148.010788941335,True,,,2015-01-04 15:02:48,69.17,285,45853386,1,java,unknown,0.0,java-maven,,False,,,,,,,,,,0.0,,64d15f54bdc50507666d01dce31d2414a292d804,31.0,errored,[45853386],1
1,1525576,45853639,CloudSlang/cloud-slang,False,,,java,,master,,,build_found,64d15f54bdc50507666d01dce31d2414a292d804,45853383.0,,13,5b360f5b3aa62746fa2ba66adfcc9461fbbbf0bf,1,5b360f5b3aa62746fa2ba66adfcc9461fbbbf0bf,,,0,,0,0,0,0,1,0,0,0,0,1,4,2966,1428.86041807148,80.5799055967633,148.010788941335,True,,,2015-01-04 15:04:45,69.18,286,45853640,2,java,unknown,0.0,java-maven,,False,,,,,,,,,,0.0,,5b360f5b3aa62746fa2ba66adfcc9461fbbbf0bf,31.0,errored,[45853640],1
2,1525796,45860664,CloudSlang/cloud-slang,False,,,java,,clean-docker-env-flow,,,build_found,64d15f54bdc50507666d01dce31d2414a292d804,45853383.0,,13,5b360f5b3aa62746fa2ba66adfcc9461fbbbf0bf,1,5b360f5b3aa62746fa2ba66adfcc9461fbbbf0bf,,,0,,0,0,0,0,1,0,0,0,0,1,4,2966,1428.86041807148,80.5799055967633,148.010788941335,True,,,2015-01-04 16:29:33,69.18,286,45860665,3,java,unknown,0.0,java-maven,,False,,,,,,,,,,0.0,,5b360f5b3aa62746fa2ba66adfcc9461fbbbf0bf,41.0,errored,[45860665],1
3,1526020,45868038,CloudSlang/cloud-slang,False,,,java,,docker-clean-env-flow-example,,,build_found,5b360f5b3aa62746fa2ba66adfcc9461fbbbf0bf,45860664.0,,13,85cef371552301be1d434748c450da58804ced6c#3b67cdecdf09c2a2dc517fdf700426ea4b4d3636,2,85cef371552301be1d434748c450da58804ced6c,,,0,,0,0,0,0,2,0,0,0,0,2,19,2966,1428.86041807148,80.5799055967633,148.010788941335,True,,,2015-01-04 18:03:51,69.3,288,45868039,4,java,unknown,0.0,java-maven,,False,,,,,,,,,,0.0,,85cef371552301be1d434748c450da58804ced6c,33.0,errored,[45868039],0
4,1526021,45868273,CloudSlang/cloud-slang,False,,,java,,master,,,merge_found,,,,13,473abc29ac1ffb51670ab253fbca3d24dde516d6,1,473abc29ac1ffb51670ab253fbca3d24dde516d6,,,0,,0,0,0,0,2,0,0,0,0,2,21,2966,1428.86041807148,80.5799055967633,148.010788941335,True,,,2015-01-04 18:07:58,69.3,289,45868274,6,java,unknown,0.0,java-maven,,False,,,,,,,,,,0.0,,473abc29ac1ffb51670ab253fbca3d24dde516d6,33.0,errored,[45868274],0
5,1526030,45868372,CloudSlang/cloud-slang,False,,,java,,test-branch,,,merge_found,,,,13,473abc29ac1ffb51670ab253fbca3d24dde516d6,1,473abc29ac1ffb51670ab253fbca3d24dde516d6,,,0,,0,0,0,0,2,0,0,0,0,2,21,2966,1428.86041807148,80.5799055967633,148.010788941335,True,,,2015-01-04 18:09:30,69.3,289,45868373,7,java,unknown,0.0,java-maven,,False,,,,,,,,,,0.0,,473abc29ac1ffb51670ab253fbca3d24dde516d6,36.0,errored,[45868373],0
6,1527636,45937677,CloudSlang/cloud-slang,False,,,java,,master,,,build_found,473abc29ac1ffb51670ab253fbca3d24dde516d6,45868372.0,,13,032273318ab7b61c29faa47c6ba21eefc4656b83,1,032273318ab7b61c29faa47c6ba21eefc4656b83,,,0,,0,0,0,0,1,0,0,0,0,1,44,2966,1428.86041807148,80.5799055967633,148.010788941335,True,,,2015-01-05 12:37:03,70.06,290,45937678,9,java,unknown,0.0,java-maven,,False,,,,,,,,,,0.0,,032273318ab7b61c29faa47c6ba21eefc4656b83,130.0,errored,[45937678],0
7,1528110,45959095,CloudSlang/cloud-slang,False,,,java,,master,,,build_found,032273318ab7b61c29faa47c6ba21eefc4656b83,45937677.0,,13,c7e088d887e3f73c62cea06e13368c9951565f7a,1,c7e088d887e3f73c62cea06e13368c9951565f7a,,,0,,0,0,0,0,2,0,0,0,0,2,5,2966,1428.86041807148,80.5799055967633,148.010788941335,True,,,2015-01-05 15:50:33,70.2,291,45959096,10,java,unknown,1.0,java-maven,,False,,,,,,,,,,0.0,,c7e088d887e3f73c62cea06e13368c9951565f7a,151.0,errored,[45959096],0
8,1528182,45962085,CloudSlang/cloud-slang,False,,,java,,clear_images_flow,,,build_found,c7e088d887e3f73c62cea06e13368c9951565f7a,45959095.0,,13,d3be632ffcae00cb185ca1468f00ea569c930004,1,d3be632ffcae00cb185ca1468f00ea569c930004,,,0,,0,0,1,0,1,0,0,0,0,2,22,2966,1428.86041807148,80.5799055967633,148.010788941335,True,,,2015-01-05 15:57:08,70.21,292,45962086,11,java,unknown,0.0,java-maven,,False,,,,,,,,,,0.0,,d3be632ffcae00cb185ca1468f00ea569c930004,116.0,errored,[45962086],0
9,1528226,45964260,CloudSlang/cloud-slang,False,,,java,,clear_images_flow,,,build_found,d3be632ffcae00cb185ca1468f00ea569c930004,45962085.0,,13,42ca7ce7e074f0c2b1e25ea5c035f1fe03af2853,1,42ca7ce7e074f0c2b1e25ea5c035f1fe03af2853,,,0,,0,0,0,0,1,0,0,0,0,1,23,2966,1428.86041807148,80.5799055967633,148.010788941335,True,,,2015-01-05 16:18:02,70.23,293,45964261,12,java,unknown,0.0,java-maven,,False,,,,,,,,,,0.0,,42ca7ce7e074f0c2b1e25ea5c035f1fe03af2853,166.0,errored,[45964261],0
