,Unnamed: 0,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs,verdict
0,213534,4016499,dreamhead/moco,False,,,java,,master,,,merge_found,,,,2,1cfffa12a8044b953d62d12f8cb00340600acd12#c1610f37f6f807f803dfa35fe147d5b3f200e846#5dca2824b93a166ec2bec4ccd07759a20bfacc49#024549176f459f36505335681b2e4aad5ac7ae5b#5538dcbe6d1caf74309d16b730306506d697773d#0a33356ac5060b9a11939d1b6de33cb7c798d524#65b035d52755c36c7bf5ece4754ff3c5ab0e6420#fbcb7e33d9e1060ebaae00cd1cbde409ad60aee4#b86d9747724d84bfb1beb6ff6ba86dad1872884d#6c1cba11610d5fa4544ab67636e7db599d2b953a#9e1f330c817859403deacd8e5957b69bdb4188d3#c6c85335f425647bf992b6926df30b006d2122ef#a20264d15dc7337dcb2134e7f029b621919e84ec,13,1cfffa12a8044b953d62d12f8cb00340600acd12,,,0,,0,0,22,0,24,0,0,0,0,42,34,1301,637.202152190623,53.0361260568793,51.4988470407379,True,,,2013-01-08 05:39:45,81.86,89,4016500,1,java,unknown,,java-gradle,,False,,,,,,,,,,,,1cfffa12a8044b953d62d12f8cb00340600acd12,93.0,failed,"[4016500, 4016502, 4016501]",1
1,213535,4016499,dreamhead/moco,False,,,java,,master,,,merge_found,,,,2,1cfffa12a8044b953d62d12f8cb00340600acd12#c1610f37f6f807f803dfa35fe147d5b3f200e846#5dca2824b93a166ec2bec4ccd07759a20bfacc49#024549176f459f36505335681b2e4aad5ac7ae5b#5538dcbe6d1caf74309d16b730306506d697773d#0a33356ac5060b9a11939d1b6de33cb7c798d524#65b035d52755c36c7bf5ece4754ff3c5ab0e6420#fbcb7e33d9e1060ebaae00cd1cbde409ad60aee4#b86d9747724d84bfb1beb6ff6ba86dad1872884d#6c1cba11610d5fa4544ab67636e7db599d2b953a#9e1f330c817859403deacd8e5957b69bdb4188d3#c6c85335f425647bf992b6926df30b006d2122ef#a20264d15dc7337dcb2134e7f029b621919e84ec,13,1cfffa12a8044b953d62d12f8cb00340600acd12,,,0,,0,0,22,0,24,0,0,0,0,42,34,1301,637.202152190623,53.0361260568793,51.4988470407379,True,,,2013-01-08 05:39:45,81.86,89,4016501,1,java,unknown,,java-gradle,,False,,,,,,,,,,,,1cfffa12a8044b953d62d12f8cb00340600acd12,93.0,failed,"[4016500, 4016502, 4016501]",1
2,213536,4016499,dreamhead/moco,False,,,java,,master,,,merge_found,,,,2,1cfffa12a8044b953d62d12f8cb00340600acd12#c1610f37f6f807f803dfa35fe147d5b3f200e846#5dca2824b93a166ec2bec4ccd07759a20bfacc49#024549176f459f36505335681b2e4aad5ac7ae5b#5538dcbe6d1caf74309d16b730306506d697773d#0a33356ac5060b9a11939d1b6de33cb7c798d524#65b035d52755c36c7bf5ece4754ff3c5ab0e6420#fbcb7e33d9e1060ebaae00cd1cbde409ad60aee4#b86d9747724d84bfb1beb6ff6ba86dad1872884d#6c1cba11610d5fa4544ab67636e7db599d2b953a#9e1f330c817859403deacd8e5957b69bdb4188d3#c6c85335f425647bf992b6926df30b006d2122ef#a20264d15dc7337dcb2134e7f029b621919e84ec,13,1cfffa12a8044b953d62d12f8cb00340600acd12,,,0,,0,0,22,0,24,0,0,0,0,42,34,1301,637.202152190623,53.0361260568793,51.4988470407379,True,,,2013-01-08 05:39:45,81.86,89,4016502,1,java,unknown,,java-gradle,,False,,,,,,,,,,,,1cfffa12a8044b953d62d12f8cb00340600acd12,93.0,failed,"[4016500, 4016502, 4016501]",1
3,213537,4016544,dreamhead/moco,False,,,java,,master,,,merge_found,,,,2,1cfffa12a8044b953d62d12f8cb00340600acd12#c1610f37f6f807f803dfa35fe147d5b3f200e846#5dca2824b93a166ec2bec4ccd07759a20bfacc49#024549176f459f36505335681b2e4aad5ac7ae5b#5538dcbe6d1caf74309d16b730306506d697773d#0a33356ac5060b9a11939d1b6de33cb7c798d524#65b035d52755c36c7bf5ece4754ff3c5ab0e6420#fbcb7e33d9e1060ebaae00cd1cbde409ad60aee4#b86d9747724d84bfb1beb6ff6ba86dad1872884d#6c1cba11610d5fa4544ab67636e7db599d2b953a#9e1f330c817859403deacd8e5957b69bdb4188d3#c6c85335f425647bf992b6926df30b006d2122ef#a20264d15dc7337dcb2134e7f029b621919e84ec,13,1cfffa12a8044b953d62d12f8cb00340600acd12,,,0,,0,0,22,0,24,0,0,0,0,42,34,1301,637.202152190623,53.0361260568793,51.4988470407379,True,,,2013-01-08 05:40:18,81.86,89,4016545,2,java,unknown,,java-gradle,,False,,,,,,,,,,,,1cfffa12a8044b953d62d12f8cb00340600acd12,81.0,failed,"[4016546, 4016545, 4016547]",1
4,213538,4016544,dreamhead/moco,False,,,java,,master,,,merge_found,,,,2,1cfffa12a8044b953d62d12f8cb00340600acd12#c1610f37f6f807f803dfa35fe147d5b3f200e846#5dca2824b93a166ec2bec4ccd07759a20bfacc49#024549176f459f36505335681b2e4aad5ac7ae5b#5538dcbe6d1caf74309d16b730306506d697773d#0a33356ac5060b9a11939d1b6de33cb7c798d524#65b035d52755c36c7bf5ece4754ff3c5ab0e6420#fbcb7e33d9e1060ebaae00cd1cbde409ad60aee4#b86d9747724d84bfb1beb6ff6ba86dad1872884d#6c1cba11610d5fa4544ab67636e7db599d2b953a#9e1f330c817859403deacd8e5957b69bdb4188d3#c6c85335f425647bf992b6926df30b006d2122ef#a20264d15dc7337dcb2134e7f029b621919e84ec,13,1cfffa12a8044b953d62d12f8cb00340600acd12,,,0,,0,0,22,0,24,0,0,0,0,42,34,1301,637.202152190623,53.0361260568793,51.4988470407379,True,,,2013-01-08 05:40:18,81.86,89,4016546,2,java,unknown,,java-gradle,,False,,,,,,,,,,,,1cfffa12a8044b953d62d12f8cb00340600acd12,81.0,failed,"[4016546, 4016545, 4016547]",1
5,213539,4016544,dreamhead/moco,False,,,java,,master,,,merge_found,,,,2,1cfffa12a8044b953d62d12f8cb00340600acd12#c1610f37f6f807f803dfa35fe147d5b3f200e846#5dca2824b93a166ec2bec4ccd07759a20bfacc49#024549176f459f36505335681b2e4aad5ac7ae5b#5538dcbe6d1caf74309d16b730306506d697773d#0a33356ac5060b9a11939d1b6de33cb7c798d524#65b035d52755c36c7bf5ece4754ff3c5ab0e6420#fbcb7e33d9e1060ebaae00cd1cbde409ad60aee4#b86d9747724d84bfb1beb6ff6ba86dad1872884d#6c1cba11610d5fa4544ab67636e7db599d2b953a#9e1f330c817859403deacd8e5957b69bdb4188d3#c6c85335f425647bf992b6926df30b006d2122ef#a20264d15dc7337dcb2134e7f029b621919e84ec,13,1cfffa12a8044b953d62d12f8cb00340600acd12,,,0,,0,0,22,0,24,0,0,0,0,42,34,1301,637.202152190623,53.0361260568793,51.4988470407379,True,,,2013-01-08 05:40:18,81.86,89,4016547,2,java,unknown,,java-gradle,,False,,,,,,,,,,,,1cfffa12a8044b953d62d12f8cb00340600acd12,81.0,failed,"[4016546, 4016545, 4016547]",1
6,213540,4016713,dreamhead/moco,False,,,java,,master,,,build_found,1cfffa12a8044b953d62d12f8cb00340600acd12,4016544.0,,2,5aa528c49b9dde7cd3ae820e3c61ed3087b2a290,1,5aa528c49b9dde7cd3ae820e3c61ed3087b2a290,,,0,,0,0,0,0,1,0,0,0,0,1,23,1301,637.202152190623,53.0361260568793,51.4988470407379,True,,,2013-01-08 05:56:04,81.87,90,4016714,3,java,unknown,,java-gradle,,False,,,,,,,,,,,,5aa528c49b9dde7cd3ae820e3c61ed3087b2a290,132.0,failed,"[4016715, 4016714, 4016716]",0
7,213541,4016713,dreamhead/moco,False,,,java,,master,,,build_found,1cfffa12a8044b953d62d12f8cb00340600acd12,4016544.0,,2,5aa528c49b9dde7cd3ae820e3c61ed3087b2a290,1,5aa528c49b9dde7cd3ae820e3c61ed3087b2a290,,,0,,0,0,0,0,1,0,0,0,0,1,23,1301,637.202152190623,53.0361260568793,51.4988470407379,True,,,2013-01-08 05:56:04,81.87,90,4016715,3,java,unknown,,java-gradle,,False,,,,,,,,,,,,5aa528c49b9dde7cd3ae820e3c61ed3087b2a290,132.0,failed,"[4016715, 4016714, 4016716]",0
8,213542,4016713,dreamhead/moco,False,,,java,,master,,,build_found,1cfffa12a8044b953d62d12f8cb00340600acd12,4016544.0,,2,5aa528c49b9dde7cd3ae820e3c61ed3087b2a290,1,5aa528c49b9dde7cd3ae820e3c61ed3087b2a290,,,0,,0,0,0,0,1,0,0,0,0,1,23,1301,637.202152190623,53.0361260568793,51.4988470407379,True,,,2013-01-08 05:56:04,81.87,90,4016716,3,java,unknown,,java-gradle,,False,,,,,,,,,,,,5aa528c49b9dde7cd3ae820e3c61ed3087b2a290,132.0,failed,"[4016715, 4016714, 4016716]",0
9,213606,4018683,dreamhead/moco,False,,,java,,master,,,build_found,5aa528c49b9dde7cd3ae820e3c61ed3087b2a290,4016713.0,,2,8d1d465e14b286f485bf3c056fbf18a4c5418adb,1,8d1d465e14b286f485bf3c056fbf18a4c5418adb,,,0,,0,0,0,0,1,0,0,0,0,1,1,1301,637.202152190623,53.0361260568793,51.4988470407379,True,,,2013-01-08 09:05:20,82.0,91,4018684,4,java,unknown,,java-gradle,,False,,,,,,,,,,,,8d1d465e14b286f485bf3c056fbf18a4c5418adb,131.0,failed,"[4018684, 4018686, 4018685]",1
