,Unnamed: 0,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs,verdict
0,1971879,63971931,floragunncom/search-guard,False,,,java,,master,,,no_previous_build,a9d576ce4b16c7b6aa86c137abbc8942203f3777,,,2,d7c46a65ce6a917e117d16b23d7231a6f499155e#a9d576ce4b16c7b6aa86c137abbc8942203f3777,2,d7c46a65ce6a917e117d16b23d7231a6f499155e,,,0,,0,0,121,0,1,0,0,0,0,120,0,4897,505.207269756994,12.4566060853584,31.4478251991015,True,,,2015-05-25 15:36:28,0.11,1,63971932,1,java,broken,0.0,java-maven,junit,True,True,64.0,1.0,65.0,0.0,,,,MiscTest#,502.83,,d7c46a65ce6a917e117d16b23d7231a6f499155e,1703.0,failed,"[63971932, 63971933, 63971934]",0
1,1971880,63971931,floragunncom/search-guard,False,,,java,,master,,,no_previous_build,a9d576ce4b16c7b6aa86c137abbc8942203f3777,,,2,d7c46a65ce6a917e117d16b23d7231a6f499155e#a9d576ce4b16c7b6aa86c137abbc8942203f3777,2,d7c46a65ce6a917e117d16b23d7231a6f499155e,,,0,,0,0,121,0,1,0,0,0,0,120,0,4897,505.207269756994,12.4566060853584,31.4478251991015,True,,,2015-05-25 15:36:28,0.11,1,63971933,1,java,broken,0.0,java-maven,junit,True,True,64.0,1.0,65.0,0.0,,,,MiscTest#,511.87,,d7c46a65ce6a917e117d16b23d7231a6f499155e,1703.0,failed,"[63971932, 63971933, 63971934]",0
2,1971881,63971931,floragunncom/search-guard,False,,,java,,master,,,no_previous_build,a9d576ce4b16c7b6aa86c137abbc8942203f3777,,,2,d7c46a65ce6a917e117d16b23d7231a6f499155e#a9d576ce4b16c7b6aa86c137abbc8942203f3777,2,d7c46a65ce6a917e117d16b23d7231a6f499155e,,,0,,0,0,121,0,1,0,0,0,0,120,0,4897,505.207269756994,12.4566060853584,31.4478251991015,True,,,2015-05-25 15:36:28,0.11,1,63971934,1,java,broken,0.0,java-maven,junit,True,True,64.0,1.0,65.0,0.0,,,,MiscTest#,525.45,,d7c46a65ce6a917e117d16b23d7231a6f499155e,1703.0,failed,"[63971932, 63971933, 63971934]",0
3,1971912,63974181,floragunncom/search-guard,False,,,java,,master,,,build_found,d7c46a65ce6a917e117d16b23d7231a6f499155e,63971931.0,,2,d4f4073349a0c25109092fb1c6f7d18e1e819637,1,d4f4073349a0c25109092fb1c6f7d18e1e819637,,,0,,0,0,0,0,1,0,0,0,0,1,1,4897,505.207269756994,12.4566060853584,31.4478251991015,True,,,2015-05-25 15:56:22,0.13,2,63974182,2,java,ok,0.0,java-maven,junit,True,False,65.0,0.0,65.0,0.0,,,,,512.17,,d4f4073349a0c25109092fb1c6f7d18e1e819637,3366.0,passed,"[63974182, 63974183, 63974184]",0
4,1971913,63974181,floragunncom/search-guard,False,,,java,,master,,,build_found,d7c46a65ce6a917e117d16b23d7231a6f499155e,63971931.0,,2,d4f4073349a0c25109092fb1c6f7d18e1e819637,1,d4f4073349a0c25109092fb1c6f7d18e1e819637,,,0,,0,0,0,0,1,0,0,0,0,1,1,4897,505.207269756994,12.4566060853584,31.4478251991015,True,,,2015-05-25 15:56:22,0.13,2,63974183,2,java,ok,0.0,java-maven,junit,True,False,65.0,0.0,65.0,0.0,,,,,493.31,,d4f4073349a0c25109092fb1c6f7d18e1e819637,3366.0,passed,"[63974182, 63974183, 63974184]",0
5,1971914,63974181,floragunncom/search-guard,False,,,java,,master,,,build_found,d7c46a65ce6a917e117d16b23d7231a6f499155e,63971931.0,,2,d4f4073349a0c25109092fb1c6f7d18e1e819637,1,d4f4073349a0c25109092fb1c6f7d18e1e819637,,,0,,0,0,0,0,1,0,0,0,0,1,1,4897,505.207269756994,12.4566060853584,31.4478251991015,True,,,2015-05-25 15:56:22,0.13,2,63974184,2,java,ok,0.0,java-maven,junit,True,False,65.0,0.0,65.0,0.0,,,,,541.6,,d4f4073349a0c25109092fb1c6f7d18e1e819637,3366.0,passed,"[63974182, 63974183, 63974184]",0
6,1976311,64164455,floragunncom/search-guard,False,,,java,,master,,,build_found,d4f4073349a0c25109092fb1c6f7d18e1e819637,63974181.0,,2,31b46d8972dc954a5e225adbd68fff42460b41bc,1,31b46d8972dc954a5e225adbd68fff42460b41bc,,,0,,0,0,0,0,1,0,0,0,0,1,2,4897,505.207269756994,12.4566060853584,31.4478251991015,True,,,2015-05-26 21:47:44,1.36,3,64164456,3,java,ok,0.0,java-maven,junit,True,False,65.0,0.0,65.0,0.0,,,,,483.34,,31b46d8972dc954a5e225adbd68fff42460b41bc,3230.0,passed,"[64164456, 64164457, 64164458]",0
7,1976312,64164455,floragunncom/search-guard,False,,,java,,master,,,build_found,d4f4073349a0c25109092fb1c6f7d18e1e819637,63974181.0,,2,31b46d8972dc954a5e225adbd68fff42460b41bc,1,31b46d8972dc954a5e225adbd68fff42460b41bc,,,0,,0,0,0,0,1,0,0,0,0,1,2,4897,505.207269756994,12.4566060853584,31.4478251991015,True,,,2015-05-26 21:47:44,1.36,3,64164457,3,java,ok,0.0,java-maven,junit,True,False,65.0,0.0,65.0,0.0,,,,,469.74,,31b46d8972dc954a5e225adbd68fff42460b41bc,3230.0,passed,"[64164456, 64164457, 64164458]",0
8,1976313,64164455,floragunncom/search-guard,False,,,java,,master,,,build_found,d4f4073349a0c25109092fb1c6f7d18e1e819637,63974181.0,,2,31b46d8972dc954a5e225adbd68fff42460b41bc,1,31b46d8972dc954a5e225adbd68fff42460b41bc,,,0,,0,0,0,0,1,0,0,0,0,1,2,4897,505.207269756994,12.4566060853584,31.4478251991015,True,,,2015-05-26 21:47:44,1.36,3,64164458,3,java,ok,0.0,java-maven,junit,True,False,65.0,0.0,65.0,0.0,,,,,520.02,,31b46d8972dc954a5e225adbd68fff42460b41bc,3230.0,passed,"[64164456, 64164457, 64164458]",0
9,1986164,64589874,floragunncom/search-guard,False,,,java,,master,,,build_found,31b46d8972dc954a5e225adbd68fff42460b41bc,64164455.0,,2,4531b900552b9c73a2acf248570591df788aade3,1,4531b900552b9c73a2acf248570591df788aade3,,,0,,0,0,0,0,1,0,0,0,0,1,3,4897,505.207269756994,12.4566060853584,31.4478251991015,True,,,2015-05-29 15:15:44,4.1,4,64589875,4,java,ok,0.0,java-maven,junit,True,False,65.0,0.0,65.0,0.0,,,,,502.53,,4531b900552b9c73a2acf248570591df788aade3,3306.0,passed,"[64589875, 64589877, 64589878]",0
