,Unnamed: 0,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs,verdict
0,521691,11904988,geoserver/geoserver,False,,,java,,master,,,merge_found,,,,54,010b2a69d953f93b0812d39ad140009017848388#2c97e2eddf1c76cebf09f5c4ff5ac1fa9854b3b0#797c849983529005793250f110e6f0411d8ef01b#1f7d94368f25cc4bc06d1e8c748553e9ecd34817,4,010b2a69d953f93b0812d39ad140009017848388,,,0,,0,0,4,0,9,0,0,0,0,13,18,269253,442.620880732991,13.5894493283269,66.9259024040586,True,,,2013-09-28 16:16:04,832.96,2357,11904989,1,unknown,unknown,,plain,,False,,,,,,,,,,,,010b2a69d953f93b0812d39ad140009017848388,0.0,errored,[11904989],1
1,521699,11905123,geoserver/geoserver,False,,,java,,master,,,build_found,010b2a69d953f93b0812d39ad140009017848388,11904988.0,,54,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,1,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,,,0,,0,0,0,0,1,0,0,0,0,1,1,269253,442.620880732991,13.5894493283269,66.9259024040586,True,,,2013-09-28 16:19:56,832.97,2358,11905124,2,java,broken,,java-ant,,False,,,,,,,,,,,,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,44.0,failed,"[11905124, 11905125]",1
2,521700,11905123,geoserver/geoserver,False,,,java,,master,,,build_found,010b2a69d953f93b0812d39ad140009017848388,11904988.0,,54,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,1,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,,,0,,0,0,0,0,1,0,0,0,0,1,1,269253,442.620880732991,13.5894493283269,66.9259024040586,True,,,2013-09-28 16:19:56,832.97,2358,11905125,2,java,broken,,java-ant,,False,,,,,,,,,,,,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,44.0,failed,"[11905124, 11905125]",1
3,521705,11905258,geoserver/geoserver,False,,,java,,master,,,build_found,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,11905123.0,,54,63c949ad930ceb627dc9e46ceb564371d1426b8f,1,63c949ad930ceb627dc9e46ceb564371d1426b8f,,,0,,0,0,0,0,1,0,0,0,0,1,2,269253,442.620880732991,13.5894493283269,66.9259024040586,True,,,2013-09-28 16:24:50,832.97,2359,11905259,3,java,unknown,,java-ant,junit,True,False,9.0,0.0,9.0,83.0,,,,,2.74,,63c949ad930ceb627dc9e46ceb564371d1426b8f,3276.0,errored,"[11905259, 11905260]",1
4,521706,11905258,geoserver/geoserver,False,,,java,,master,,,build_found,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,11905123.0,,54,63c949ad930ceb627dc9e46ceb564371d1426b8f,1,63c949ad930ceb627dc9e46ceb564371d1426b8f,,,0,,0,0,0,0,1,0,0,0,0,1,2,269253,442.620880732991,13.5894493283269,66.9259024040586,True,,,2013-09-28 16:24:50,832.97,2359,11905260,3,java,unknown,,java-ant,junit,True,False,23.0,0.0,23.0,83.0,,,,,2.1,,63c949ad930ceb627dc9e46ceb564371d1426b8f,3276.0,errored,"[11905259, 11905260]",1
5,521732,11905554,geoserver/geoserver,False,,,java,,master,,,build_found,63c949ad930ceb627dc9e46ceb564371d1426b8f,11905258.0,,54,7175797309f32aaa22392c171b482715a44bfb88,1,7175797309f32aaa22392c171b482715a44bfb88,,,0,,0,0,0,0,1,0,0,0,0,1,3,269253,442.620880732991,13.5894493283269,66.9259024040586,True,,,2013-09-28 16:32:24,832.97,2360,11905555,4,java,broken,,java-ant,junit,True,False,4.0,0.0,4.0,0.0,,,,,0.31,,7175797309f32aaa22392c171b482715a44bfb88,973.0,failed,"[11905555, 11905556]",1
6,521733,11905554,geoserver/geoserver,False,,,java,,master,,,build_found,63c949ad930ceb627dc9e46ceb564371d1426b8f,11905258.0,,54,7175797309f32aaa22392c171b482715a44bfb88,1,7175797309f32aaa22392c171b482715a44bfb88,,,0,,0,0,0,0,1,0,0,0,0,1,3,269253,442.620880732991,13.5894493283269,66.9259024040586,True,,,2013-09-28 16:32:24,832.97,2360,11905556,4,java,broken,,java-ant,junit,True,False,4.0,0.0,4.0,0.0,,,,,0.34,,7175797309f32aaa22392c171b482715a44bfb88,973.0,failed,"[11905555, 11905556]",1
7,521797,11909050,geoserver/geoserver,False,,,java,,master,,,build_found,7175797309f32aaa22392c171b482715a44bfb88,11905554.0,,54,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,1,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,,,0,,0,0,0,0,2,0,0,0,0,2,10,269253,442.572599005396,13.5894493283269,66.9259024040586,True,,,2013-09-28 19:04:54,833.08,2361,11909051,5,java,broken,,java-ant,junit,True,False,1.0,0.0,1.0,16.0,,,,,1.93,,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,1583.0,failed,"[11909051, 11909052]",0
8,521798,11909050,geoserver/geoserver,False,,,java,,master,,,build_found,7175797309f32aaa22392c171b482715a44bfb88,11905554.0,,54,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,1,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,,,0,,0,0,0,0,2,0,0,0,0,2,10,269253,442.572599005396,13.5894493283269,66.9259024040586,True,,,2013-09-28 19:04:54,833.08,2361,11909052,5,java,broken,,java-ant,junit,True,False,3.0,0.0,3.0,16.0,,,,,4.18,,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,1583.0,failed,"[11909051, 11909052]",0
9,522778,11939345,geoserver/geoserver,False,,,java,,master,,,merge_found,,,,54,1a2445df8e82f7610f21831785669bff0e9033ff,1,1a2445df8e82f7610f21831785669bff0e9033ff,,,0,,0,0,0,0,12,0,0,0,0,12,14,269354,442.399221841888,13.5843536758318,66.9008071162856,True,,,2013-09-29 20:50:28,834.15,2363,11939346,7,java,broken,,java-ant,junit,True,False,3.0,0.0,3.0,16.0,,,,,4.02,,1a2445df8e82f7610f21831785669bff0e9033ff,998.0,failed,"[11939346, 11939347]",0
