,Unnamed: 0,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs,verdict
0,1608722,48866839,naver/pinpoint,True,2015-01-30 07:19:06,148.0,java,merge_button,master,,,merge_found,,,,16,78f441fbdc66f3d34bd97c941cfea31a7ad719b5#aac07b58e288272c753a8264877642f04411b27f#53471f55d7f395f26b9ac257ae1219029f2f98d6#48859873bb39156498e00995ebe0e443a2e4debb,4,78f441fbdc66f3d34bd97c941cfea31a7ad719b5,aac07b58e288272c753a8264877642f04411b27f,0.0,0,0.0,0,0,2,0,5,0,0,0,0,7,593,73393,233.373754990258,10.6140912621095,22.7133377842574,True,18.0,,2015-01-30 08:19:40,668.98,5406,48866840,1,java,unknown,3.0,java-ant,,False,,,,,,,,,,,,204b04f551181d66bbded54b613aa867bd6aaea5,14.0,errored,"[48866840, 48866842]",0
1,1608723,48866839,naver/pinpoint,True,2015-01-30 07:19:06,148.0,java,merge_button,master,,,merge_found,,,,16,78f441fbdc66f3d34bd97c941cfea31a7ad719b5#aac07b58e288272c753a8264877642f04411b27f#53471f55d7f395f26b9ac257ae1219029f2f98d6#48859873bb39156498e00995ebe0e443a2e4debb,4,78f441fbdc66f3d34bd97c941cfea31a7ad719b5,aac07b58e288272c753a8264877642f04411b27f,0.0,0,0.0,0,0,2,0,5,0,0,0,0,7,593,73393,233.373754990258,10.6140912621095,22.7133377842574,True,18.0,,2015-01-30 08:19:40,668.98,5406,48866842,1,java,unknown,3.0,java-ant,,False,,,,,,,,,,,,204b04f551181d66bbded54b613aa867bd6aaea5,14.0,errored,"[48866840, 48866842]",0
2,1608724,48866845,naver/pinpoint,False,,,java,,master,,,merge_found,,,,16,1e7c4282818fb099ceaa4553d91bc41503a65ff3,1,1e7c4282818fb099ceaa4553d91bc41503a65ff3,,,0,,0,0,2,0,3,0,0,0,0,5,26,73393,233.373754990258,10.6140912621095,22.7133377842574,True,,,2015-01-30 08:20:08,668.99,5407,48866846,2,java,ok,2.0,java-maven,junit,True,False,111.0,0.0,111.0,2.0,,,,,152.35,243.0,1e7c4282818fb099ceaa4553d91bc41503a65ff3,941.0,passed,"[48866846, 48866847]",0
3,1608725,48866845,naver/pinpoint,False,,,java,,master,,,merge_found,,,,16,1e7c4282818fb099ceaa4553d91bc41503a65ff3,1,1e7c4282818fb099ceaa4553d91bc41503a65ff3,,,0,,0,0,2,0,3,0,0,0,0,5,26,73393,233.373754990258,10.6140912621095,22.7133377842574,True,,,2015-01-30 08:20:08,668.99,5407,48866847,2,java,ok,2.0,java-maven,junit,True,False,111.0,0.0,111.0,2.0,,,,,144.57,224.0,1e7c4282818fb099ceaa4553d91bc41503a65ff3,941.0,passed,"[48866846, 48866847]",0
4,1608733,48867715,naver/pinpoint,True,2015-01-30 07:30:11,149.0,java,commits_in_master,master,,,build_found,1e7c4282818fb099ceaa4553d91bc41503a65ff3,48866845.0,,16,0510fdfc7f2933d7c5f087c864a2dfdb86432a5f#f76b65f77f36209fb0a174f1a757a041de70e095#ef12b8d77e51d413d0fe3cd03d4eec7cab13b5eb#2ae27ac2a9cecc2935704ef1b56238c0c6eb9e57,4,0510fdfc7f2933d7c5f087c864a2dfdb86432a5f,1e7c4282818fb099ceaa4553d91bc41503a65ff3,0.0,0,0.0,0,0,5,1,1,0,0,0,0,7,1,73534,232.926265401039,10.5937389506895,22.6697854053907,True,2.0,,2015-01-30 08:30:49,668.99,5411,48867716,3,java,unknown,3.0,java-ant,,False,,,,,,,,,,,,6006038273e42953d3b7f20453e27261e583dbdb,12.0,errored,"[48867716, 48867717]",0
5,1608734,48867715,naver/pinpoint,True,2015-01-30 07:30:11,149.0,java,commits_in_master,master,,,build_found,1e7c4282818fb099ceaa4553d91bc41503a65ff3,48866845.0,,16,0510fdfc7f2933d7c5f087c864a2dfdb86432a5f#f76b65f77f36209fb0a174f1a757a041de70e095#ef12b8d77e51d413d0fe3cd03d4eec7cab13b5eb#2ae27ac2a9cecc2935704ef1b56238c0c6eb9e57,4,0510fdfc7f2933d7c5f087c864a2dfdb86432a5f,1e7c4282818fb099ceaa4553d91bc41503a65ff3,0.0,0,0.0,0,0,5,1,1,0,0,0,0,7,1,73534,232.926265401039,10.5937389506895,22.6697854053907,True,2.0,,2015-01-30 08:30:49,668.99,5411,48867717,3,java,unknown,3.0,java-ant,,False,,,,,,,,,,,,6006038273e42953d3b7f20453e27261e583dbdb,12.0,errored,"[48867716, 48867717]",0
6,1608735,48867718,naver/pinpoint,False,,,java,,master,,,merge_found,,,,16,b47293495ff7c52c27f8e0fe6529e6aca9e44f26,1,b47293495ff7c52c27f8e0fe6529e6aca9e44f26,,,0,,0,0,4,0,0,0,0,0,0,4,3,73534,232.926265401039,10.5937389506895,22.6697854053907,True,,,2015-01-30 08:31:03,668.99,5412,48867719,4,java,ok,2.0,java-maven,junit,True,False,111.0,0.0,111.0,2.0,,,,,145.78,237.0,b47293495ff7c52c27f8e0fe6529e6aca9e44f26,967.0,passed,"[48867719, 48867720]",0
7,1608736,48867718,naver/pinpoint,False,,,java,,master,,,merge_found,,,,16,b47293495ff7c52c27f8e0fe6529e6aca9e44f26,1,b47293495ff7c52c27f8e0fe6529e6aca9e44f26,,,0,,0,0,4,0,0,0,0,0,0,4,3,73534,232.926265401039,10.5937389506895,22.6697854053907,True,,,2015-01-30 08:31:03,668.99,5412,48867720,4,java,ok,2.0,java-maven,junit,True,False,111.0,0.0,111.0,2.0,,,,,145.47,222.0,b47293495ff7c52c27f8e0fe6529e6aca9e44f26,967.0,passed,"[48867719, 48867720]",0
8,1615879,49146060,naver/pinpoint,True,2015-02-02 05:14:30,151.0,java,commits_in_master,master,,,build_found,b47293495ff7c52c27f8e0fe6529e6aca9e44f26,48867718.0,,16,f7fb7732b9f39c2e303584a6f9aa4bbd161d7ebb,1,f7fb7732b9f39c2e303584a6f9aa4bbd161d7ebb,b47293495ff7c52c27f8e0fe6529e6aca9e44f26,0.0,0,0.0,0,0,0,0,1,0,0,0,0,1,2,73536,232.919930374238,10.5934508268059,22.6691688424717,True,5.0,,2015-02-02 06:15:03,671.89,5413,49146061,5,java,unknown,3.0,java-ant,,False,,,,,,,,,,,,50cc8111d4ea6f645eff75c8861a4c68ffbe6aaf,17.0,errored,"[49146061, 49146062]",0
9,1615880,49146060,naver/pinpoint,True,2015-02-02 05:14:30,151.0,java,commits_in_master,master,,,build_found,b47293495ff7c52c27f8e0fe6529e6aca9e44f26,48867718.0,,16,f7fb7732b9f39c2e303584a6f9aa4bbd161d7ebb,1,f7fb7732b9f39c2e303584a6f9aa4bbd161d7ebb,b47293495ff7c52c27f8e0fe6529e6aca9e44f26,0.0,0,0.0,0,0,0,0,1,0,0,0,0,1,2,73536,232.919930374238,10.5934508268059,22.6691688424717,True,5.0,,2015-02-02 06:15:03,671.89,5413,49146062,5,java,unknown,3.0,java-ant,,False,,,,,,,,,,,,50cc8111d4ea6f645eff75c8861a4c68ffbe6aaf,17.0,errored,"[49146061, 49146062]",0
