,Unnamed: 0,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs,verdict
0,1077621,29090641,ngageoint/geowave,False,,,java,,GEOWAVE-32,,,merge_found,,,,21,fb895e1e622445cc6e08a020319ee22b3e39354e#7d7b2e74c299dfb453cf1a17e4239b690aae5163,2,fb895e1e622445cc6e08a020319ee22b3e39354e,,,0,,0,0,2,0,3,0,0,0,0,5,9,21628,100.749029036434,2.08063621231737,5.31718143147771,True,,,2014-07-03 19:53:37,23.73,38,29090642,1,java,unknown,,java-ant,,False,,,,,,,,,,,,fb895e1e622445cc6e08a020319ee22b3e39354e,16.0,errored,[29090642],0
1,1077627,29091070,ngageoint/geowave,False,,,java,,master,,,merge_found,,,,21,a2a83fc3cf5c64eebbffdc894024603650f098b6,1,a2a83fc3cf5c64eebbffdc894024603650f098b6,,,0,,0,0,2,0,1,0,0,0,0,3,9,21679,103.279671571567,2.1679966788136,5.58143825822224,True,,,2014-07-03 20:01:14,23.74,60,29091071,3,java,ok,,java-maven,junit,True,False,0.0,0.0,,0.0,,,,,7.64,24.79,a2a83fc3cf5c64eebbffdc894024603650f098b6,506.0,passed,[29091071],0
2,1077831,29097218,ngageoint/geowave,False,,,java,,master,,,merge_found,,,,21,0d72f90ea4ace521623f88334081582cf0fea899,1,0d72f90ea4ace521623f88334081582cf0fea899,,,0,,0,0,3,0,7,0,0,0,0,10,51,25421,87.4080484638685,1.84886511152197,4.72050666771567,True,,,2014-07-03 21:26:14,23.8,98,29097219,4,java,unknown,,java-ant,,False,,,,,,,,,,,,0d72f90ea4ace521623f88334081582cf0fea899,1008.0,errored,[29097219],0
3,1083541,29311055,ngageoint/geowave,False,,,java,,master,,,build_found,0d72f90ea4ace521623f88334081582cf0fea899,29097218.0,,21,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,1,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,,,0,,0,0,0,0,1,0,0,0,0,1,13,25421,87.7620864639471,1.84886511152197,4.72050666771567,True,,,2014-07-07 11:57:39,27.4,99,29311056,5,java,unknown,,java-ant,,False,,,,,,,,,,,,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,1043.0,errored,[29311056],0
4,1083672,29316661,ngageoint/geowave,False,,,java,,GEOWAVE-10,,,build_found,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,29311055.0,,21,265ae790654cedb1ed1bbcd134a5df9e68dd545f,1,265ae790654cedb1ed1bbcd134a5df9e68dd545f,,,0,,0,0,0,0,1,0,0,0,0,1,1,25425,87.748279252704,1.84857423795477,4.71976401179941,True,,,2014-07-07 13:12:44,27.45,100,29316662,7,java,unknown,,java-ant,,False,,,,,,,,,,,,265ae790654cedb1ed1bbcd134a5df9e68dd545f,1105.0,errored,[29316662],0
5,1083673,29316674,ngageoint/geowave,False,,,java,,GEOWAVE-29,,,build_found,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,29311055.0,,21,fc612bf92771dc75ae8f33e8a627746d8e5eaf29,1,fc612bf92771dc75ae8f33e8a627746d8e5eaf29,,,0,,0,0,2,0,6,0,0,0,0,8,4,25618,103.950347411976,1.95175267390116,5.23069716605512,True,,,2014-07-07 13:10:53,27.45,100,29316675,8,java,unknown,,java-ant,,False,,,,,,,,,,,,fc612bf92771dc75ae8f33e8a627746d8e5eaf29,1042.0,errored,[29316675],0
6,1083782,29318787,ngageoint/geowave,True,2014-07-07 11:32:19,37.0,java,commits_in_master,master,,,build_found,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,29311055.0,,21,265ae790654cedb1ed1bbcd134a5df9e68dd545f,1,265ae790654cedb1ed1bbcd134a5df9e68dd545f,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,0.0,0,0.0,0,0,0,0,1,0,0,0,0,1,1,25425,87.748279252704,1.84857423795477,4.71976401179941,True,11.0,,2014-07-07 13:34:32,27.45,100,29318788,9,java,unknown,,java-ant,,False,,,,,,,,,,,,5e8d7d6e1d876801748ba6f57954b6acfadbf7d2,1078.0,errored,[29318788],0
7,1083783,29318820,ngageoint/geowave,True,2014-07-07 11:32:39,38.0,java,commits_in_master,master,,,build_found,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,29311055.0,,21,fc612bf92771dc75ae8f33e8a627746d8e5eaf29,1,fc612bf92771dc75ae8f33e8a627746d8e5eaf29,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,0.0,0,0.0,0,0,2,0,6,0,0,0,0,8,4,25618,103.950347411976,1.95175267390116,5.23069716605512,True,16.0,,2014-07-07 13:34:01,27.45,100,29318821,10,java,unknown,,java-ant,,False,,,,,,,,,,,,bd98ebb08c6f952f1a433bce4d96ab5dccbebfbc,1040.0,errored,[29318821],0
8,1084767,29349703,ngageoint/geowave,False,,,java,,GEOWAVE-36,,,build_found,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,29311055.0,,21,ba6d0d3993d7503a9e1ec0086ffaf6c834944118,1,ba6d0d3993d7503a9e1ec0086ffaf6c834944118,,,0,,0,0,2,1,15,0,0,0,0,18,22,25667,86.9599096115635,1.83114505006428,4.67526395761094,True,,,2014-07-07 19:24:51,27.71,100,29349704,11,java,ok,,java-maven,junit,True,False,0.0,0.0,,0.0,,,,,9.33,37.97,ba6d0d3993d7503a9e1ec0086ffaf6c834944118,747.0,passed,[29349704],0
9,1084768,29349751,ngageoint/geowave,True,2014-07-07 17:24:02,39.0,java,commits_in_master,master,,,build_found,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,29311055.0,,21,ba6d0d3993d7503a9e1ec0086ffaf6c834944118,1,ba6d0d3993d7503a9e1ec0086ffaf6c834944118,b6fe27ce9c666f7ef1bb2c4cc9e37bf80594d371,0.0,0,0.0,0,0,2,1,15,0,0,0,0,18,22,25667,86.9599096115635,1.83114505006428,4.67526395761094,True,29.0,,2014-07-07 19:28:12,27.71,100,29349752,12,java,unknown,,java-ant,,False,,,,,,,,,,,,1261c177aadb2329e0700b4ea63278651c2049ad,454.0,errored,[29349752],0
