,Unnamed: 0,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs,verdict
0,1066547,28688947,samtools/htsjdk,False,,,java,,nh_travis_ci,,,build_found,8d154e4c588868fa2387cb75a084922c9714c09e,,,42,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,1,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,,,0,,0,0,1,0,0,0,0,0,0,1,0,36994,309.45558739255,12.7047629345299,41.3850894739688,True,,,2014-06-29 00:58:15,1871.46,1509,28688948,1,java,ok,,java-ant,,False,,,,,,,,,,,20.0,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,636.0,passed,"[28688948, 28688949, 28688950]",1
1,1066548,28688947,samtools/htsjdk,False,,,java,,nh_travis_ci,,,build_found,8d154e4c588868fa2387cb75a084922c9714c09e,,,42,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,1,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,,,0,,0,0,1,0,0,0,0,0,0,1,0,36994,309.45558739255,12.7047629345299,41.3850894739688,True,,,2014-06-29 00:58:15,1871.46,1509,28688949,1,java,ok,,java-ant,,False,,,,,,,,,,,8.0,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,636.0,passed,"[28688948, 28688949, 28688950]",1
2,1066549,28688947,samtools/htsjdk,False,,,java,,nh_travis_ci,,,build_found,8d154e4c588868fa2387cb75a084922c9714c09e,,,42,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,1,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,,,0,,0,0,1,0,0,0,0,0,0,1,0,36994,309.45558739255,12.7047629345299,41.3850894739688,True,,,2014-06-29 00:58:15,1871.46,1509,28688950,1,java,ok,,java-ant,,False,,,,,,,,,,,51.0,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,636.0,passed,"[28688948, 28688949, 28688950]",1
3,1066550,28688955,samtools/htsjdk,False,,,java,,master,,,merge_found,,,,42,8d154e4c588868fa2387cb75a084922c9714c09e#f95f8a0dbfc12b39ef831f80d916667cd411d099,2,8d154e4c588868fa2387cb75a084922c9714c09e,,,0,,0,0,0,0,2,0,0,0,0,2,210,36994,309.45558739255,12.7047629345299,41.3850894739688,True,,,2014-06-29 00:58:43,1859.0,1508,28688956,2,ruby,broken,,ruby,,False,,,,,,,,,,,,8d154e4c588868fa2387cb75a084922c9714c09e,4.0,failed,[28688956],0
4,1066551,28688957,samtools/htsjdk,False,,,java,,master,,,merge_found,,,,42,8d154e4c588868fa2387cb75a084922c9714c09e#f95f8a0dbfc12b39ef831f80d916667cd411d099,2,8d154e4c588868fa2387cb75a084922c9714c09e,,,0,,0,0,0,0,2,0,0,0,0,2,210,36994,309.45558739255,12.7047629345299,41.3850894739688,True,,,2014-06-29 00:58:55,1859.0,1508,28688958,3,ruby,broken,,ruby,,False,,,,,,,,,,,,8d154e4c588868fa2387cb75a084922c9714c09e,6.0,failed,[28688958],0
5,1066552,28689194,samtools/htsjdk,True,2014-06-28 23:08:24,45.0,java,commits_in_master,master,,,build_found,8d154e4c588868fa2387cb75a084922c9714c09e,28688957.0,,42,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,1,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,8d154e4c588868fa2387cb75a084922c9714c09e,0.0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,36994,309.45558739255,12.7047629345299,41.3850894739688,True,2.0,,2014-06-29 01:08:58,1871.46,1509,28689195,4,java,ok,,java-ant,,False,,,,,,,,,,,7.0,1b6786b596d2b5f8f511fed84dcf6241ab145f8d,649.0,passed,"[28689195, 28689196, 28689197]",1
6,1066553,28689194,samtools/htsjdk,True,2014-06-28 23:08:24,45.0,java,commits_in_master,master,,,build_found,8d154e4c588868fa2387cb75a084922c9714c09e,28688957.0,,42,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,1,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,8d154e4c588868fa2387cb75a084922c9714c09e,0.0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,36994,309.45558739255,12.7047629345299,41.3850894739688,True,2.0,,2014-06-29 01:08:58,1871.46,1509,28689196,4,java,ok,,java-ant,,False,,,,,,,,,,,6.0,1b6786b596d2b5f8f511fed84dcf6241ab145f8d,649.0,passed,"[28689195, 28689196, 28689197]",1
7,1066554,28689194,samtools/htsjdk,True,2014-06-28 23:08:24,45.0,java,commits_in_master,master,,,build_found,8d154e4c588868fa2387cb75a084922c9714c09e,28688957.0,,42,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,1,4cbca2ce6f837b3edd8c90ec2e298af4031ebc65,8d154e4c588868fa2387cb75a084922c9714c09e,0.0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,36994,309.45558739255,12.7047629345299,41.3850894739688,True,2.0,,2014-06-29 01:08:58,1871.46,1509,28689197,4,java,unknown,,java-ant,,False,,,,,,,,,,,21.0,1b6786b596d2b5f8f511fed84dcf6241ab145f8d,649.0,passed,"[28689195, 28689196, 28689197]",1
8,1066589,28691431,samtools/htsjdk,False,,,java,,master,,,merge_found,,,,42,5556bee98e261af66c6447cc451324f7155c85f4,1,5556bee98e261af66c6447cc451324f7155c85f4,,,0,,0,0,1,0,0,0,0,0,0,1,1,36994,309.45558739255,12.7047629345299,41.3850894739688,True,,,2014-06-29 02:34:48,1871.52,1510,28691432,5,java,ok,,java-ant,,False,,,,,,,,,,,7.0,5556bee98e261af66c6447cc451324f7155c85f4,608.0,passed,"[28691432, 28691433, 28691434]",1
9,1066590,28691431,samtools/htsjdk,False,,,java,,master,,,merge_found,,,,42,5556bee98e261af66c6447cc451324f7155c85f4,1,5556bee98e261af66c6447cc451324f7155c85f4,,,0,,0,0,1,0,0,0,0,0,0,1,1,36994,309.45558739255,12.7047629345299,41.3850894739688,True,,,2014-06-29 02:34:48,1871.52,1510,28691433,5,java,ok,,java-ant,,False,,,,,,,,,,,34.0,5556bee98e261af66c6447cc451324f7155c85f4,608.0,passed,"[28691432, 28691433, 28691434]",1
