,Unnamed: 0,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs,verdict
0,748397,18821886,xetorthio/jedis,False,,,java,,master,,,merge_found,,,,10,b0648f78e8c43ce5c68ae037554e52182ea7357f,1,b0648f78e8c43ce5c68ae037554e52182ea7357f,,,0,,6,0,1,0,1,0,0,1,0,1,36,11592,536.576949620428,28.2953761214631,83.3333333333333,True,,,2014-02-13 17:40:46,1343.42,685,18821887,1,java,ok,,java-ant,,False,,,,,,,,,,,0.0,b0648f78e8c43ce5c68ae037554e52182ea7357f,970.0,errored,"[18821887, 18821889, 18821891]",0
1,748398,18821886,xetorthio/jedis,False,,,java,,master,,,merge_found,,,,10,b0648f78e8c43ce5c68ae037554e52182ea7357f,1,b0648f78e8c43ce5c68ae037554e52182ea7357f,,,0,,6,0,1,0,1,0,0,1,0,1,36,11592,536.576949620428,28.2953761214631,83.3333333333333,True,,,2014-02-13 17:40:46,1343.42,685,18821889,1,java,ok,,java-ant,,False,,,,,,,,,,,0.0,b0648f78e8c43ce5c68ae037554e52182ea7357f,970.0,errored,"[18821887, 18821889, 18821891]",0
2,748399,18821886,xetorthio/jedis,False,,,java,,master,,,merge_found,,,,10,b0648f78e8c43ce5c68ae037554e52182ea7357f,1,b0648f78e8c43ce5c68ae037554e52182ea7357f,,,0,,6,0,1,0,1,0,0,1,0,1,36,11592,536.576949620428,28.2953761214631,83.3333333333333,True,,,2014-02-13 17:40:46,1343.42,685,18821891,1,java,unknown,,java-ant,,False,,,,,,,,,,,,b0648f78e8c43ce5c68ae037554e52182ea7357f,970.0,errored,"[18821887, 18821889, 18821891]",0
3,748407,18822301,xetorthio/jedis,False,,,java,,master,,,build_found,b0648f78e8c43ce5c68ae037554e52182ea7357f,18821886.0,,10,072232038f8466680b68f732461e0f84a35edb05,1,072232038f8466680b68f732461e0f84a35edb05,,,0,,0,0,0,0,1,0,0,0,0,1,67,11592,536.576949620428,28.2953761214631,83.3333333333333,True,,,2014-02-13 18:18:19,1343.49,686,18822302,2,java,ok,,java-ant,,False,,,,,,,,,,,0.0,072232038f8466680b68f732461e0f84a35edb05,351.0,passed,"[18822302, 18822303, 18822304]",1
4,748408,18822301,xetorthio/jedis,False,,,java,,master,,,build_found,b0648f78e8c43ce5c68ae037554e52182ea7357f,18821886.0,,10,072232038f8466680b68f732461e0f84a35edb05,1,072232038f8466680b68f732461e0f84a35edb05,,,0,,0,0,0,0,1,0,0,0,0,1,67,11592,536.576949620428,28.2953761214631,83.3333333333333,True,,,2014-02-13 18:18:19,1343.49,686,18822303,2,java,ok,,java-ant,,False,,,,,,,,,,,0.0,072232038f8466680b68f732461e0f84a35edb05,351.0,passed,"[18822302, 18822303, 18822304]",1
5,748409,18822301,xetorthio/jedis,False,,,java,,master,,,build_found,b0648f78e8c43ce5c68ae037554e52182ea7357f,18821886.0,,10,072232038f8466680b68f732461e0f84a35edb05,1,072232038f8466680b68f732461e0f84a35edb05,,,0,,0,0,0,0,1,0,0,0,0,1,67,11592,536.576949620428,28.2953761214631,83.3333333333333,True,,,2014-02-13 18:18:19,1343.49,686,18822304,2,java,ok,,java-ant,,False,,,,,,,,,,,0.0,072232038f8466680b68f732461e0f84a35edb05,351.0,passed,"[18822302, 18822303, 18822304]",1
6,748758,18826819,xetorthio/jedis,False,,,java,,master,,,build_found,072232038f8466680b68f732461e0f84a35edb05,18822301.0,,10,1f7d1fda0001e35a945299dcdf574ccf60fcba28,1,1f7d1fda0001e35a945299dcdf574ccf60fcba28,,,0,,16,0,0,0,1,0,0,1,0,0,37,11592,536.576949620428,28.2953761214631,83.3333333333333,True,,,2014-02-13 23:52:10,1343.53,687,18826820,3,java,unknown,,java-ant,,False,,,,,,,,,,,,1f7d1fda0001e35a945299dcdf574ccf60fcba28,917.0,errored,"[18826820, 18826821, 18826822]",0
7,748759,18826819,xetorthio/jedis,False,,,java,,master,,,build_found,072232038f8466680b68f732461e0f84a35edb05,18822301.0,,10,1f7d1fda0001e35a945299dcdf574ccf60fcba28,1,1f7d1fda0001e35a945299dcdf574ccf60fcba28,,,0,,16,0,0,0,1,0,0,1,0,0,37,11592,536.576949620428,28.2953761214631,83.3333333333333,True,,,2014-02-13 23:52:10,1343.53,687,18826821,3,java,ok,,java-ant,,False,,,,,,,,,,,0.0,1f7d1fda0001e35a945299dcdf574ccf60fcba28,917.0,errored,"[18826820, 18826821, 18826822]",0
8,748760,18826819,xetorthio/jedis,False,,,java,,master,,,build_found,072232038f8466680b68f732461e0f84a35edb05,18822301.0,,10,1f7d1fda0001e35a945299dcdf574ccf60fcba28,1,1f7d1fda0001e35a945299dcdf574ccf60fcba28,,,0,,16,0,0,0,1,0,0,1,0,0,37,11592,536.576949620428,28.2953761214631,83.3333333333333,True,,,2014-02-13 23:52:10,1343.53,687,18826822,3,java,ok,,java-ant,,False,,,,,,,,,,,0.0,1f7d1fda0001e35a945299dcdf574ccf60fcba28,917.0,errored,"[18826820, 18826821, 18826822]",0
9,749633,18850350,xetorthio/jedis,False,,,java,,master,,,build_found,1f7d1fda0001e35a945299dcdf574ccf60fcba28,18826819.0,,10,1d0290d000cb0fcb2ef1ac9e01cd7588da53d589,1,1d0290d000cb0fcb2ef1ac9e01cd7588da53d589,,,0,,0,0,0,0,1,0,0,0,0,1,23,11592,536.490683229814,28.2953761214631,83.3333333333333,True,,,2014-02-14 01:16:07,1343.8,688,18850351,4,java,unknown,,java-ant,,False,,,,,,,,,,,,1d0290d000cb0fcb2ef1ac9e01cd7588da53d589,1495.0,errored,"[18850351, 18850352, 18850353]",0
