,Unnamed: 0,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs,verdict
0,1694530,52076434,yegor256/takes,False,,,java,,master,,,no_previous_build,2cf3d9eeb5261109609e3534a935a02ab040c30b,,,11,db24f069fb89ff6274a5e0168b16308438bd164e#0b835bafdeef200b9ba96f6d30b4af1072ab0c57#a7ab883abef617f1ed42151d7845dfe168dca3c5#71b8ca724ebf1d3abf0ce0ffa97d3e19555deb82#d3c5e62ec92eadb6b0463e0795878373c6cad4cc#d2ca6156333e7382755b624cd7b81c85e712b76f#a23c8f4d2b93bafba4698da0f2afce6c41068110#7c92483e18d6c5c2ce039a078ae6cff54fbac745#2f349dd9616cd9ecff9887ae16383d012c461bd3#bb27b4160c252aa41250e6af49eec4d5e1e5c868#8dc3391f8ba6bf51d59b5f64cf045bd8ed5e0e76#0f54d83f4db0fa9b8a142ec455b05e577ae6358e#ab3099c274a14b51194c9019b222f98d8954c767#163dfc451de7cd9838ddd099d803d817ddc5c930#804b4a76fcf4932ef0808329a5b19f6fe5b463f5#0e8f008d1bc83bbb33d8040e71ef42e91549ae3d#b3e2dc7719698ded3888541f59acb00fbe913efc#ce6142d010676a74050a6a397f231adc24ca2481#8d53dd8c458ff7884f340ac8bc47070ecfd491e5#9a996597bf1a420acb8f9a9c151e6a1373871e41#3055a0f60cf948070b00ba39fa05903ca8f1a1e1#a93a8e3a63ac4f9b07fc5fe7e2aac56cfed79512#3b726feef1cef70a99ae075960a7937c76f8b6c1#c120d8ad4c02b82b98ab09f4602dffc5be68e03e#7c95f2a7f722c34e017d2b4a16e3eacaef21bae1#c9d0fe46010a2e00ccb8e1a79a955128568cf353#719348d14c036aa969535a7e27e7dc0e975242ea#0c46cea0117dbcaaa0d1cbe1a013bca24f27a781#01b4dcc0652577b1e5d100581feb9d9e7d328e62#80b394ea630372bea6ae044aa7a6cdf17ee1508b#6445f284fcc08ec584f9825f16acf78970bb03c7#50ac7178b5e241dbf7b81730dbbf751cc1a8b426#820c3adc786645a5e7087911a8983db92ffe7b05#7f7637181e2a70b1fd61d1d81129f51f91187abf#b5821858c0c81a9b9b833af959ecb5247dca6a3f#eb1048e1910a97c8a34b8457a1b190a9cb33d786#d9a32e7e8dfb660ab88953942aff89d4f779e201#92374293b3bf87b559a64e2f67ea99e38c5b0cda#462cd5a89079d82e423b55fdbbe619c68906834e#2cf3d9eeb5261109609e3534a935a02ab040c30b,40,db24f069fb89ff6274a5e0168b16308438bd164e,,,0,,0,0,19,0,1,0,1,0,0,19,0,4,3500.0,250.0,250.0,False,,,2015-02-25 02:02:20,48.34,39,52076435,1,java,broken,0.0,java-ant,,False,,,,,,,,,,,87.0,db24f069fb89ff6274a5e0168b16308438bd164e,202.0,failed,[52076435],1
1,1694532,52076495,yegor256/takes,False,,,java,,master,,,build_found,db24f069fb89ff6274a5e0168b16308438bd164e,52076434.0,,11,2c2043fd48247923d26b786be1335c85ba3fb84b,1,2c2043fd48247923d26b786be1335c85ba3fb84b,,,0,,0,0,0,0,1,0,0,0,0,1,40,4,3500.0,250.0,250.0,False,,,2015-02-25 02:03:18,48.34,40,52076496,2,java,broken,0.0,java-ant,,False,,,,,,,,,,,79.0,2c2043fd48247923d26b786be1335c85ba3fb84b,195.0,failed,[52076496],1
2,1694538,52076906,yegor256/takes,False,,,java,,master,,,build_found,2c2043fd48247923d26b786be1335c85ba3fb84b,52076495.0,,11,b5247fbf410e013ae645a641a1eab781110a824f,1,b5247fbf410e013ae645a641a1eab781110a824f,,,0,,0,0,0,0,1,0,0,0,0,1,41,4,3500.0,250.0,250.0,False,,,2015-02-25 02:08:05,48.35,41,52076907,3,java,broken,0.0,java-ant,,False,,,,,,,,,,,74.0,b5247fbf410e013ae645a641a1eab781110a824f,191.0,failed,[52076907],1
3,1694539,52077069,yegor256/takes,False,,,java,,master,,,build_found,b5247fbf410e013ae645a641a1eab781110a824f,52076906.0,,11,b040e35bea11297ff2abaa571a2bc32dab623410,1,b040e35bea11297ff2abaa571a2bc32dab623410,,,0,,0,0,0,0,1,0,0,0,0,1,1,4,3500.0,250.0,250.0,False,,,2015-02-25 02:10:10,48.35,42,52077070,4,java,ok,0.0,java-ant,,False,,,,,,,,,,,77.0,b040e35bea11297ff2abaa571a2bc32dab623410,190.0,passed,[52077070],0
4,1694575,52077434,yegor256/takes,False,,,java,,master,,,build_found,b040e35bea11297ff2abaa571a2bc32dab623410,52077069.0,,11,ba152dc5953c2a93da24718bf8dd487ae0460a39,1,ba152dc5953c2a93da24718bf8dd487ae0460a39,,,0,,0,0,0,0,1,0,0,0,0,1,42,4,3500.0,250.0,250.0,False,,,2015-02-25 02:14:32,48.35,43,52077435,5,java,ok,0.0,java-ant,,False,,,,,,,,,,,85.0,ba152dc5953c2a93da24718bf8dd487ae0460a39,245.0,passed,[52077435],1
5,1694584,52077826,yegor256/takes,False,,,java,,master,,,build_found,ba152dc5953c2a93da24718bf8dd487ae0460a39,52077434.0,,11,a044dd027d1e188d2ce5bb0e46fc454ae5026dee,1,a044dd027d1e188d2ce5bb0e46fc454ae5026dee,,,0,,0,0,0,0,1,0,0,0,0,1,43,4,3500.0,250.0,250.0,False,,,2015-02-25 02:20:37,48.36,44,52077827,6,java,ok,0.0,java-ant,,False,,,,,,,,,,,73.0,a044dd027d1e188d2ce5bb0e46fc454ae5026dee,199.0,passed,[52077827],1
6,1694978,52093026,yegor256/takes,False,,,java,,master,,,build_found,a044dd027d1e188d2ce5bb0e46fc454ae5026dee,52077826.0,,11,44f7b10440835b4a3e467c28518d60dbcb6cdf64,1,44f7b10440835b4a3e467c28518d60dbcb6cdf64,,,0,,0,0,24,0,2,0,1,0,0,26,2,529,81.2854442344045,3.78071833648393,3.78071833648393,False,,,2015-02-25 06:27:10,48.53,45,52093027,7,java,ok,0.0,java-ant,,False,,,,,,,,,,,91.0,44f7b10440835b4a3e467c28518d60dbcb6cdf64,201.0,passed,[52093027],0
7,1695103,52098040,yegor256/takes,False,,,java,,master,,,build_found,44f7b10440835b4a3e467c28518d60dbcb6cdf64,52093026.0,,11,8a8a56f26a9c380ad0393d6937ac7a71b1ccdee5,1,8a8a56f26a9c380ad0393d6937ac7a71b1ccdee5,,,0,,0,0,3,0,4,0,2,0,0,8,3,630,171.428571428571,4.76190476190476,6.34920634920635,False,,,2015-02-25 07:42:46,48.58,46,52098041,8,java,ok,0.0,java-ant,,False,,,,,,,,,,,123.0,8a8a56f26a9c380ad0393d6937ac7a71b1ccdee5,269.0,passed,[52098041],0
8,1695153,52100665,yegor256/takes,False,,,java,,master,,,build_found,8a8a56f26a9c380ad0393d6937ac7a71b1ccdee5,52098040.0,,11,8778ea618a59a7a2494f267bfd93d76c1025dbee,1,8778ea618a59a7a2494f267bfd93d76c1025dbee,,,0,,0,0,2,0,2,0,0,0,0,4,45,683,158.125915080527,4.39238653001464,5.85651537335286,False,,,2015-02-25 08:16:45,48.6,47,52100666,9,java,ok,0.0,java-ant,,False,,,,,,,,,,,104.0,8778ea618a59a7a2494f267bfd93d76c1025dbee,223.0,passed,[52100666],0
9,1696091,52149136,yegor256/takes,False,,,java,,master,,,build_found,8778ea618a59a7a2494f267bfd93d76c1025dbee,52100665.0,,11,fbe89c29950e3291402acbf0454e540b9471a7d0,1,fbe89c29950e3291402acbf0454e540b9471a7d0,,,0,,0,0,3,0,5,0,0,0,0,8,3,785,137.579617834395,3.82165605095541,5.09554140127389,False,,,2015-02-25 15:36:11,48.9,48,52149138,10,java,ok,0.0,java-ant,,False,,,,,,,,,,,104.0,fbe89c29950e3291402acbf0454e540b9471a7d0,222.0,passed,[52149138],0
