project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size
junit-team-junit5.csv,BATCHBISECT,-1,linear,2,528,65.00994035785288,1509
junit-team-junit5.csv,BATCHBISECT,-1,linear,3,530,64.87740225314778,1509
junit-team-junit5.csv,BATCHBISECT,-1,linear,4,532,64.74486414844267,1509
junit-team-junit5.csv,BATCHSTOP4,-1,linear,2,452,70.04638833664679,1509
junit-team-junit5.csv,BATCHSTOP4,-1,linear,3,454,69.91385023194168,1509
junit-team-junit5.csv,BATCHSTOP4,-1,linear,4,448,70.311464546057,1509
junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,2,615,59.24453280318092,1509
junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,3,617,59.11199469847581,1509
junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,4,611,59.50960901259112,1509
junit-team-junit5.csv,BATCHBISECT,-1,exponential,2,522,65.4075546719682,1509
junit-team-junit5.csv,BATCHBISECT,-1,exponential,3,528,65.00994035785288,1509
junit-team-junit5.csv,BATCHSTOP4,-1,exponential,2,455,69.84758117958913,1509
junit-team-junit5.csv,BATCHSTOP4,-1,exponential,3,446,70.44400265076209,1509
junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,2,488,67.66070245195493,1509
junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,3,488,67.66070245195493,1509
junit-team-junit5.csv,BATCHBISECT,-1,stagger,2,531,64.81113320079523,1509
junit-team-junit5.csv,BATCHBISECT,-1,stagger,3,514,65.93770709078859,1509
junit-team-junit5.csv,BATCHSTOP4,-1,stagger,2,458,69.64877402253148,1509
junit-team-junit5.csv,BATCHSTOP4,-1,stagger,3,447,70.37773359840955,1509
junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,2,626,58.51557322730285,1509
junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,3,638,57.720344599072234,1509
junit-team-junit5.csv,BATCHBISECT,-1,random_linear,-1,527,65.07620941020544,1509
junit-team-junit5.csv,BATCHSTOP4,-1,random_linear,-1,442,70.7090788601723,1509
junit-team-junit5.csv,BATCHDIVIDE4,-1,random_linear,-1,582,61.43141153081511,1509
junit-team-junit5.csv,BATCHBISECT,-1,random_exponential,-1,534,64.61232604373757,1509
junit-team-junit5.csv,BATCHSTOP4,-1,random_exponential,-1,462,69.38369781312127,1509
junit-team-junit5.csv,BATCHDIVIDE4,-1,random_exponential,-1,516,65.8051689860835,1509
ratpack-ratpack.csv,BATCHBISECT,-1,linear,2,1648,0.4830917874396192,1656
ratpack-ratpack.csv,BATCHBISECT,-1,linear,3,1670,-0.845410628019323,1656
ratpack-ratpack.csv,BATCHBISECT,-1,linear,4,1702,-2.7777777777777715,1656
ratpack-ratpack.csv,BATCHSTOP4,-1,linear,2,1337,19.263285024154584,1656
ratpack-ratpack.csv,BATCHSTOP4,-1,linear,3,1343,18.90096618357488,1656
ratpack-ratpack.csv,BATCHSTOP4,-1,linear,4,1405,15.15700483091787,1656
ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,2,1571,5.132850241545896,1656
ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,3,1512,8.695652173913047,1656
ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,4,1542,6.884057971014499,1656
ratpack-ratpack.csv,BATCHBISECT,-1,exponential,2,1671,-0.9057971014492807,1656
ratpack-ratpack.csv,BATCHBISECT,-1,exponential,3,1698,-2.536231884057969,1656
ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,2,1354,18.236714975845416,1656
ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,3,1386,16.304347826086953,1656
ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,2,1524,7.971014492753625,1656
ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,3,1515,8.514492753623188,1656
ratpack-ratpack.csv,BATCHBISECT,-1,stagger,2,1631,1.509661835748787,1656
ratpack-ratpack.csv,BATCHBISECT,-1,stagger,3,1653,0.18115942028985899,1656
ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,2,1336,19.32367149758454,1656
ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,3,1359,17.934782608695656,1656
ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,2,1546,6.642512077294683,1656
ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,3,1511,8.75603864734299,1656
ratpack-ratpack.csv,BATCHBISECT,-1,random_linear,-1,1659,-0.18115942028985899,1656
ratpack-ratpack.csv,BATCHSTOP4,-1,random_linear,-1,1344,18.840579710144922,1656
ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_linear,-1,1530,7.608695652173907,1656
ratpack-ratpack.csv,BATCHBISECT,-1,random_exponential,-1,1722,-3.9855072463768124,1656
ratpack-ratpack.csv,BATCHSTOP4,-1,random_exponential,-1,1403,15.277777777777771,1656
