,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs
286396,5626323,RS485/LogisticsPipes,False,,,java,,Dev,,,merge_found,,,,7,b463458911a99e4aeb361ec2ff11301489229044,1,b463458911a99e4aeb361ec2ff11301489229044,,,0,,0,0,0,0,6,0,0,0,0,6,101,39338,0.0,0.0,0.0,True,,,2013-03-19 14:19:51,289.91,1273,5626324,1,java,ok,,java-ant,,False,,,,,,,,,,,55.0,b463458911a99e4aeb361ec2ff11301489229044,883.0,passed,"[5626325, 5626324, 5626326]"
286397,5626323,RS485/LogisticsPipes,False,,,java,,Dev,,,merge_found,,,,7,b463458911a99e4aeb361ec2ff11301489229044,1,b463458911a99e4aeb361ec2ff11301489229044,,,0,,0,0,0,0,6,0,0,0,0,6,101,39338,0.0,0.0,0.0,True,,,2013-03-19 14:19:51,289.91,1273,5626325,1,java,ok,,java-ant,,False,,,,,,,,,,,4.0,b463458911a99e4aeb361ec2ff11301489229044,883.0,passed,"[5626325, 5626324, 5626326]"
286398,5626323,RS485/LogisticsPipes,False,,,java,,Dev,,,merge_found,,,,7,b463458911a99e4aeb361ec2ff11301489229044,1,b463458911a99e4aeb361ec2ff11301489229044,,,0,,0,0,0,0,6,0,0,0,0,6,101,39338,0.0,0.0,0.0,True,,,2013-03-19 14:19:51,289.91,1273,5626326,1,java,ok,,java-ant,,False,,,,,,,,,,,41.0,b463458911a99e4aeb361ec2ff11301489229044,883.0,passed,"[5626325, 5626324, 5626326]"
287193,5640940,RS485/LogisticsPipes,False,,,java,,multiCrafting,,,merge_found,,,,7,dafe46f90d0ea39dfa1fc8be0ecc82290db1221e,1,dafe46f90d0ea39dfa1fc8be0ecc82290db1221e,,,0,,0,0,1,0,28,0,0,0,0,29,498,39644,0.0,0.0,0.0,True,,,2013-03-19 22:22:35,290.24,1292,5640941,2,java,ok,,java-ant,,False,,,,,,,,,,,54.0,dafe46f90d0ea39dfa1fc8be0ecc82290db1221e,863.0,passed,"[5640942, 5640945, 5640941]"
287194,5640940,RS485/LogisticsPipes,False,,,java,,multiCrafting,,,merge_found,,,,7,dafe46f90d0ea39dfa1fc8be0ecc82290db1221e,1,dafe46f90d0ea39dfa1fc8be0ecc82290db1221e,,,0,,0,0,1,0,28,0,0,0,0,29,498,39644,0.0,0.0,0.0,True,,,2013-03-19 22:22:35,290.24,1292,5640942,2,java,ok,,java-ant,,False,,,,,,,,,,,22.0,dafe46f90d0ea39dfa1fc8be0ecc82290db1221e,863.0,passed,"[5640942, 5640945, 5640941]"
287195,5640940,RS485/LogisticsPipes,False,,,java,,multiCrafting,,,merge_found,,,,7,dafe46f90d0ea39dfa1fc8be0ecc82290db1221e,1,dafe46f90d0ea39dfa1fc8be0ecc82290db1221e,,,0,,0,0,1,0,28,0,0,0,0,29,498,39644,0.0,0.0,0.0,True,,,2013-03-19 22:22:35,290.24,1292,5640945,2,java,ok,,java-ant,,False,,,,,,,,,,,0.0,dafe46f90d0ea39dfa1fc8be0ecc82290db1221e,863.0,passed,"[5640942, 5640945, 5640941]"
287708,5651793,RS485/LogisticsPipes,False,,,java,,Dev,,,build_found,b463458911a99e4aeb361ec2ff11301489229044,5626323.0,,7,75b9b64f4a96c2d7cbb048551161c481da9f7922,1,75b9b64f4a96c2d7cbb048551161c481da9f7922,,,0,,0,0,0,0,1,0,0,0,0,1,21,39339,0.0,0.0,0.0,True,,,2013-03-20 09:50:28,290.72,1274,5651794,7,java,ok,,java-ant,,False,,,,,,,,,,,20.0,75b9b64f4a96c2d7cbb048551161c481da9f7922,748.0,passed,"[5651794, 5651795, 5651796]"
287709,5651793,RS485/LogisticsPipes,False,,,java,,Dev,,,build_found,b463458911a99e4aeb361ec2ff11301489229044,5626323.0,,7,75b9b64f4a96c2d7cbb048551161c481da9f7922,1,75b9b64f4a96c2d7cbb048551161c481da9f7922,,,0,,0,0,0,0,1,0,0,0,0,1,21,39339,0.0,0.0,0.0,True,,,2013-03-20 09:50:28,290.72,1274,5651795,7,java,ok,,java-ant,,False,,,,,,,,,,,46.0,75b9b64f4a96c2d7cbb048551161c481da9f7922,748.0,passed,"[5651794, 5651795, 5651796]"
287710,5651793,RS485/LogisticsPipes,False,,,java,,Dev,,,build_found,b463458911a99e4aeb361ec2ff11301489229044,5626323.0,,7,75b9b64f4a96c2d7cbb048551161c481da9f7922,1,75b9b64f4a96c2d7cbb048551161c481da9f7922,,,0,,0,0,0,0,1,0,0,0,0,1,21,39339,0.0,0.0,0.0,True,,,2013-03-20 09:50:28,290.72,1274,5651796,7,java,ok,,java-ant,,False,,,,,,,,,,,13.0,75b9b64f4a96c2d7cbb048551161c481da9f7922,748.0,passed,"[5651794, 5651795, 5651796]"
289199,5679246,RS485/LogisticsPipes,False,,,java,,multiCrafting,,,merge_found,,,,7,d7446f509e6763bdbca0d5ab6b6086226b247035,1,d7446f509e6763bdbca0d5ab6b6086226b247035,,,0,,0,0,0,0,1,0,0,0,0,1,24,39645,0.0,0.0,0.0,True,,,2013-03-21 06:13:15,291.57,1294,5679247,10,java,ok,,java-ant,,False,,,,,,,,,,,29.0,d7446f509e6763bdbca0d5ab6b6086226b247035,828.0,passed,"[5679249, 5679247, 5679248]"
289200,5679246,RS485/LogisticsPipes,False,,,java,,multiCrafting,,,merge_found,,,,7,d7446f509e6763bdbca0d5ab6b6086226b247035,1,d7446f509e6763bdbca0d5ab6b6086226b247035,,,0,,0,0,0,0,1,0,0,0,0,1,24,39645,0.0,0.0,0.0,True,,,2013-03-21 06:13:15,291.57,1294,5679248,10,java,ok,,java-ant,,False,,,,,,,,,,,19.0,d7446f509e6763bdbca0d5ab6b6086226b247035,828.0,passed,"[5679249, 5679247, 5679248]"
289201,5679246,RS485/LogisticsPipes,False,,,java,,multiCrafting,,,merge_found,,,,7,d7446f509e6763bdbca0d5ab6b6086226b247035,1,d7446f509e6763bdbca0d5ab6b6086226b247035,,,0,,0,0,0,0,1,0,0,0,0,1,24,39645,0.0,0.0,0.0,True,,,2013-03-21 06:13:15,291.57,1294,5679249,10,java,ok,,java-ant,,False,,,,,,,,,,,57.0,d7446f509e6763bdbca0d5ab6b6086226b247035,828.0,passed,"[5679249, 5679247, 5679248]"
289432,5684196,RS485/LogisticsPipes,True,2012-08-03 22:16:15,38.0,java,merge_button,Dev,,,merge_found,,,,7,d7446f509e6763bdbca0d5ab6b6086226b247035,1,d7446f509e6763bdbca0d5ab6b6086226b247035,75b9b64f4a96c2d7cbb048551161c481da9f7922,0.0,0,0.0,0,0,0,0,1,0,0,0,0,1,24,39645,0.0,0.0,0.0,True,6.0,,2013-03-21 11:12:22,291.57,1294,5684197,13,java,unknown,,java-ant,,False,,,,,,,,,,,10.0,dbbd143020a200c366eda77c6297c37d09e08d13,757.0,passed,"[5684197, 5684198, 5684199]"
289433,5684196,RS485/LogisticsPipes,True,2012-08-03 22:16:15,38.0,java,merge_button,Dev,,,merge_found,,,,7,d7446f509e6763bdbca0d5ab6b6086226b247035,1,d7446f509e6763bdbca0d5ab6b6086226b247035,75b9b64f4a96c2d7cbb048551161c481da9f7922,0.0,0,0.0,0,0,0,0,1,0,0,0,0,1,24,39645,0.0,0.0,0.0,True,6.0,,2013-03-21 11:12:22,291.57,1294,5684198,13,java,ok,,java-ant,,False,,,,,,,,,,,43.0,dbbd143020a200c366eda77c6297c37d09e08d13,757.0,passed,"[5684197, 5684198, 5684199]"
289434,5684196,RS485/LogisticsPipes,True,2012-08-03 22:16:15,38.0,java,merge_button,Dev,,,merge_found,,,,7,d7446f509e6763bdbca0d5ab6b6086226b247035,1,d7446f509e6763bdbca0d5ab6b6086226b247035,75b9b64f4a96c2d7cbb048551161c481da9f7922,0.0,0,0.0,0,0,0,0,1,0,0,0,0,1,24,39645,0.0,0.0,0.0,True,6.0,,2013-03-21 11:12:22,291.57,1294,5684199,13,java,unknown,,java-ant,,False,,,,,,,,,,,27.0,dbbd143020a200c366eda77c6297c37d09e08d13,757.0,passed,"[5684197, 5684198, 5684199]"
289435,5684213,RS485/LogisticsPipes,False,,,java,,Dev,,,merge_found,,,,7,ac1b681205dbfcc042a6775c4fd3437a451e04bd,1,ac1b681205dbfcc042a6775c4fd3437a451e04bd,,,0,,0,0,1,1,81,0,0,0,0,83,684,39645,0.0,0.0,0.0,True,,,2013-03-21 11:12:24,291.78,1295,5684214,14,java,ok,,java-ant,,False,,,,,,,,,,,5.0,ac1b681205dbfcc042a6775c4fd3437a451e04bd,751.0,passed,"[5684216, 5684215, 5684214]"
289436,5684213,RS485/LogisticsPipes,False,,,java,,Dev,,,merge_found,,,,7,ac1b681205dbfcc042a6775c4fd3437a451e04bd,1,ac1b681205dbfcc042a6775c4fd3437a451e04bd,,,0,,0,0,1,1,81,0,0,0,0,83,684,39645,0.0,0.0,0.0,True,,,2013-03-21 11:12:24,291.78,1295,5684215,14,java,ok,,java-ant,,False,,,,,,,,,,,14.0,ac1b681205dbfcc042a6775c4fd3437a451e04bd,751.0,passed,"[5684216, 5684215, 5684214]"
289437,5684213,RS485/LogisticsPipes,False,,,java,,Dev,,,merge_found,,,,7,ac1b681205dbfcc042a6775c4fd3437a451e04bd,1,ac1b681205dbfcc042a6775c4fd3437a451e04bd,,,0,,0,0,1,1,81,0,0,0,0,83,684,39645,0.0,0.0,0.0,True,,,2013-03-21 11:12:24,291.78,1295,5684216,14,java,ok,,java-ant,,False,,,,,,,,,,,10.0,ac1b681205dbfcc042a6775c4fd3437a451e04bd,751.0,passed,"[5684216, 5684215, 5684214]"
292395,5766074,RS485/LogisticsPipes,False,,,java,,main,,,merge_found,,,,7,3c6fd3d732968ce74269b16a5cdeb97c4e89d24c,1,3c6fd3d732968ce74269b16a5cdeb97c4e89d24c,,,0,,0,0,0,0,1,0,0,0,0,1,26,39368,0.0,0.0,0.0,True,,,2013-03-24 21:42:20,290.82,1299,5766075,15,ruby,broken,,ruby,,False,,,,,,,,,,,,3c6fd3d732968ce74269b16a5cdeb97c4e89d24c,11.0,failed,[5766075]
300142,5948248,RS485/LogisticsPipes,True,2012-08-04 19:39:54,43.0,java,merge_button,Dev,,,build_found,ac1b681205dbfcc042a6775c4fd3437a451e04bd,5684213.0,,7,994e487ef1b40ba3398c3c1628ec95c7e9c197bf,1,994e487ef1b40ba3398c3c1628ec95c7e9c197bf,ac1b681205dbfcc042a6775c4fd3437a451e04bd,0.0,0,0.0,0,0,1,0,2,0,0,0,0,3,63,39686,0.0,0.0,0.0,True,14.0,,2013-04-01 01:23:02,302.36,1296,5948249,16,java,ok,,java-ant,,False,,,,,,,,,,,53.0,cff9e830b55f21ecc3c5ad61434d518fd34a17d0,682.0,passed,"[5948249, 5948250, 5948251]"
300143,5948248,RS485/LogisticsPipes,True,2012-08-04 19:39:54,43.0,java,merge_button,Dev,,,build_found,ac1b681205dbfcc042a6775c4fd3437a451e04bd,5684213.0,,7,994e487ef1b40ba3398c3c1628ec95c7e9c197bf,1,994e487ef1b40ba3398c3c1628ec95c7e9c197bf,ac1b681205dbfcc042a6775c4fd3437a451e04bd,0.0,0,0.0,0,0,1,0,2,0,0,0,0,3,63,39686,0.0,0.0,0.0,True,14.0,,2013-04-01 01:23:02,302.36,1296,5948250,16,java,ok,,java-ant,,False,,,,,,,,,,,31.0,cff9e830b55f21ecc3c5ad61434d518fd34a17d0,682.0,passed,"[5948249, 5948250, 5948251]"
300144,5948248,RS485/LogisticsPipes,True,2012-08-04 19:39:54,43.0,java,merge_button,Dev,,,build_found,ac1b681205dbfcc042a6775c4fd3437a451e04bd,5684213.0,,7,994e487ef1b40ba3398c3c1628ec95c7e9c197bf,1,994e487ef1b40ba3398c3c1628ec95c7e9c197bf,ac1b681205dbfcc042a6775c4fd3437a451e04bd,0.0,0,0.0,0,0,1,0,2,0,0,0,0,3,63,39686,0.0,0.0,0.0,True,14.0,,2013-04-01 01:23:02,302.36,1296,5948251,16,java,ok,,java-ant,,False,,,,,,,,,,,7.0,cff9e830b55f21ecc3c5ad61434d518fd34a17d0,682.0,passed,"[5948249, 5948250, 5948251]"
300145,5948289,RS485/LogisticsPipes,False,,,java,,Dev,,,merge_found,,,,7,16759d91ef51a4e8417c6417a967b6af1bfb1487,1,16759d91ef51a4e8417c6417a967b6af1bfb1487,,,0,,0,0,1,0,2,0,0,0,0,3,64,39686,0.0,0.0,0.0,True,,,2013-04-01 01:28:39,302.37,1297,5948290,17,java,ok,,java-ant,,False,,,,,,,,,,,57.0,16759d91ef51a4e8417c6417a967b6af1bfb1487,726.0,passed,"[5948291, 5948290, 5948292]"
