,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs
521737,11905685,geotools/geotools,False,,,java,,master,,,merge_found,,,,28,3d031c2b4eb66e6081b1d7cfc842338e0939f94d#b225b2e7ae53760dab9306fcbbe76b9e20be3818#5ffea999954e13c0004f4b3a38860d2284495bb3,3,3d031c2b4eb66e6081b1d7cfc842338e0939f94d,,,0,,0,0,1,0,10,0,0,0,0,11,112,767211,251.873343838918,4.5463373178956,32.4460937082498,True,,,2013-09-28 16:38:14,976.06,2757,11905686,1,java,broken,,java-maven,junit,True,True,1293.0,8.0,1301.0,1.0,,,,UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#SLDStyleTest#,82.7600000000002,,3d031c2b4eb66e6081b1d7cfc842338e0939f94d,2480.0,failed,"[11905686, 11905687]"
521738,11905685,geotools/geotools,False,,,java,,master,,,merge_found,,,,28,3d031c2b4eb66e6081b1d7cfc842338e0939f94d#b225b2e7ae53760dab9306fcbbe76b9e20be3818#5ffea999954e13c0004f4b3a38860d2284495bb3,3,3d031c2b4eb66e6081b1d7cfc842338e0939f94d,,,0,,0,0,1,0,10,0,0,0,0,11,112,767211,251.873343838918,4.5463373178956,32.4460937082498,True,,,2013-09-28 16:38:14,976.06,2757,11905687,1,java,broken,,java-maven,junit,True,True,1293.0,8.0,1301.0,1.0,,,,UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#SLDStyleTest#,56.03,,3d031c2b4eb66e6081b1d7cfc842338e0939f94d,2480.0,failed,"[11905686, 11905687]"
521748,11906448,geotools/geotools,False,,,java,,master,,,build_found,3d031c2b4eb66e6081b1d7cfc842338e0939f94d,11905685.0,,28,0407d37781bd366c21094264f8c876ada21b9351,1,0407d37781bd366c21094264f8c876ada21b9351,,,0,,0,0,0,0,1,0,0,0,0,1,1,767211,251.873343838918,4.5463373178956,32.4460937082498,True,,,2013-09-28 17:04:33,976.08,2758,11906449,2,java,broken,,java-maven,junit,True,True,1293.0,8.0,1301.0,1.0,,,,UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#UomRescaleStyleVisitorTest#SLDStyleTest#,51.2,,0407d37781bd366c21094264f8c876ada21b9351,1417.0,errored,"[11906449, 11906450]"
521749,11906448,geotools/geotools,False,,,java,,master,,,build_found,3d031c2b4eb66e6081b1d7cfc842338e0939f94d,11905685.0,,28,0407d37781bd366c21094264f8c876ada21b9351,1,0407d37781bd366c21094264f8c876ada21b9351,,,0,,0,0,0,0,1,0,0,0,0,1,1,767211,251.873343838918,4.5463373178956,32.4460937082498,True,,,2013-09-28 17:04:33,976.08,2758,11906450,2,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,0407d37781bd366c21094264f8c876ada21b9351,1417.0,errored,"[11906449, 11906450]"
521750,11906473,geotools/geotools,False,,,java,,master,,,build_found,0407d37781bd366c21094264f8c876ada21b9351,11906448.0,,28,2700fd0e6fd265f2315ec7d42dbb18970b38041d,1,2700fd0e6fd265f2315ec7d42dbb18970b38041d,,,0,,0,0,0,0,1,0,0,0,0,1,2,767211,251.873343838918,4.5463373178956,32.4460937082498,True,,,2013-09-28 17:06:04,976.08,2759,11906474,3,java,broken,,java-maven,junit,True,True,0.0,,,0.0,,,,H2EmptyGeometryTest>OnlineTestCase#H2EmptyGeometryTest>OnlineTestCase#H2EmptyGeometryTest>OnlineTestCase#H2EmptyGeometryTest>OnlineTestCase#H2EmptyGeometryTest>OnlineTestCase#H2EmptyGeometryTest>OnlineTestCase#,249.53,,2700fd0e6fd265f2315ec7d42dbb18970b38041d,3170.0,failed,"[11906474, 11906475]"
521751,11906473,geotools/geotools,False,,,java,,master,,,build_found,0407d37781bd366c21094264f8c876ada21b9351,11906448.0,,28,2700fd0e6fd265f2315ec7d42dbb18970b38041d,1,2700fd0e6fd265f2315ec7d42dbb18970b38041d,,,0,,0,0,0,0,1,0,0,0,0,1,2,767211,251.873343838918,4.5463373178956,32.4460937082498,True,,,2013-09-28 17:06:04,976.08,2759,11906475,3,java,ok,,java-maven,junit,True,False,122.0,0.0,122.0,0.0,,,,,800.139999999995,,2700fd0e6fd265f2315ec7d42dbb18970b38041d,3170.0,failed,"[11906474, 11906475]"
523314,11955392,geotools/geotools,False,,,java,,master,,,build_found,2700fd0e6fd265f2315ec7d42dbb18970b38041d,11906473.0,,28,d82b49e65bbd129b400c6a05cfc7d2f81876725e,1,d82b49e65bbd129b400c6a05cfc7d2f81876725e,,,0,,0,0,0,0,4,0,0,0,0,4,75,767214,251.872358950697,4.54631954057147,32.4459668358502,True,,,2013-09-30 10:03:31,977.79,2760,11955393,4,java,broken,,java-maven,junit,True,True,84.0,3.0,87.0,2.0,,,,ImageMosaicReaderTest#ImageMosaicReaderTest#ImageMosaicReaderTest#,576.969999999999,,d82b49e65bbd129b400c6a05cfc7d2f81876725e,3704.0,failed,"[11955393, 11955394]"
523315,11955392,geotools/geotools,False,,,java,,master,,,build_found,2700fd0e6fd265f2315ec7d42dbb18970b38041d,11906473.0,,28,d82b49e65bbd129b400c6a05cfc7d2f81876725e,1,d82b49e65bbd129b400c6a05cfc7d2f81876725e,,,0,,0,0,0,0,4,0,0,0,0,4,75,767214,251.872358950697,4.54631954057147,32.4459668358502,True,,,2013-09-30 10:03:31,977.79,2760,11955394,4,java,ok,,java-maven,junit,True,False,122.0,0.0,122.0,0.0,,,,,869.909999999997,,d82b49e65bbd129b400c6a05cfc7d2f81876725e,3704.0,failed,"[11955393, 11955394]"
523347,11956708,geotools/geotools,False,,,java,,10.x,,,merge_found,,,,28,d0c7bd9ab73a917a944ce35d42be3b7e099ad14e#77ead4c2147ed8cd47e0131006dadb4d44404a97,2,d0c7bd9ab73a917a944ce35d42be3b7e099ad14e,,,0,,0,0,0,0,6,0,0,0,0,6,74,766805,251.792828685259,4.53179100292773,32.3954590802094,True,,,2013-09-30 10:55:46,977.8,2722,11956709,5,ruby,broken,,ruby,,False,,,,,,,,,,,,d0c7bd9ab73a917a944ce35d42be3b7e099ad14e,22.0,failed,[11956709]
524882,11995673,geotools/geotools,False,,,java,,master,,,build_found,d82b49e65bbd129b400c6a05cfc7d2f81876725e,11955392.0,,28,6c6fdabef3b4d4646466809716ebf7e5bc38abf3,1,6c6fdabef3b4d4646466809716ebf7e5bc38abf3,,,0,,0,0,0,0,1,0,0,0,0,1,15,767215,251.872030656335,4.54631361482766,32.4459245452709,True,,,2013-10-01 06:16:21,978.62,2761,11995674,9,java,broken,,java-maven,junit,True,True,108.0,,108.0,0.0,,,,ImageMosaicReaderTest#ImageMosaicReaderTest#ImageMosaicReaderTest#,505.009999999999,,6c6fdabef3b4d4646466809716ebf7e5bc38abf3,3351.0,failed,"[11995674, 11995675]"
