,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs
472012,10417449,rackerlabs/blueflood,True,2013-08-20 15:02:57,61.0,java,merge_button,master,,,no_previous_build,3926aad6131dc0bb092b438e22896e3310afbd2f,,,26,0dcee5ff28e701e4d63692a9c6f6da1960d20c61#3926aad6131dc0bb092b438e22896e3310afbd2f,2,0dcee5ff28e701e4d63692a9c6f6da1960d20c61,3926aad6131dc0bb092b438e22896e3310afbd2f,1.0,0,0.0,0,0,195,0,1,0,0,0,0,194,0,6683,655.39428400419,25.8865778841838,84.6925033667515,True,18.0,,2013-08-20 17:03:39,0.98,1,10417450,2,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,5c8b3fc43a96ade55bb118534b7e2ab98b15031a,443.0,errored,"[10417450, 10417451]"
472013,10417449,rackerlabs/blueflood,True,2013-08-20 15:02:57,61.0,java,merge_button,master,,,no_previous_build,3926aad6131dc0bb092b438e22896e3310afbd2f,,,26,0dcee5ff28e701e4d63692a9c6f6da1960d20c61#3926aad6131dc0bb092b438e22896e3310afbd2f,2,0dcee5ff28e701e4d63692a9c6f6da1960d20c61,3926aad6131dc0bb092b438e22896e3310afbd2f,1.0,0,0.0,0,0,195,0,1,0,0,0,0,194,0,6683,655.39428400419,25.8865778841838,84.6925033667515,True,18.0,,2013-08-20 17:03:39,0.98,1,10417451,2,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,5c8b3fc43a96ade55bb118534b7e2ab98b15031a,443.0,errored,"[10417450, 10417451]"
472079,10419310,rackerlabs/blueflood,False,,,java,,master,,,merge_found,,,,26,c7fd89ddc2b8484c1f747fd7710a2af14ae63bbd,1,c7fd89ddc2b8484c1f747fd7710a2af14ae63bbd,,,0,,0,0,0,0,1,0,0,0,0,1,2,6683,655.39428400419,25.8865778841838,84.6925033667515,True,,,2013-08-20 17:57:05,1.01,2,10419311,3,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,c7fd89ddc2b8484c1f747fd7710a2af14ae63bbd,447.0,errored,"[10419311, 10419312]"
472080,10419310,rackerlabs/blueflood,False,,,java,,master,,,merge_found,,,,26,c7fd89ddc2b8484c1f747fd7710a2af14ae63bbd,1,c7fd89ddc2b8484c1f747fd7710a2af14ae63bbd,,,0,,0,0,0,0,1,0,0,0,0,1,2,6683,655.39428400419,25.8865778841838,84.6925033667515,True,,,2013-08-20 17:57:05,1.01,2,10419312,3,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,c7fd89ddc2b8484c1f747fd7710a2af14ae63bbd,447.0,errored,"[10419311, 10419312]"
472104,10420024,rackerlabs/blueflood,False,,,java,,master,,,merge_found,,,,26,4dfb2d9d239748992c92e09f02a7be89f5577549,1,4dfb2d9d239748992c92e09f02a7be89f5577549,,,0,,0,0,0,0,1,0,0,0,0,1,2,6683,655.39428400419,25.8865778841838,84.6925033667515,True,,,2013-08-20 18:19:51,1.02,4,10420025,4,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,4dfb2d9d239748992c92e09f02a7be89f5577549,464.0,errored,"[10420026, 10420025]"
472105,10420024,rackerlabs/blueflood,False,,,java,,master,,,merge_found,,,,26,4dfb2d9d239748992c92e09f02a7be89f5577549,1,4dfb2d9d239748992c92e09f02a7be89f5577549,,,0,,0,0,0,0,1,0,0,0,0,1,2,6683,655.39428400419,25.8865778841838,84.6925033667515,True,,,2013-08-20 18:19:51,1.02,4,10420026,4,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,4dfb2d9d239748992c92e09f02a7be89f5577549,464.0,errored,"[10420026, 10420025]"
472442,10425277,rackerlabs/blueflood,True,2013-08-20 18:34:39,62.0,java,merge_button,master,,,build_found,c7fd89ddc2b8484c1f747fd7710a2af14ae63bbd,10419310.0,,26,705356904ccd13092052fd32659cb7b2baa6693e,1,705356904ccd13092052fd32659cb7b2baa6693e,4dfb2d9d239748992c92e09f02a7be89f5577549,1.0,0,0.0,0,0,0,0,1,0,0,0,0,1,3,6683,655.39428400419,25.8865778841838,84.6925033667515,True,17.0,,2013-08-20 20:37:11,1.12,3,10425278,5,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,a6a7d20a148c8d48dd095cebe81c87ebba065b7c,426.0,errored,"[10425278, 10425279]"
472443,10425277,rackerlabs/blueflood,True,2013-08-20 18:34:39,62.0,java,merge_button,master,,,build_found,c7fd89ddc2b8484c1f747fd7710a2af14ae63bbd,10419310.0,,26,705356904ccd13092052fd32659cb7b2baa6693e,1,705356904ccd13092052fd32659cb7b2baa6693e,4dfb2d9d239748992c92e09f02a7be89f5577549,1.0,0,0.0,0,0,0,0,1,0,0,0,0,1,3,6683,655.39428400419,25.8865778841838,84.6925033667515,True,17.0,,2013-08-20 20:37:11,1.12,3,10425279,5,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,a6a7d20a148c8d48dd095cebe81c87ebba065b7c,426.0,errored,"[10425278, 10425279]"
472445,10425382,rackerlabs/blueflood,False,,,java,,master,,,merge_found,,,,26,60b74a2dd35d7aac8c16fe2a822a1193b0854bbc,1,60b74a2dd35d7aac8c16fe2a822a1193b0854bbc,,,0,,0,0,0,0,1,0,0,0,0,1,4,6683,655.39428400419,25.8865778841838,84.6925033667515,True,,,2013-08-20 20:39:05,1.12,6,10425383,6,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,60b74a2dd35d7aac8c16fe2a822a1193b0854bbc,473.0,errored,"[10425384, 10425383]"
472446,10425382,rackerlabs/blueflood,False,,,java,,master,,,merge_found,,,,26,60b74a2dd35d7aac8c16fe2a822a1193b0854bbc,1,60b74a2dd35d7aac8c16fe2a822a1193b0854bbc,,,0,,0,0,0,0,1,0,0,0,0,1,4,6683,655.39428400419,25.8865778841838,84.6925033667515,True,,,2013-08-20 20:39:05,1.12,6,10425384,6,java,unknown,,java-maven,,False,,,,,,,,,,0.0,,60b74a2dd35d7aac8c16fe2a822a1193b0854bbc,473.0,errored,"[10425384, 10425383]"
