,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs
757495,19089105,FasterXML/jackson-databind,False,,,java,,2.3,,,merge_found,,,,7,20d2fc9c3946103d22322f477778ee311896dd0e#0bcbe8d7bc141d7c01d4d0aa3435620ec151888f,2,20d2fc9c3946103d22322f477778ee311896dd0e,,,0,,0,0,1,0,1,0,0,0,0,2,75,46027,585.026180285485,0.173811023964195,93.0758033328264,True,,,2014-02-18 05:14:44,787.91,1205,19089106,1,java,ok,,java-ant,,False,,,,,,,,,,,0.0,20d2fc9c3946103d22322f477778ee311896dd0e,79.0,passed,[19089106]
761997,19223687,FasterXML/jackson-databind,False,,,java,,master,,,merge_found,,,,7,72ce52f9bc894bd9ab7b42d0564a91eebd668e0f,1,72ce52f9bc894bd9ab7b42d0564a91eebd668e0f,,,0,,0,0,0,0,16,0,0,0,0,16,293,45437,613.442788916522,0.176067962233422,97.2555406386865,True,,,2014-02-19 23:36:25,789.67,1297,19223688,2,java,ok,,java-ant,,False,,,,,,,,,,,0.0,72ce52f9bc894bd9ab7b42d0564a91eebd668e0f,92.0,passed,[19223688]
778187,19630971,FasterXML/jackson-databind,False,,,java,,master,,,merge_found,,,,7,5ad9622c4db7c43ca936580296cfdc6146a28ca7,1,5ad9622c4db7c43ca936580296cfdc6146a28ca7,,,0,,0,0,0,0,8,0,0,0,0,8,72,45437,614.30112023241,0.176067962233422,97.5196425820367,True,,,2014-02-26 06:03:35,795.94,1300,19630972,3,java,ok,,java-ant,,False,,,,,,,,,,,0.0,5ad9622c4db7c43ca936580296cfdc6146a28ca7,84.0,passed,[19630972]
778188,19631068,FasterXML/jackson-databind,False,,,java,,master,,,build_found,5ad9622c4db7c43ca936580296cfdc6146a28ca7,19630971.0,,7,3ca881eb2e088ee3124ff351119e15ecf14fe0f2,1,3ca881eb2e088ee3124ff351119e15ecf14fe0f2,,,0,,0,0,0,0,2,0,0,0,0,2,226,45437,614.30112023241,0.176067962233422,97.5196425820367,True,,,2014-02-26 06:06:38,795.94,1301,19631069,4,java,ok,,java-ant,,False,,,,,,,,,,,0.0,3ca881eb2e088ee3124ff351119e15ecf14fe0f2,78.0,passed,[19631069]
778208,19631894,FasterXML/jackson-databind,False,,,java,,2.3,,,build_found,20d2fc9c3946103d22322f477778ee311896dd0e,19089105.0,,7,29963a75e8861a06c0c58989b552759fb02e4036,1,29963a75e8861a06c0c58989b552759fb02e4036,,,0,,0,0,0,0,4,0,0,0,0,4,252,46048,584.846247394024,0.173731758165393,93.0767894371091,True,,,2014-02-26 06:36:11,795.97,1206,19631895,5,java,ok,,java-ant,,False,,,,,,,,,,,0.0,29963a75e8861a06c0c58989b552759fb02e4036,82.0,passed,[19631895]
778209,19631896,FasterXML/jackson-databind,False,,,java,,master,,,build_found,3ca881eb2e088ee3124ff351119e15ecf14fe0f2,19631068.0,,7,06a6ebf478c0e1960894916b6ffbb24139c6e30b,1,06a6ebf478c0e1960894916b6ffbb24139c6e30b,,,0,,0,0,0,0,3,0,0,0,0,3,50,45456,614.132347764872,0.175994368180218,97.5228792678634,True,,,2014-02-26 06:36:16,795.96,1302,19631897,6,java,ok,,java-ant,,False,,,,,,,,,,,0.0,06a6ebf478c0e1960894916b6ffbb24139c6e30b,101.0,passed,[19631897]
778213,19632015,FasterXML/jackson-databind,False,,,java,,master,,,build_found,06a6ebf478c0e1960894916b6ffbb24139c6e30b,19631896.0,,7,2deb76dda7059dec05100d54406e817795962a99,1,2deb76dda7059dec05100d54406e817795962a99,,,0,,0,0,0,0,1,0,0,0,0,1,38,45456,614.132347764872,0.175994368180218,97.5228792678634,True,,,2014-02-26 06:38:49,795.97,1303,19632016,7,java,ok,,java-ant,,False,,,,,,,,,,,0.0,2deb76dda7059dec05100d54406e817795962a99,94.0,passed,[19632016]
778221,19632259,FasterXML/jackson-databind,False,,,java,,master,,,build_found,2deb76dda7059dec05100d54406e817795962a99,19632015.0,,7,f0a2158fa6f1e8f1aebd450fc77dae9ec5fcc72d,1,f0a2158fa6f1e8f1aebd450fc77dae9ec5fcc72d,,,0,,0,0,0,0,1,0,0,0,0,1,7,45456,614.440337909187,0.175994368180218,97.544878563886,True,,,2014-02-26 06:45:52,795.97,1304,19632260,8,java,broken,,java-ant,,False,,,,,,,,,,,0.0,f0a2158fa6f1e8f1aebd450fc77dae9ec5fcc72d,74.0,failed,[19632260]
778227,19632751,FasterXML/jackson-databind,False,,,java,,2.3,,,build_found,29963a75e8861a06c0c58989b552759fb02e4036,19631894.0,,7,fd4b40efd5e32f982fbecc7d09e8157b7911b2d8,1,fd4b40efd5e32f982fbecc7d09e8157b7911b2d8,,,0,,0,0,1,0,3,0,0,0,0,4,261,46050,585.124864277959,0.173724212812161,93.0944625407166,True,,,2014-02-26 07:03:25,795.98,1207,19632752,9,java,ok,,java-ant,,False,,,,,,,,,,,0.0,fd4b40efd5e32f982fbecc7d09e8157b7911b2d8,71.0,passed,[19632752]
778228,19632758,FasterXML/jackson-databind,False,,,java,,master,,,build_found,f0a2158fa6f1e8f1aebd450fc77dae9ec5fcc72d,19632259.0,,7,1bed6c26e88f889f5ea891b7fe88f74dd56579c8,1,1bed6c26e88f889f5ea891b7fe88f74dd56579c8,,,0,,0,0,0,0,2,0,0,0,0,2,82,45438,614.683744883137,0.176064087327787,97.5835204014261,True,,,2014-02-26 07:03:45,795.98,1305,19632759,10,java,ok,,java-ant,,False,,,,,,,,,,,0.0,1bed6c26e88f889f5ea891b7fe88f74dd56579c8,86.0,passed,[19632759]
778234,19632989,FasterXML/jackson-databind,False,,,java,,2.3,,,build_found,fd4b40efd5e32f982fbecc7d09e8157b7911b2d8,19632751.0,,7,e9f7503798205a2019b2456faeb5efc0c3037551,1,e9f7503798205a2019b2456faeb5efc0c3037551,,,0,,0,0,0,1,1,0,0,0,0,2,47,46050,585.124864277959,0.173724212812161,93.0944625407166,True,,,2014-02-26 07:10:01,795.99,1208,19632990,11,java,ok,,java-ant,,False,,,,,,,,,,,0.0,e9f7503798205a2019b2456faeb5efc0c3037551,82.0,passed,[19632990]
