,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs
1866388,59261685,SpongePowered/SpongeCommon,False,,,java,,master,,,no_previous_build,83b2bf765a85829290e07e09397ef6c5bc8a72ad,,,15,83b2bf765a85829290e07e09397ef6c5bc8a72ad,1,83b2bf765a85829290e07e09397ef6c5bc8a72ad,,,0,,164,0,238,0,0,0,0,1,0,237,0,11633,9.28393363706696,0.343849393965443,1.37539757586177,True,,,2015-04-20 15:33:38,0.0,0,59261686,5,java,ok,0.0,java-gradle,junit,True,False,,0.0,,,,,,,,,83b2bf765a85829290e07e09397ef6c5bc8a72ad,1632.0,passed,"[59261686, 59261687, 59261688, 59261689]"
1866389,59261685,SpongePowered/SpongeCommon,False,,,java,,master,,,no_previous_build,83b2bf765a85829290e07e09397ef6c5bc8a72ad,,,15,83b2bf765a85829290e07e09397ef6c5bc8a72ad,1,83b2bf765a85829290e07e09397ef6c5bc8a72ad,,,0,,164,0,238,0,0,0,0,1,0,237,0,11633,9.28393363706696,0.343849393965443,1.37539757586177,True,,,2015-04-20 15:33:38,0.0,0,59261687,5,java,ok,0.0,java-gradle,junit,True,False,,0.0,,,,,,,,,83b2bf765a85829290e07e09397ef6c5bc8a72ad,1632.0,passed,"[59261686, 59261687, 59261688, 59261689]"
1866390,59261685,SpongePowered/SpongeCommon,False,,,java,,master,,,no_previous_build,83b2bf765a85829290e07e09397ef6c5bc8a72ad,,,15,83b2bf765a85829290e07e09397ef6c5bc8a72ad,1,83b2bf765a85829290e07e09397ef6c5bc8a72ad,,,0,,164,0,238,0,0,0,0,1,0,237,0,11633,9.28393363706696,0.343849393965443,1.37539757586177,True,,,2015-04-20 15:33:38,0.0,0,59261688,5,java,ok,0.0,java-gradle,junit,True,False,,0.0,,,,,,,,,83b2bf765a85829290e07e09397ef6c5bc8a72ad,1632.0,passed,"[59261686, 59261687, 59261688, 59261689]"
1866391,59261685,SpongePowered/SpongeCommon,False,,,java,,master,,,no_previous_build,83b2bf765a85829290e07e09397ef6c5bc8a72ad,,,15,83b2bf765a85829290e07e09397ef6c5bc8a72ad,1,83b2bf765a85829290e07e09397ef6c5bc8a72ad,,,0,,164,0,238,0,0,0,0,1,0,237,0,11633,9.28393363706696,0.343849393965443,1.37539757586177,True,,,2015-04-20 15:33:38,0.0,0,59261689,5,java,ok,2.0,java-gradle,junit,True,False,,0.0,,,,,,,,,83b2bf765a85829290e07e09397ef6c5bc8a72ad,1632.0,passed,"[59261686, 59261687, 59261688, 59261689]"
1868093,59345769,SpongePowered/SpongeCommon,False,,,java,,master,,,build_found,83b2bf765a85829290e07e09397ef6c5bc8a72ad,59261685.0,,18,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,1,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,,,0,,0,0,0,0,1,0,0,0,0,1,1,11633,9.28393363706696,0.343849393965443,1.37539757586177,True,,,2015-04-21 04:28:09,0.54,1,59345770,6,java,broken,0.0,java-gradle,,False,,,,,,,,,,,,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,665.0,failed,"[59345770, 59345771, 59345772, 59345773]"
1868094,59345769,SpongePowered/SpongeCommon,False,,,java,,master,,,build_found,83b2bf765a85829290e07e09397ef6c5bc8a72ad,59261685.0,,18,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,1,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,,,0,,0,0,0,0,1,0,0,0,0,1,1,11633,9.28393363706696,0.343849393965443,1.37539757586177,True,,,2015-04-21 04:28:09,0.54,1,59345771,6,java,broken,0.0,java-gradle,,False,,,,,,,,,,,,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,665.0,failed,"[59345770, 59345771, 59345772, 59345773]"
1868095,59345769,SpongePowered/SpongeCommon,False,,,java,,master,,,build_found,83b2bf765a85829290e07e09397ef6c5bc8a72ad,59261685.0,,18,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,1,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,,,0,,0,0,0,0,1,0,0,0,0,1,1,11633,9.28393363706696,0.343849393965443,1.37539757586177,True,,,2015-04-21 04:28:09,0.54,1,59345772,6,java,broken,0.0,java-gradle,,False,,,,,,,,,,,,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,665.0,failed,"[59345770, 59345771, 59345772, 59345773]"
1868096,59345769,SpongePowered/SpongeCommon,False,,,java,,master,,,build_found,83b2bf765a85829290e07e09397ef6c5bc8a72ad,59261685.0,,18,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,1,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,,,0,,0,0,0,0,1,0,0,0,0,1,1,11633,9.28393363706696,0.343849393965443,1.37539757586177,True,,,2015-04-21 04:28:09,0.54,1,59345773,6,java,broken,2.0,java-gradle,,False,,,,,,,,,,,,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,665.0,failed,"[59345770, 59345771, 59345772, 59345773]"
1868115,59347898,SpongePowered/SpongeCommon,False,,,java,,master,,,build_found,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,59345769.0,,18,389170fa7acee5848ae1367763fb2c6097f97725,1,389170fa7acee5848ae1367763fb2c6097f97725,,,0,,0,0,1,0,16,0,0,0,0,17,1,11528,9.36849410131853,0.346981263011797,1.38792505204719,False,,,2015-04-21 05:04:43,0.56,2,59347899,7,java,broken,0.0,java-gradle,,False,,,,,,,,,,,,389170fa7acee5848ae1367763fb2c6097f97725,577.0,failed,"[59347899, 59347900, 59347901, 59347902]"
1868116,59347898,SpongePowered/SpongeCommon,False,,,java,,master,,,build_found,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,59345769.0,,18,389170fa7acee5848ae1367763fb2c6097f97725,1,389170fa7acee5848ae1367763fb2c6097f97725,,,0,,0,0,1,0,16,0,0,0,0,17,1,11528,9.36849410131853,0.346981263011797,1.38792505204719,False,,,2015-04-21 05:04:43,0.56,2,59347900,7,java,broken,0.0,java-gradle,,False,,,,,,,,,,,,389170fa7acee5848ae1367763fb2c6097f97725,577.0,failed,"[59347899, 59347900, 59347901, 59347902]"
1868117,59347898,SpongePowered/SpongeCommon,False,,,java,,master,,,build_found,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,59345769.0,,18,389170fa7acee5848ae1367763fb2c6097f97725,1,389170fa7acee5848ae1367763fb2c6097f97725,,,0,,0,0,1,0,16,0,0,0,0,17,1,11528,9.36849410131853,0.346981263011797,1.38792505204719,False,,,2015-04-21 05:04:43,0.56,2,59347901,7,java,broken,0.0,java-gradle,,False,,,,,,,,,,,,389170fa7acee5848ae1367763fb2c6097f97725,577.0,failed,"[59347899, 59347900, 59347901, 59347902]"
1868118,59347898,SpongePowered/SpongeCommon,False,,,java,,master,,,build_found,ea1ed59175dcbb3899c0f26db34e72ff3a98f937,59345769.0,,18,389170fa7acee5848ae1367763fb2c6097f97725,1,389170fa7acee5848ae1367763fb2c6097f97725,,,0,,0,0,1,0,16,0,0,0,0,17,1,11528,9.36849410131853,0.346981263011797,1.38792505204719,False,,,2015-04-21 05:04:43,0.56,2,59347902,7,java,broken,0.0,java-gradle,,False,,,,,,,,,,,,389170fa7acee5848ae1367763fb2c6097f97725,577.0,failed,"[59347899, 59347900, 59347901, 59347902]"
1868120,59348204,SpongePowered/SpongeCommon,False,,,java,,master,,,build_found,389170fa7acee5848ae1367763fb2c6097f97725,59347898.0,,18,9c9c4f89ecb75c35d58caca588cd1bc94ad9aa02,1,9c9c4f89ecb75c35d58caca588cd1bc94ad9aa02,,,0,,0,0,0,1,0,0,0,0,0,1,1,11448,9.43396226415094,0.349406009783368,1.39762403913347,True,,,2015-04-21 05:10:57,0.57,3,59348205,8,java,ok,0.0,java-gradle,junit,True,False,,0.0,,,,,,,,,9c9c4f89ecb75c35d58caca588cd1bc94ad9aa02,1121.0,passed,"[59348205, 59348206, 59348207, 59348208]"
