,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs
1791866,56098061,apache/zeppelin,False,,,java,,master,,,merge_found,,,,1,a007a9b5f235ebd9c608a005c5243503291d94d5#6157c283059f7c1c1e23ba607c068080ad93e017#4b6c289b48be168c6dbf678371115f8c3f17778b#62fa06a230f7ae02a0525b313a109a1eeff04aca#4fac1c03e216af7e5931ad4e2ede40a081a78f6c,5,a007a9b5f235ebd9c608a005c5243503291d94d5,,,0,,0,0,4,0,10,0,0,0,0,14,435,15729,108.271345921546,2.28876597367919,10.0451395511476,False,,,2015-03-28 03:00:32,646.4,1567,56098063,1,java,ok,1.0,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,,,,144.24,350.0,a007a9b5f235ebd9c608a005c5243503291d94d5,904.0,passed,[56098063]
1797350,56318062,apache/zeppelin,False,,,java,,master,,,build_found,a007a9b5f235ebd9c608a005c5243503291d94d5,56098061.0,,1,a3a86f8839325877ce60c5e8eb0fdc1687d75301,1,a3a86f8839325877ce60c5e8eb0fdc1687d75301,,,0,,0,0,0,0,1,0,0,0,0,1,75,15729,108.271345921546,2.28876597367919,10.0451395511476,False,,,2015-03-29 17:55:10,648.55,1568,56318063,5,java,unknown,385.0,java-ant,,False,,,,,,,,,,,,a3a86f8839325877ce60c5e8eb0fdc1687d75301,386.0,errored,[56318063]
1798559,56380442,apache/zeppelin,False,,,java,,master,,,build_found,a3a86f8839325877ce60c5e8eb0fdc1687d75301,56318062.0,,1,58fd82b86207cc773ced5624a387705ba02aa576,1,58fd82b86207cc773ced5624a387705ba02aa576,,,0,,0,0,0,0,2,0,0,0,0,2,109,15729,108.271345921546,2.28876597367919,10.0451395511476,False,,,2015-03-30 07:55:54,649.14,1569,56380443,10,java,ok,2.0,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,,,,144.22,373.0,58fd82b86207cc773ced5624a387705ba02aa576,1205.0,passed,[56380443]
1798563,56381080,apache/zeppelin,False,,,java,,master,,,build_found,58fd82b86207cc773ced5624a387705ba02aa576,56380442.0,,1,2498e5df12ae8cc1b24375e253df94394710aaf8,1,2498e5df12ae8cc1b24375e253df94394710aaf8,,,0,,0,0,0,0,1,0,0,0,0,1,85,15729,108.271345921546,2.28876597367919,10.0451395511476,False,,,2015-03-30 08:04:40,649.14,1570,56381081,11,java,unknown,1.0,java-maven,,False,,,,,,,,,,0.0,,2498e5df12ae8cc1b24375e253df94394710aaf8,255.0,errored,[56381081]
1799141,56412299,apache/zeppelin,False,,,java,,master,,,build_found,2498e5df12ae8cc1b24375e253df94394710aaf8,56381080.0,,1,77c59e4f07cd6807bd8efe4bfa6a90fda6fea88d,1,77c59e4f07cd6807bd8efe4bfa6a90fda6fea88d,,,0,,0,0,0,0,1,0,0,0,0,1,112,15728,108.278229908444,2.28891149542218,10.0457782299084,False,,,2015-03-30 13:29:23,649.37,1571,56412300,16,java,ok,1.0,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,,,,159.12,392.0,77c59e4f07cd6807bd8efe4bfa6a90fda6fea88d,1067.0,passed,[56412300]
1801580,56497088,apache/zeppelin,False,,,java,,master,,,build_found,77c59e4f07cd6807bd8efe4bfa6a90fda6fea88d,56412299.0,,1,ff85f793bb35c43352432b47ee5e44e2ef650a87,1,ff85f793bb35c43352432b47ee5e44e2ef650a87,,,0,,0,0,0,0,8,0,3,0,0,8,19,15791,123.931353302514,2.46976125641188,10.8289532011906,True,,,2015-03-30 23:40:14,649.79,1572,56497089,18,java,ok,1.0,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,,,,205.16,467.0,ff85f793bb35c43352432b47ee5e44e2ef650a87,1446.0,passed,[56497089]
1806202,56659436,apache/zeppelin,False,,,java,,master,,,build_found,ff85f793bb35c43352432b47ee5e44e2ef650a87,56497088.0,,1,df1457f5e0d4e99dff110ea21bf4090ef0986c21,1,df1457f5e0d4e99dff110ea21bf4090ef0986c21,,,0,,0,0,0,0,5,0,0,0,0,5,244,15791,123.931353302514,2.46976125641188,10.8289532011906,True,,,2015-04-01 01:28:27,650.87,1573,56659437,27,java,ok,0.0,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,,,,178.7,434.0,df1457f5e0d4e99dff110ea21bf4090ef0986c21,1025.0,passed,[56659437]
1807801,56743342,apache/zeppelin,False,,,java,,master,,,build_found,df1457f5e0d4e99dff110ea21bf4090ef0986c21,56659436.0,,1,c7645abeefb4f1388c608e166399ec01f5462e3d,1,c7645abeefb4f1388c608e166399ec01f5462e3d,,,0,,0,0,0,0,1,0,0,0,0,1,7,15791,123.931353302514,2.46976125641188,10.8289532011906,False,,,2015-04-01 15:59:16,651.47,1574,56743343,33,java,ok,1.0,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,,,,231.52,482.0,c7645abeefb4f1388c608e166399ec01f5462e3d,1094.0,passed,[56743343]
1807810,56743677,apache/zeppelin,False,,,java,,master,,,build_found,c7645abeefb4f1388c608e166399ec01f5462e3d,56743342.0,,1,c9db780a1744aa3900c6d08f2727187731839cd3,1,c9db780a1744aa3900c6d08f2727187731839cd3,,,0,,0,0,0,0,1,0,0,0,0,1,10,15794,123.90781309358,2.46929213625427,10.8268962897303,False,,,2015-04-01 16:02:01,651.47,1575,56743678,34,java,ok,1.0,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,,,,190.73,451.0,c9db780a1744aa3900c6d08f2727187731839cd3,1025.0,passed,[56743678]
1809160,56809136,apache/zeppelin,False,,,java,,master,,,build_found,c9db780a1744aa3900c6d08f2727187731839cd3,56743677.0,,1,c7c28ccfd58b77b2fa6f7bc01b65c0fb874002b5,1,c7c28ccfd58b77b2fa6f7bc01b65c0fb874002b5,,,0,,0,0,1,0,3,0,0,0,0,4,140,15796,123.892124588503,2.4689794884781,10.8255254494809,True,,,2015-04-01 23:31:03,651.78,1576,56809137,35,java,ok,1.0,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,,,,177.67,396.0,c7c28ccfd58b77b2fa6f7bc01b65c0fb874002b5,936.0,passed,[56809137]
