,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs
1754282,54613127,datastax/java-driver,False,,,java,,2.0,,,merge_found,,,,8,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,1,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,,,0,,0,0,1,0,1,0,0,0,0,2,83,16397,589.376105385131,24.2727328169787,70.8056351771666,True,,,2015-03-16 19:14:37,970.29,1309,54613129,1,java,ok,0.0,java-maven,junit,True,False,114.0,0.0,114.0,0.0,,,,,8.63,25.32,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,321.0,passed,"[54613129, 54613130, 54613133]"
1754283,54613127,datastax/java-driver,False,,,java,,2.0,,,merge_found,,,,8,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,1,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,,,0,,0,0,1,0,1,0,0,0,0,2,83,16397,589.376105385131,24.2727328169787,70.8056351771666,True,,,2015-03-16 19:14:37,970.29,1309,54613130,1,java,ok,0.0,java-maven,junit,True,False,114.0,0.0,114.0,0.0,,,,,11.36,32.19,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,321.0,passed,"[54613129, 54613130, 54613133]"
1754284,54613127,datastax/java-driver,False,,,java,,2.0,,,merge_found,,,,8,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,1,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,,,0,,0,0,1,0,1,0,0,0,0,2,83,16397,589.376105385131,24.2727328169787,70.8056351771666,True,,,2015-03-16 19:14:37,970.29,1309,54613133,1,java,ok,0.0,java-maven,junit,True,False,114.0,0.0,114.0,0.0,,,,,17.28,35.44,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,321.0,passed,"[54613129, 54613130, 54613133]"
1756404,54695410,datastax/java-driver,False,,,java,,2.0,,,build_found,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,54613127.0,,8,ca3477d9d07fd803373de93e976d5eafdf0a759a#ed77bc86a775f54329d816faf04950675da02e54,2,ca3477d9d07fd803373de93e976d5eafdf0a759a,,,0,,0,0,0,0,3,0,0,0,0,3,25,16397,589.924986277978,24.2727328169787,70.8056351771666,True,,,2015-03-17 10:03:41,970.92,1311,54695411,2,java,ok,0.0,java-maven,junit,True,False,114.0,0.0,114.0,0.0,,,,,11.8,31.09,ca3477d9d07fd803373de93e976d5eafdf0a759a,300.0,passed,"[54695411, 54695412, 54695413]"
1756405,54695410,datastax/java-driver,False,,,java,,2.0,,,build_found,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,54613127.0,,8,ca3477d9d07fd803373de93e976d5eafdf0a759a#ed77bc86a775f54329d816faf04950675da02e54,2,ca3477d9d07fd803373de93e976d5eafdf0a759a,,,0,,0,0,0,0,3,0,0,0,0,3,25,16397,589.924986277978,24.2727328169787,70.8056351771666,True,,,2015-03-17 10:03:41,970.92,1311,54695412,2,java,ok,0.0,java-maven,junit,True,False,114.0,0.0,114.0,0.0,,,,,11.31,30.05,ca3477d9d07fd803373de93e976d5eafdf0a759a,300.0,passed,"[54695411, 54695412, 54695413]"
1756406,54695410,datastax/java-driver,False,,,java,,2.0,,,build_found,64645f8d5cb2d0cecc2fd0205e1d79c782cdfe54,54613127.0,,8,ca3477d9d07fd803373de93e976d5eafdf0a759a#ed77bc86a775f54329d816faf04950675da02e54,2,ca3477d9d07fd803373de93e976d5eafdf0a759a,,,0,,0,0,0,0,3,0,0,0,0,3,25,16397,589.924986277978,24.2727328169787,70.8056351771666,True,,,2015-03-17 10:03:41,970.92,1311,54695413,2,java,ok,1.0,java-maven,junit,True,False,114.0,0.0,114.0,0.0,,,,,6.97,18.2,ca3477d9d07fd803373de93e976d5eafdf0a759a,300.0,passed,"[54695411, 54695412, 54695413]"
1761222,54895251,datastax/java-driver,True,2015-01-29 03:26:06,274.0,java,commits_in_master,2.0,,,build_found,ca3477d9d07fd803373de93e976d5eafdf0a759a,54695410.0,,8,22323760d1a9e8b054884a1f3876cb3d76f99e44,1,22323760d1a9e8b054884a1f3876cb3d76f99e44,ca3477d9d07fd803373de93e976d5eafdf0a759a,2.0,0,0.0,0,0,0,0,2,0,0,0,0,2,230,16435,588.560997870399,24.2166108913903,70.6419227258899,True,46.0,,2015-03-18 16:44:42,972.18,1312,54895252,10,java,ok,0.0,java-maven,junit,True,False,114.0,0.0,114.0,0.0,,,,,11.15,29.65,3608c22460b0e90891cee9c151898a412e20ee1e,302.0,passed,"[54895252, 54895253, 54895254]"
1761223,54895251,datastax/java-driver,True,2015-01-29 03:26:06,274.0,java,commits_in_master,2.0,,,build_found,ca3477d9d07fd803373de93e976d5eafdf0a759a,54695410.0,,8,22323760d1a9e8b054884a1f3876cb3d76f99e44,1,22323760d1a9e8b054884a1f3876cb3d76f99e44,ca3477d9d07fd803373de93e976d5eafdf0a759a,2.0,0,0.0,0,0,0,0,2,0,0,0,0,2,230,16435,588.560997870399,24.2166108913903,70.6419227258899,True,46.0,,2015-03-18 16:44:42,972.18,1312,54895253,10,java,ok,0.0,java-maven,junit,True,False,114.0,0.0,114.0,0.0,,,,,10.56,31.96,3608c22460b0e90891cee9c151898a412e20ee1e,302.0,passed,"[54895252, 54895253, 54895254]"
1761224,54895251,datastax/java-driver,True,2015-01-29 03:26:06,274.0,java,commits_in_master,2.0,,,build_found,ca3477d9d07fd803373de93e976d5eafdf0a759a,54695410.0,,8,22323760d1a9e8b054884a1f3876cb3d76f99e44,1,22323760d1a9e8b054884a1f3876cb3d76f99e44,ca3477d9d07fd803373de93e976d5eafdf0a759a,2.0,0,0.0,0,0,0,0,2,0,0,0,0,2,230,16435,588.560997870399,24.2166108913903,70.6419227258899,True,46.0,,2015-03-18 16:44:42,972.18,1312,54895254,10,java,ok,0.0,java-maven,junit,True,False,114.0,0.0,114.0,0.0,,,,,6.8,18.33,3608c22460b0e90891cee9c151898a412e20ee1e,302.0,passed,"[54895252, 54895253, 54895254]"
1762126,54920545,datastax/java-driver,False,,,java,,2.0,,,merge_found,,,,8,62cf2ad7250ada62990fd0519a8e3727e9aeae45,1,62cf2ad7250ada62990fd0519a8e3727e9aeae45,,,0,,0,0,0,0,2,0,0,0,0,2,231,16435,588.560997870399,24.2166108913903,70.6419227258899,True,,,2015-03-18 19:31:27,972.31,1313,54920546,14,java,ok,1.0,java-maven,junit,True,False,114.0,0.0,114.0,0.0,,,,,12.23,33.62,62cf2ad7250ada62990fd0519a8e3727e9aeae45,306.0,passed,"[54920546, 54920547, 54920548]"
