,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs
1960032,63403201,linkedin/gobblin,False,,,java,,master,,,merge_found,,,,22,6d86a850e7ded3c0e5e3654e484d7040f20793c6,1,6d86a850e7ded3c0e5e3654e484d7040f20793c6,,,0,,0,0,0,0,1,0,0,0,0,1,58,21533,323.039056332141,12.3531324014304,42.5393581943993,True,,,2015-05-20 22:11:33,469.96,1295,63403202,18,ruby,broken,0.0,ruby,,False,,,,,,,,,,,,6d86a850e7ded3c0e5e3654e484d7040f20793c6,13.0,failed,[63403202]
1960198,63411829,linkedin/gobblin,False,,,java,,master,,,merge_found,,,,22,1966fd62481bdc5f38f15f91b37283bfb947c79f,1,1966fd62481bdc5f38f15f91b37283bfb947c79f,,,0,,0,0,1,0,1,0,0,0,0,2,19,21533,323.039056332141,12.3531324014304,42.5393581943993,True,,,2015-05-20 23:27:23,470.01,1297,63411831,21,java,ok,1.0,java-gradle,,False,,,,,,,,,,,,1966fd62481bdc5f38f15f91b37283bfb947c79f,703.0,passed,"[63411831, 63411832]"
1960199,63411829,linkedin/gobblin,False,,,java,,master,,,merge_found,,,,22,1966fd62481bdc5f38f15f91b37283bfb947c79f,1,1966fd62481bdc5f38f15f91b37283bfb947c79f,,,0,,0,0,1,0,1,0,0,0,0,2,19,21533,323.039056332141,12.3531324014304,42.5393581943993,True,,,2015-05-20 23:27:23,470.01,1297,63411832,21,java,ok,1.0,java-gradle,,False,,,,,,,,,,,,1966fd62481bdc5f38f15f91b37283bfb947c79f,703.0,passed,"[63411831, 63411832]"
1960260,63415518,linkedin/gobblin,False,,,java,,master,,,merge_found,,,,22,9f0de2317b03141679dd2be1ad0506941a878d43,1,9f0de2317b03141679dd2be1ad0506941a878d43,,,0,,0,0,0,0,3,0,0,0,0,3,85,21560,322.634508348794,12.3376623376623,42.4860853432282,True,,,2015-05-21 00:07:17,470.04,1304,63415519,23,java,ok,0.0,java-gradle,,False,,,,,,,,,,,,9f0de2317b03141679dd2be1ad0506941a878d43,685.0,passed,"[63415519, 63415520]"
1960261,63415518,linkedin/gobblin,False,,,java,,master,,,merge_found,,,,22,9f0de2317b03141679dd2be1ad0506941a878d43,1,9f0de2317b03141679dd2be1ad0506941a878d43,,,0,,0,0,0,0,3,0,0,0,0,3,85,21560,322.634508348794,12.3376623376623,42.4860853432282,True,,,2015-05-21 00:07:17,470.04,1304,63415520,23,java,ok,0.0,java-gradle,,False,,,,,,,,,,,,9f0de2317b03141679dd2be1ad0506941a878d43,685.0,passed,"[63415519, 63415520]"
1960277,63415944,linkedin/gobblin,True,2015-05-19 01:17:32,135.0,java,commits_in_master,master,,,merge_found,,,,22,c80ef7e0b47310b9b0427f28a24d30df3265e38c#1cf57b3cb12313f1f77ec36450044c02cf54685e,2,c80ef7e0b47310b9b0427f28a24d30df3265e38c,9f0de2317b03141679dd2be1ad0506941a878d43,5.0,0,16.0,0,0,2,0,21,0,0,0,0,23,151,21768,319.551635428151,12.2197721425946,42.0801176038221,True,192.0,,2015-05-21 00:12:44,470.04,1296,63415945,24,java,unknown,0.0,java-gradle,,False,,,,,,,,,,,,fda3b077c477ecddd992b5de6aedf652c911d16b,282.0,errored,"[63415945, 63415947]"
1960278,63415944,linkedin/gobblin,True,2015-05-19 01:17:32,135.0,java,commits_in_master,master,,,merge_found,,,,22,c80ef7e0b47310b9b0427f28a24d30df3265e38c#1cf57b3cb12313f1f77ec36450044c02cf54685e,2,c80ef7e0b47310b9b0427f28a24d30df3265e38c,9f0de2317b03141679dd2be1ad0506941a878d43,5.0,0,16.0,0,0,2,0,21,0,0,0,0,23,151,21768,319.551635428151,12.2197721425946,42.0801176038221,True,192.0,,2015-05-21 00:12:44,470.04,1296,63415947,24,java,unknown,0.0,java-gradle,,False,,,,,,,,,,,,fda3b077c477ecddd992b5de6aedf652c911d16b,282.0,errored,"[63415945, 63415947]"
1963225,63562915,linkedin/gobblin,True,2015-05-21 19:38:37,145.0,java,commits_in_master,master,,,build_found,9f0de2317b03141679dd2be1ad0506941a878d43,63415518.0,,22,d780bb1764e26e97be2b573f02cdf94218df840d,1,d780bb1764e26e97be2b573f02cdf94218df840d,9f0de2317b03141679dd2be1ad0506941a878d43,0.0,0,0.0,0,0,0,0,6,0,0,0,0,6,97,21545,322.859132049199,12.3462520306336,42.5156648874449,False,10.0,,2015-05-21 21:39:39,470.94,1305,63562918,28,java,ok,0.0,java-gradle,,False,,,,,,,,,,,,85fe7cb03a85491bdff3b7b4616c6edf105be7ae,670.0,passed,"[63562918, 63562924]"
1963226,63562915,linkedin/gobblin,True,2015-05-21 19:38:37,145.0,java,commits_in_master,master,,,build_found,9f0de2317b03141679dd2be1ad0506941a878d43,63415518.0,,22,d780bb1764e26e97be2b573f02cdf94218df840d,1,d780bb1764e26e97be2b573f02cdf94218df840d,9f0de2317b03141679dd2be1ad0506941a878d43,0.0,0,0.0,0,0,0,0,6,0,0,0,0,6,97,21545,322.859132049199,12.3462520306336,42.5156648874449,False,10.0,,2015-05-21 21:39:39,470.94,1305,63562924,28,java,ok,0.0,java-gradle,,False,,,,,,,,,,,,85fe7cb03a85491bdff3b7b4616c6edf105be7ae,670.0,passed,"[63562918, 63562924]"
1963480,63577278,linkedin/gobblin,True,2015-05-15 20:05:26,132.0,java,commits_in_master,master,,,merge_found,,,,22,420ecef26392ee47e31ade5371af6b3e3b1383f5#01d3ad1025c0e7feea06ea86a8b2ee387f897203,2,420ecef26392ee47e31ade5371af6b3e3b1383f5,9f0de2317b03141679dd2be1ad0506941a878d43,9.0,1,16.0,0,0,3,1,18,0,0,0,0,22,139,21798,323.05716120745,12.4782090100009,42.3892100192678,False,131.0,,2015-05-21 23:43:43,471.02,1316,63577279,30,java,ok,0.0,java-gradle,,False,,,,,,,,,,,,8755c9ee2ac4736ac4a7865a443135aa5307f3c7,859.0,passed,"[63577279, 63577280]"
