,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,gh_repo_age,gh_repo_num_commits,tr_job_id,tr_build_number,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,tr_original_commit,tr_duration,tr_status,tr_jobs
476979,10546370,square/wire,False,,,java,,master,,,merge_found,,,,12,832fe9922c9d4e0d6b55651eeab47e51e59426e9#e3dabe3cac2b7eb068458c947fcb3bfa93fe4ed1#aea1b6909a46305dfd901b4ee20743699ff34d70#d4637bf19d2a7f28396441696ec60aa0eb940df5#c344f9ded82155b524d5bde5d8afaaf5e8a77e58#a2a19a23a283cb462dc42921833ec00e4b6b2a69,6,832fe9922c9d4e0d6b55651eeab47e51e59426e9,,,0,,0,0,5,0,9,0,0,0,0,14,55,3477,1575.20851308599,11.5041702617199,84.5556514236411,True,,,2013-08-23 17:49:34,55.85,138,10546371,5,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,2.39,,832fe9922c9d4e0d6b55651eeab47e51e59426e9,156.0,passed,[10546371]
476980,10546375,square/wire,False,,,java,,master,,,build_found,832fe9922c9d4e0d6b55651eeab47e51e59426e9,10546370.0,,12,0a382cc38d3a2e57441f01a88592ee97139b3f96,1,0a382cc38d3a2e57441f01a88592ee97139b3f96,,,0,,0,0,0,0,4,0,0,0,0,4,52,3477,1575.20851308599,11.5041702617199,84.5556514236411,True,,,2013-08-23 17:50:24,55.85,139,10546376,6,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,2.33,,0a382cc38d3a2e57441f01a88592ee97139b3f96,165.0,passed,[10546376]
477248,10551388,square/wire,False,,,java,,master,,,build_found,0a382cc38d3a2e57441f01a88592ee97139b3f96,10546375.0,,12,99b0b6f33177c96c8bcd408ddeae68ceaa9d5d89,1,99b0b6f33177c96c8bcd408ddeae68ceaa9d5d89,,,0,,0,0,0,0,1,0,0,0,0,1,2,3477,1575.20851308599,11.5041702617199,84.5556514236411,True,,,2013-08-23 20:15:38,55.95,140,10551389,7,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,3.12,,99b0b6f33177c96c8bcd408ddeae68ceaa9d5d89,176.0,passed,[10551389]
478068,10578253,square/wire,False,,,java,,jw/zelda,,,build_found,99b0b6f33177c96c8bcd408ddeae68ceaa9d5d89,10551388.0,,12,398935d7c64a30b962ff7b82cc2bc962f4fc75c9,1,398935d7c64a30b962ff7b82cc2bc962f4fc75c9,,,0,,0,0,0,0,1,0,0,0,0,1,6,3477,1575.20851308599,11.5041702617199,84.5556514236411,True,,,2013-08-24 21:24:42,57.0,141,10578254,8,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,1.95,,398935d7c64a30b962ff7b82cc2bc962f4fc75c9,148.0,passed,[10578254]
478069,10578268,square/wire,True,2013-08-24 19:24:48,12.0,java,merge_button,master,,,build_found,99b0b6f33177c96c8bcd408ddeae68ceaa9d5d89,10551388.0,,12,398935d7c64a30b962ff7b82cc2bc962f4fc75c9,1,398935d7c64a30b962ff7b82cc2bc962f4fc75c9,99b0b6f33177c96c8bcd408ddeae68ceaa9d5d89,0.0,0,0.0,0,0,0,0,1,0,0,0,0,1,6,3477,1575.20851308599,11.5041702617199,84.5556514236411,True,7.0,,2013-08-24 21:25:13,57.0,141,10578269,9,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,1.85,,94428eac2b26a842b66ff3bd4c1974a77dfb2fba,140.0,passed,[10578269]
478071,10578510,square/wire,False,,,java,,jw/equality,,,build_found,99b0b6f33177c96c8bcd408ddeae68ceaa9d5d89,10551388.0,,12,9a6f0d41200b89c3144f1a34317cc94f0cd096f5,1,9a6f0d41200b89c3144f1a34317cc94f0cd096f5,,,0,,0,0,0,0,18,0,0,0,0,18,52,3478,1580.79355951696,11.5008625646924,84.5313398504888,True,,,2013-08-24 21:34:03,57.01,141,10578511,10,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,2.12,,9a6f0d41200b89c3144f1a34317cc94f0cd096f5,147.0,passed,[10578511]
478072,10578521,square/wire,True,2013-08-24 19:34:20,13.0,java,merge_button,master,,,build_found,99b0b6f33177c96c8bcd408ddeae68ceaa9d5d89,10551388.0,,12,9a6f0d41200b89c3144f1a34317cc94f0cd096f5,1,9a6f0d41200b89c3144f1a34317cc94f0cd096f5,99b0b6f33177c96c8bcd408ddeae68ceaa9d5d89,0.0,0,0.0,0,0,0,0,18,0,0,0,0,18,52,3478,1580.79355951696,11.5008625646924,84.5313398504888,True,5.0,,2013-08-24 21:35:21,57.01,141,10578522,11,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,2.21,,0696db2667899b191c52aabe3658338f19f7233d,153.0,passed,[10578522]
479666,10630402,square/wire,False,,,java,,master,,,merge_found,,,,13,c355bc9301667f2f2fa6fd5aa3bc749e2745672e,1,c355bc9301667f2f2fa6fd5aa3bc749e2745672e,,,0,,0,0,0,0,18,0,0,0,0,18,53,3478,1580.79355951696,11.5008625646924,84.5313398504888,True,,,2013-08-26 16:21:48,58.79,142,10630403,12,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,2.28,,c355bc9301667f2f2fa6fd5aa3bc749e2745672e,180.0,passed,[10630403]
479702,10630739,square/wire,False,,,java,,master,,,merge_found,,,,13,38012a4f5c7ddff75698e102a13221a7c679f392,1,38012a4f5c7ddff75698e102a13221a7c679f392,,,0,,0,0,0,0,1,0,0,0,0,1,9,3478,1580.79355951696,11.5008625646924,84.5313398504888,True,,,2013-08-26 16:31:27,58.8,144,10630740,13,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,2.2,,38012a4f5c7ddff75698e102a13221a7c679f392,159.0,passed,[10630740]
481234,10675101,square/wire,False,,,java,,rice/input_stream_support,,,build_found,38012a4f5c7ddff75698e102a13221a7c679f392,10630739.0,,13,1dad9ae05279f6b03306c43120edf538030415ad,1,1dad9ae05279f6b03306c43120edf538030415ad,,,0,,0,0,0,0,5,0,4,0,0,5,45,3518,1591.52927799886,12.5071063104036,92.6662876634451,True,,,2013-08-27 16:17:56,59.78,145,10675102,23,unknown,unknown,,plain,,False,,,,,,,,,,,,1dad9ae05279f6b03306c43120edf538030415ad,10.0,errored,[10675102]
481235,10675103,square/wire,True,2013-08-26 19:09:22,15.0,java,merge_button,master,,,build_found,38012a4f5c7ddff75698e102a13221a7c679f392,10630739.0,,13,1dad9ae05279f6b03306c43120edf538030415ad,1,1dad9ae05279f6b03306c43120edf538030415ad,38012a4f5c7ddff75698e102a13221a7c679f392,4.0,0,22.0,0,0,0,0,5,0,4,0,0,5,45,3518,1591.52927799886,12.5071063104036,92.6662876634451,True,8.0,,2013-08-27 16:22:37,59.78,145,10675104,24,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,2.87,,4eabb96a3c192c9989afc4196db7094ea4b94aaa,166.0,passed,[10675104]
481496,10682371,square/wire,False,,,java,,jw/1.0.1,,,merge_found,,,,13,b1f0784047ceb439a16d3e7817405df03e862924#b9815753977c6619783448c57b5718fd13c4ca07,2,b1f0784047ceb439a16d3e7817405df03e862924,,,0,,0,0,0,0,6,0,0,0,0,6,47,3518,1591.52927799886,12.5071063104036,92.6662876634451,True,,,2013-08-27 19:05:29,59.9,147,10682372,31,java,ok,,java-maven,junit,True,False,4.0,0.0,4.0,0.0,,,,,2.82,,b1f0784047ceb439a16d3e7817405df03e862924,193.0,passed,[10682372]
