project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size
junit-team-junit5.csv,BATCHBISECT,-1,stagger_mfu,2,587,65.38915094339623,1696
junit-team-junit5.csv,BATCHBISECT,-1,stagger_mfu,3,601,64.56367924528303,1696
junit-team-junit5.csv,BATCHSTOP4,-1,stagger_mfu,2,500,70.51886792452831,1696
junit-team-junit5.csv,BATCHSTOP4,-1,stagger_mfu,3,513,69.75235849056604,1696
junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger_mfu,2,708,58.25471698113208,1696
junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger_mfu,3,719,57.6061320754717,1696
ratpack-ratpack.csv,BATCHBISECT,-1,stagger_mfu,2,2006,-6.929637526652456,1876
ratpack-ratpack.csv,BATCHBISECT,-1,stagger_mfu,3,1882,-0.31982942430703076,1876
ratpack-ratpack.csv,BATCHSTOP4,-1,stagger_mfu,2,1579,15.8315565031983,1876
ratpack-ratpack.csv,BATCHSTOP4,-1,stagger_mfu,3,1535,18.176972281449892,1876
ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger_mfu,2,1690,9.914712153518124,1876
ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger_mfu,3,1727,7.942430703624737,1876
p6spy-p6spy.csv,BATCHBISECT,-1,stagger_mfu,2,1408,-9.316770186335404,1288
p6spy-p6spy.csv,BATCHBISECT,-1,stagger_mfu,3,1279,0.6987577639751521,1288
p6spy-p6spy.csv,BATCHSTOP4,-1,stagger_mfu,2,953,26.00931677018633,1288
p6spy-p6spy.csv,BATCHSTOP4,-1,stagger_mfu,3,928,27.950310559006212,1288
p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger_mfu,2,1052,18.32298136645963,1288
p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger_mfu,3,1033,19.798136645962728,1288
apache-tajo.csv,BATCHBISECT,-1,stagger_mfu,2,1039,19.26961926961927,1287
apache-tajo.csv,BATCHBISECT,-1,stagger_mfu,3,944,26.651126651126646,1287
apache-tajo.csv,BATCHSTOP4,-1,stagger_mfu,2,771,40.09324009324009,1287
apache-tajo.csv,BATCHSTOP4,-1,stagger_mfu,3,730,43.27894327894328,1287
apache-tajo.csv,BATCHDIVIDE4,-1,stagger_mfu,2,916,28.826728826728825,1287
apache-tajo.csv,BATCHDIVIDE4,-1,stagger_mfu,3,885,31.235431235431236,1287
osmdroid-osmdroid.csv,BATCHBISECT,-1,stagger_mfu,2,1355,-27.349624060150376,1064
osmdroid-osmdroid.csv,BATCHBISECT,-1,stagger_mfu,3,1340,-25.939849624060145,1064
osmdroid-osmdroid.csv,BATCHSTOP4,-1,stagger_mfu,2,883,17.011278195488728,1064
osmdroid-osmdroid.csv,BATCHSTOP4,-1,stagger_mfu,3,869,18.327067669172934,1064
osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,stagger_mfu,2,945,11.184210526315795,1064
osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,stagger_mfu,3,967,9.116541353383454,1064
DSpace-DSpace.csv,BATCHBISECT,-1,stagger_mfu,2,569,63.89593908629442,1576
DSpace-DSpace.csv,BATCHBISECT,-1,stagger_mfu,3,587,62.753807106598984,1576
DSpace-DSpace.csv,BATCHSTOP4,-1,stagger_mfu,2,483,69.35279187817258,1576
DSpace-DSpace.csv,BATCHSTOP4,-1,stagger_mfu,3,499,68.33756345177665,1576
DSpace-DSpace.csv,BATCHDIVIDE4,-1,stagger_mfu,2,665,57.80456852791878,1576
DSpace-DSpace.csv,BATCHDIVIDE4,-1,stagger_mfu,3,695,55.901015228426395,1576
apache-nifi.csv,BATCHBISECT,-1,stagger_mfu,2,1134,10.778914240755313,1271
apache-nifi.csv,BATCHBISECT,-1,stagger_mfu,3,1154,9.205350118017307,1271
apache-nifi.csv,BATCHSTOP4,-1,stagger_mfu,2,819,35.562549173878836,1271
apache-nifi.csv,BATCHSTOP4,-1,stagger_mfu,3,842,33.75295043273013,1271
apache-nifi.csv,BATCHDIVIDE4,-1,stagger_mfu,2,935,26.435877261998428,1271
apache-nifi.csv,BATCHDIVIDE4,-1,stagger_mfu,3,973,23.44610542879623,1271
caelum-vraptor4.csv,BATCHBISECT,-1,stagger_mfu,2,838,41.31652661064426,1428
caelum-vraptor4.csv,BATCHBISECT,-1,stagger_mfu,3,813,43.0672268907563,1428
caelum-vraptor4.csv,BATCHSTOP4,-1,stagger_mfu,2,678,52.52100840336134,1428
caelum-vraptor4.csv,BATCHSTOP4,-1,stagger_mfu,3,676,52.661064425770306,1428
caelum-vraptor4.csv,BATCHDIVIDE4,-1,stagger_mfu,2,808,43.417366946778714,1428
caelum-vraptor4.csv,BATCHDIVIDE4,-1,stagger_mfu,3,807,43.48739495798319,1428
grails-grails-core.csv,BATCHBISECT,-1,stagger_mfu,2,1187,-11.770244821092277,1062
grails-grails-core.csv,BATCHBISECT,-1,stagger_mfu,3,1170,-10.169491525423723,1062
grails-grails-core.csv,BATCHSTOP4,-1,stagger_mfu,2,862,18.83239171374764,1062
grails-grails-core.csv,BATCHSTOP4,-1,stagger_mfu,3,857,19.303201506591336,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,stagger_mfu,2,939,11.581920903954796,1062
grails-grails-core.csv,BATCHDIVIDE4,-1,stagger_mfu,3,937,11.770244821092277,1062
square-wire.csv,BATCHBISECT,-1,stagger_mfu,2,327,70.85561497326204,1122
square-wire.csv,BATCHBISECT,-1,stagger_mfu,3,359,68.00356506238859,1122
square-wire.csv,BATCHSTOP4,-1,stagger_mfu,2,286,74.50980392156863,1122
square-wire.csv,BATCHSTOP4,-1,stagger_mfu,3,295,73.70766488413547,1122
square-wire.csv,BATCHDIVIDE4,-1,stagger_mfu,2,423,62.29946524064171,1122
square-wire.csv,BATCHDIVIDE4,-1,stagger_mfu,3,450,59.893048128342244,1122
puniverse-quasar.csv,BATCHBISECT,-1,stagger_mfu,2,676,46.64561957379637,1267
puniverse-quasar.csv,BATCHBISECT,-1,stagger_mfu,3,667,47.355958958168905,1267
puniverse-quasar.csv,BATCHSTOP4,-1,stagger_mfu,2,546,56.9060773480663,1267
puniverse-quasar.csv,BATCHSTOP4,-1,stagger_mfu,3,537,57.61641673243883,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,stagger_mfu,2,657,48.14522494080505,1267
puniverse-quasar.csv,BATCHDIVIDE4,-1,stagger_mfu,3,672,46.96132596685083,1267
dropwizard-dropwizard.csv,BATCHBISECT,-1,stagger_mfu,2,682,66.23762376237624,2020
dropwizard-dropwizard.csv,BATCHBISECT,-1,stagger_mfu,3,686,66.03960396039604,2020
dropwizard-dropwizard.csv,BATCHSTOP4,-1,stagger_mfu,2,562,72.17821782178217,2020
dropwizard-dropwizard.csv,BATCHSTOP4,-1,stagger_mfu,3,558,72.37623762376238,2020
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,stagger_mfu,2,825,59.15841584158416,2020
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,stagger_mfu,3,836,58.613861386138616,2020
essentials-Essentials.csv,BATCHBISECT,-1,stagger_mfu,2,140,-57.303370786516865,89
essentials-Essentials.csv,BATCHBISECT,-1,stagger_mfu,3,140,-57.303370786516865,89
essentials-Essentials.csv,BATCHSTOP4,-1,stagger_mfu,2,95,-6.741573033707866,89
essentials-Essentials.csv,BATCHSTOP4,-1,stagger_mfu,3,95,-6.741573033707866,89
essentials-Essentials.csv,BATCHDIVIDE4,-1,stagger_mfu,2,98,-10.112359550561791,89
essentials-Essentials.csv,BATCHDIVIDE4,-1,stagger_mfu,3,98,-10.112359550561791,89
mybatis-mybatis-3.csv,BATCHBISECT,-1,stagger_mfu,2,608,71.73407717340771,2151
mybatis-mybatis-3.csv,BATCHBISECT,-1,stagger_mfu,3,657,69.4560669456067,2151
mybatis-mybatis-3.csv,BATCHSTOP4,-1,stagger_mfu,2,477,77.82426778242677,2151
mybatis-mybatis-3.csv,BATCHSTOP4,-1,stagger_mfu,3,525,75.59274755927476,2151
mybatis-mybatis-3.csv,BATCHDIVIDE4,-1,stagger_mfu,2,778,63.83077638307764,2151
mybatis-mybatis-3.csv,BATCHDIVIDE4,-1,stagger_mfu,3,867,59.693165969316595,2151
naver-pinpoint.csv,BATCHBISECT,-1,stagger_mfu,2,983,54.10830999066293,2142
naver-pinpoint.csv,BATCHBISECT,-1,stagger_mfu,3,868,59.47712418300654,2142
naver-pinpoint.csv,BATCHSTOP4,-1,stagger_mfu,2,741,65.406162464986,2142
naver-pinpoint.csv,BATCHSTOP4,-1,stagger_mfu,3,723,66.24649859943978,2142
naver-pinpoint.csv,BATCHDIVIDE4,-1,stagger_mfu,2,1005,53.0812324929972,2142
naver-pinpoint.csv,BATCHDIVIDE4,-1,stagger_mfu,3,1023,52.24089635854342,2142
FasterXML-jackson-databind.csv,BATCHBISECT,-1,stagger_mfu,2,1665,25.702811244979927,2241
FasterXML-jackson-databind.csv,BATCHBISECT,-1,stagger_mfu,3,1685,24.810352521195895,2241
FasterXML-jackson-databind.csv,BATCHSTOP4,-1,stagger_mfu,2,1162,48.148148148148145,2241
FasterXML-jackson-databind.csv,BATCHSTOP4,-1,stagger_mfu,3,1180,47.34493529674253,2241
FasterXML-jackson-databind.csv,BATCHDIVIDE4,-1,stagger_mfu,2,1405,37.30477465417224,2241
FasterXML-jackson-databind.csv,BATCHDIVIDE4,-1,stagger_mfu,3,1437,35.87684069611781,2241
samtools-htsjdk.csv,BATCHBISECT,-1,stagger_mfu,2,539,68.46108835576361,1709
samtools-htsjdk.csv,BATCHBISECT,-1,stagger_mfu,3,586,65.71094207138677,1709
samtools-htsjdk.csv,BATCHSTOP4,-1,stagger_mfu,2,417,75.59976594499707,1709
samtools-htsjdk.csv,BATCHSTOP4,-1,stagger_mfu,3,467,72.67407840842598,1709
samtools-htsjdk.csv,BATCHDIVIDE4,-1,stagger_mfu,2,644,62.317144528964306,1709
samtools-htsjdk.csv,BATCHDIVIDE4,-1,stagger_mfu,3,758,55.64657694558221,1709
deeplearning4j-deeplearning4j.csv,BATCHBISECT,-1,stagger_mfu,2,3307,-79.72826086956522,1840
deeplearning4j-deeplearning4j.csv,BATCHBISECT,-1,stagger_mfu,3,3293,-78.96739130434781,1840
deeplearning4j-deeplearning4j.csv,BATCHSTOP4,-1,stagger_mfu,2,2071,-12.554347826086953,1840
