,project,algorithm,ci_skip,batch_size,method,update_method,factor,num_of_builds,builds_saved,testall_size
0,junit-team-junit5.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,587,65.38915094339623,1696
1,junit-team-junit5.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,601,64.56367924528303,1696
2,junit-team-junit5.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,549,67.62971698113208,1696
3,junit-team-junit5.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,552,67.45283018867924,1696
4,junit-team-junit5.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,746,56.014150943396224,1696
5,junit-team-junit5.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,725,57.25235849056604,1696
6,junit-team-junit5.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,524,65.2750165672631,1509
7,junit-team-junit5.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,522,65.4075546719682,1509
8,junit-team-junit5.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,491,67.46189529489729,1509
9,junit-team-junit5.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,479,68.25712392312789,1509
10,junit-team-junit5.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,649,56.99138502319417,1509
11,junit-team-junit5.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,621,58.84691848906561,1509
12,ratpack-ratpack.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,2006,-6.929637526652456,1876
13,ratpack-ratpack.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1882,-0.31982942430703076,1876
14,ratpack-ratpack.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,1751,6.6631130063965855,1876
15,ratpack-ratpack.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,1604,14.498933901918974,1876
16,ratpack-ratpack.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,1767,5.810234541577827,1876
17,ratpack-ratpack.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,1625,13.379530916844345,1876
18,ratpack-ratpack.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,1833,-10.688405797101453,1656
19,ratpack-ratpack.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,1670,-0.845410628019323,1656
20,ratpack-ratpack.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,1525,7.910628019323667,1656
21,ratpack-ratpack.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,1423,14.070048309178745,1656
22,ratpack-ratpack.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,1538,7.125603864734302,1656
23,ratpack-ratpack.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,1433,13.466183574879224,1656
24,p6spy-p6spy.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1408,-9.316770186335404,1288
25,p6spy-p6spy.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1279,0.6987577639751521,1288
26,p6spy-p6spy.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,1130,12.267080745341616,1288
27,p6spy-p6spy.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,1056,18.01242236024845,1288
28,p6spy-p6spy.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,1208,6.211180124223603,1288
29,p6spy-p6spy.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,1131,12.189440993788821,1288
30,p6spy-p6spy.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,940,-2.620087336244538,916
31,p6spy-p6spy.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,778,15.06550218340611,916
32,p6spy-p6spy.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,812,11.353711790393007,916
33,p6spy-p6spy.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,647,29.366812227074234,916
34,p6spy-p6spy.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,863,5.786026200873366,916
