,project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size
0,junit-team-junit5.csv,BATCHBISECT,-1,linear,1,503,66.66666666666666,1509
1,junit-team-junit5.csv,BATCHBISECT,-1,linear,2,531,64.81113320079523,1509
2,junit-team-junit5.csv,BATCHBISECT,-1,linear,3,530,64.87740225314778,1509
3,junit-team-junit5.csv,BATCHBISECT,-1,linear,4,532,64.74486414844267,1509
4,junit-team-junit5.csv,BATCHSTOP4,-1,linear,1,487,67.72697150430749,1509
5,junit-team-junit5.csv,BATCHSTOP4,-1,linear,2,505,66.53412856196157,1509
6,junit-team-junit5.csv,BATCHSTOP4,-1,linear,3,506,66.46785950960901,1509
7,junit-team-junit5.csv,BATCHSTOP4,-1,linear,4,498,66.99801192842942,1509
8,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,1,653,56.726308813783966,1509
9,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,2,669,55.66600397614314,1509
10,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,3,668,55.73227302849569,1509
11,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,4,657,56.461232604373755,1509
12,junit-team-junit5.csv,BATCHBISECT,-1,exponential,2,522,65.4075546719682,1509
13,junit-team-junit5.csv,BATCHBISECT,-1,exponential,3,535,64.54605699138503,1509
14,junit-team-junit5.csv,BATCHBISECT,-1,exponential,4,507,66.40159045725646,1509
15,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,2,502,66.73293571901922,1509
16,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,3,489,67.5944333996024,1509
17,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,4,491,67.46189529489729,1509
18,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,2,656,56.52750165672631,1509
19,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,3,498,66.99801192842942,1509
20,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,4,642,57.45526838966203,1509
21,junit-team-junit5.csv,BATCHBISECT,-1,stagger,2,538,64.34724983432737,1509
22,junit-team-junit5.csv,BATCHBISECT,-1,stagger,3,514,65.93770709078859,1509
23,junit-team-junit5.csv,BATCHBISECT,-1,stagger,4,516,65.8051689860835,1509
24,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,2,504,66.60039761431412,1509
25,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,3,495,67.19681908548708,1509
26,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,4,492,67.39562624254472,1509
27,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,2,646,57.19019218025182,1509
28,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,3,655,56.59377070907886,1509
29,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,4,657,56.461232604373755,1509
30,junit-team-junit5.csv,BATCHBISECT,-1,random_linear,-1,517,65.73889993373095,1509
31,junit-team-junit5.csv,BATCHSTOP4,-1,random_linear,-1,469,68.91981444665342,1509
32,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_linear,-1,569,62.292909211398275,1509
33,junit-team-junit5.csv,BATCHBISECT,-1,random_exponential,-1,523,65.34128561961563,1509
34,junit-team-junit5.csv,BATCHSTOP4,-1,random_exponential,-1,462,69.38369781312127,1509
35,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_exponential,-1,579,61.63021868787276,1509
36,junit-team-junit5.csv,BATCHBISECT,-1,random_random,-1,546,63.81709741550696,1509
37,junit-team-junit5.csv,BATCHSTOP4,-1,random_random,-1,494,67.26308813783963,1509
38,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_random,-1,632,58.11795891318754,1509
39,ratpack-ratpack.csv,BATCHBISECT,-1,linear,1,1568,5.314009661835755,1656
40,ratpack-ratpack.csv,BATCHBISECT,-1,linear,2,1605,3.0797101449275317,1656
41,ratpack-ratpack.csv,BATCHBISECT,-1,linear,3,1649,0.4227053140096615,1656
42,ratpack-ratpack.csv,BATCHBISECT,-1,linear,4,1682,-1.5700483091787447,1656
43,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,1,1349,18.538647342995162,1656
44,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,2,1356,18.1159420289855,1656
45,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,3,1484,10.386473429951693,1656
46,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,4,1446,12.681159420289859,1656
47,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,1,1357,18.055555555555557,1656
48,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,2,1366,17.512077294685994,1656
49,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,3,1492,9.903381642512073,1656
50,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,4,1441,12.98309178743962,1656
51,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,2,1608,2.898550724637687,1656
52,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,3,1635,1.2681159420289845,1656
53,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,4,1693,-2.2342995169082087,1656
54,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,2,1482,10.507246376811594,1656
55,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,3,1386,16.304347826086953,1656
56,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,4,1583,4.408212560386474,1656
57,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,2,1492,9.903381642512073,1656
58,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,3,1387,16.24396135265701,1656
59,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,4,1599,3.4420289855072497,1656
60,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,2,1619,2.2342995169082087,1656
61,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,3,1648,0.4830917874396192,1656
62,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,4,1692,-2.173913043478265,1656
63,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,2,1455,12.137681159420296,1656
64,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,3,1428,13.768115942028984,1656
65,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,4,1530,7.608695652173907,1656
66,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,2,1463,11.654589371980677,1656
67,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,3,1436,13.285024154589365,1656
68,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,4,1544,6.763285024154584,1656
69,ratpack-ratpack.csv,BATCHBISECT,-1,random_linear,-1,1767,-6.70289855072464,1656
70,ratpack-ratpack.csv,BATCHSTOP4,-1,random_linear,-1,1539,7.065217391304344,1656
71,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_linear,-1,1535,7.306763285024161,1656
72,ratpack-ratpack.csv,BATCHBISECT,-1,random_exponential,-1,1722,-3.9855072463768124,1656
73,ratpack-ratpack.csv,BATCHSTOP4,-1,random_exponential,-1,1470,11.231884057971016,1656
74,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_exponential,-1,1479,10.688405797101453,1656
75,ratpack-ratpack.csv,BATCHBISECT,-1,random_random,-1,1745,-5.374396135265698,1656
76,ratpack-ratpack.csv,BATCHSTOP4,-1,random_random,-1,1505,9.118357487922708,1656
77,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_random,-1,1511,8.75603864734299,1656
78,p6spy-p6spy.csv,BATCHBISECT,-1,linear,1,750,18.122270742358083,916
