,project,algorithm,batch_size,update_method,factor,total_duration,testall_duration,time_saved,builds_made,builds_saved,testall_size
0,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,1,167313.0,327087.0,48.84755432041017,599,60.30483764082174,1509
1,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,2,170203.0,327087.0,47.96399734627179,614,59.31080185553346,1509
2,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,3,167534.0,327087.0,48.779988198858405,614,59.31080185553346,1509
3,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,4,170169.0,327087.0,47.97439213420283,607,59.774685222001324,1509
4,junit-team-junit5.csv,BATCHBISECT,-1,linear,1,82671.0,327087.0,74.72507314567684,503,66.66666666666666,1509
5,junit-team-junit5.csv,BATCHBISECT,-1,linear,2,86880.0,327087.0,73.43825954562547,531,64.81113320079523,1509
6,junit-team-junit5.csv,BATCHBISECT,-1,linear,3,84462.0,327087.0,74.17751240495647,530,64.87740225314778,1509
7,junit-team-junit5.csv,BATCHBISECT,-1,linear,4,86802.0,327087.0,73.4621064120555,532,64.74486414844267,1509
8,junit-team-junit5.csv,BATCHSTOP4,-1,linear,1,81173.0,327087.0,75.18305527275618,488,67.66070245195493,1509
9,junit-team-junit5.csv,BATCHSTOP4,-1,linear,2,87528.0,327087.0,73.24014711682213,509,66.26905235255136,1509
10,junit-team-junit5.csv,BATCHSTOP4,-1,linear,3,85853.0,327087.0,73.75224328695424,512,66.0702451954937,1509
11,junit-team-junit5.csv,BATCHSTOP4,-1,linear,4,86868.0,327087.0,73.44192829430702,504,66.60039761431412,1509
12,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,2,161775.0,327087.0,50.54068183694246,608,59.70841616964877,1509
13,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,3,179941.0,327087.0,44.98680779119928,654,56.66003976143141,1509
14,junit-team-junit5.csv,BATCHBISECT,-1,exponential,2,83922.0,327087.0,74.34260609562594,522,65.4075546719682,1509
15,junit-team-junit5.csv,BATCHBISECT,-1,exponential,3,87221.0,327087.0,73.33400593725828,535,64.54605699138503,1509
16,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,2,83414.0,327087.0,74.49791645647794,502,66.73293571901922,1509
17,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,3,83028.0,327087.0,74.61592787240092,501,66.79920477137176,1509
18,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,2,163649.0,327087.0,49.967745584508094,601,60.17229953611663,1509
19,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,3,163169.0,327087.0,50.11449553176983,599,60.30483764082174,1509
20,junit-team-junit5.csv,BATCHBISECT,-1,stagger,2,85402.0,327087.0,73.89012709156891,538,64.34724983432737,1509
21,junit-team-junit5.csv,BATCHBISECT,-1,stagger,3,81667.0,327087.0,75.03202511869931,514,65.93770709078859,1509
22,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,2,87509.0,327087.0,73.24595596890124,516,65.8051689860835,1509
23,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,3,82552.0,327087.0,74.76145490343548,491,67.46189529489729,1509
24,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_linear,-1,128732.0,327087.0,60.64288706062913,533,64.67859509609013,1509
