,project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size
0,junit-team-junit5.csv,BATCHBISECT,-1,linear,1,558,67.09905660377359,1696
1,junit-team-junit5.csv,BATCHBISECT,-1,linear,2,581,65.74292452830188,1696
2,junit-team-junit5.csv,BATCHBISECT,-1,linear,3,565,66.68632075471697,1696
3,junit-team-junit5.csv,BATCHBISECT,-1,linear,4,577,65.97877358490567,1696
4,junit-team-junit5.csv,BATCHSTOP4,-1,linear,1,532,68.63207547169812,1696
5,junit-team-junit5.csv,BATCHSTOP4,-1,linear,2,529,68.80896226415095,1696
6,junit-team-junit5.csv,BATCHSTOP4,-1,linear,3,537,68.3372641509434,1696
7,junit-team-junit5.csv,BATCHSTOP4,-1,linear,4,551,67.51179245283018,1696
8,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,1,724,57.31132075471698,1696
9,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,2,733,56.780660377358494,1696
10,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,3,726,57.193396226415096,1696
11,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,4,744,56.132075471698116,1696
12,junit-team-junit5.csv,BATCHBISECT,-1,exponential,2,573,66.21462264150944,1696
13,junit-team-junit5.csv,BATCHBISECT,-1,exponential,3,590,65.2122641509434,1696
14,junit-team-junit5.csv,BATCHBISECT,-1,exponential,4,593,65.03537735849056,1696
15,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,2,549,67.62971698113208,1696
16,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,3,551,67.51179245283018,1696
17,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,4,571,66.33254716981132,1696
18,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,2,716,57.783018867924525,1696
19,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,3,592,65.09433962264151,1696
20,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,4,747,55.95518867924528,1696
21,junit-team-junit5.csv,BATCHBISECT,-1,stagger,2,577,65.97877358490567,1696
22,junit-team-junit5.csv,BATCHBISECT,-1,stagger,3,574,66.15566037735849,1696
23,junit-team-junit5.csv,BATCHBISECT,-1,stagger,4,573,66.21462264150944,1696
24,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,2,555,67.27594339622641,1696
25,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,3,534,68.51415094339623,1696
26,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,4,537,68.3372641509434,1696
27,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,2,733,56.780660377358494,1696
28,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,3,709,58.195754716981135,1696
29,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,4,729,57.01650943396226,1696
30,junit-team-junit5.csv,BATCHBISECT,-1,random_linear,-1,593,65.03537735849056,1696
31,junit-team-junit5.csv,BATCHSTOP4,-1,random_linear,-1,534,68.51415094339623,1696
32,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_linear,-1,630,62.85377358490566,1696
33,junit-team-junit5.csv,BATCHBISECT,-1,random_exponential,-1,592,65.09433962264151,1696
34,junit-team-junit5.csv,BATCHSTOP4,-1,random_exponential,-1,532,68.63207547169812,1696
35,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_exponential,-1,554,67.33490566037736,1696
36,junit-team-junit5.csv,BATCHBISECT,-1,random_random,-1,571,66.33254716981132,1696
37,junit-team-junit5.csv,BATCHSTOP4,-1,random_random,-1,544,67.9245283018868,1696
38,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_random,-1,719,57.6061320754717,1696
39,ratpack-ratpack.csv,BATCHBISECT,-1,linear,1,1747,6.876332622601282,1876
40,ratpack-ratpack.csv,BATCHBISECT,-1,linear,2,1853,1.2260127931769773,1876
41,ratpack-ratpack.csv,BATCHBISECT,-1,linear,3,1833,2.292110874200432,1876
42,ratpack-ratpack.csv,BATCHBISECT,-1,linear,4,1867,0.47974413646055325,1876
43,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,1,1520,18.97654584221749,1876
44,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,2,1539,17.96375266524521,1876
45,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,3,1624,13.43283582089552,1876
46,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,4,1599,14.765458422174845,1876
47,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,1,1528,18.550106609808097,1876
48,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,2,1543,17.750533049040513,1876
49,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,3,1638,12.68656716417911,1876
50,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,4,1595,14.978678038379527,1876
51,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,2,1818,3.091684434968016,1876
52,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,3,1871,0.2665245202558566,1876
53,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,4,1932,-2.985074626865668,1876
54,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,2,1674,10.767590618336882,1876
55,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,3,1603,14.552238805970148,1876
56,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,4,1788,4.690831556503198,1876
57,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,2,1680,10.447761194029852,1876
58,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,3,1599,14.765458422174845,1876
59,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,4,1806,3.731343283582092,1876
60,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,2,1778,5.223880597014926,1876
61,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,3,1873,0.1599147121535225,1876
62,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,4,1905,-1.545842217484008,1876
63,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,2,1621,13.592750533049042,1876
64,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,3,1611,14.12579957356077,1876
65,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,4,1728,7.889125799573563,1876
66,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,2,1633,12.953091684434966,1876
67,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,3,1618,13.752665245202564,1876
68,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,4,1753,6.556503198294237,1876
69,ratpack-ratpack.csv,BATCHBISECT,-1,random_linear,-1,1985,-5.810234541577827,1876
70,ratpack-ratpack.csv,BATCHSTOP4,-1,random_linear,-1,1714,8.635394456289973,1876
71,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_linear,-1,1721,8.262260127931768,1876
72,ratpack-ratpack.csv,BATCHBISECT,-1,random_exponential,-1,1921,-2.3987206823027662,1876
73,ratpack-ratpack.csv,BATCHSTOP4,-1,random_exponential,-1,1633,12.953091684434966,1876
74,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_exponential,-1,1678,10.5543710021322,1876
75,ratpack-ratpack.csv,BATCHBISECT,-1,random_random,-1,1947,-3.784648187633266,1876
76,ratpack-ratpack.csv,BATCHSTOP4,-1,random_random,-1,1685,10.18123667377398,1876
77,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_random,-1,1712,8.742004264392321,1876
78,p6spy-p6spy.csv,BATCHBISECT,-1,linear,1,1003,22.127329192546583,1288
79,p6spy-p6spy.csv,BATCHBISECT,-1,linear,2,1068,17.0807453416149,1288
80,p6spy-p6spy.csv,BATCHBISECT,-1,linear,3,1062,17.546583850931682,1288
81,p6spy-p6spy.csv,BATCHBISECT,-1,linear,4,1071,16.847826086956516,1288
82,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,1,873,32.22049689440993,1288
83,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,2,884,31.366459627329192,1288
84,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,3,925,28.183229813664596,1288
85,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,4,888,31.055900621118013,1288
86,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,1,901,30.046583850931682,1288
87,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,2,928,27.950310559006212,1288
88,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,3,974,24.378881987577643,1288
89,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,4,958,25.621118012422357,1288
90,p6spy-p6spy.csv,BATCHBISECT,-1,exponential,2,1068,17.0807453416149,1288
91,p6spy-p6spy.csv,BATCHBISECT,-1,exponential,3,1069,17.003105590062106,1288
92,p6spy-p6spy.csv,BATCHBISECT,-1,exponential,4,1134,11.956521739130437,1288
93,p6spy-p6spy.csv,BATCHSTOP4,-1,exponential,2,941,26.94099378881988,1288
94,p6spy-p6spy.csv,BATCHSTOP4,-1,exponential,3,904,29.8136645962733,1288
95,p6spy-p6spy.csv,BATCHSTOP4,-1,exponential,4,996,22.670807453416145,1288
96,p6spy-p6spy.csv,BATCHDIVIDE4,-1,exponential,2,992,22.981366459627324,1288
97,p6spy-p6spy.csv,BATCHDIVIDE4,-1,exponential,3,913,29.114906832298132,1288
98,p6spy-p6spy.csv,BATCHDIVIDE4,-1,exponential,4,1065,17.3136645962733,1288
99,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,2,1051,18.400621118012424,1288
100,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,3,1096,14.90683229813665,1288
101,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,4,1124,12.732919254658384,1288
102,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,2,931,27.717391304347828,1288
103,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,3,927,28.027950310559007,1288
104,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,4,984,23.602484472049696,1288
105,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,2,977,24.14596273291926,1288
106,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,3,965,25.077639751552795,1288
107,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,4,1055,18.090062111801245,1288
108,p6spy-p6spy.csv,BATCHBISECT,-1,random_linear,-1,1150,10.714285714285708,1288
109,p6spy-p6spy.csv,BATCHSTOP4,-1,random_linear,-1,963,25.232919254658384,1288
110,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_linear,-1,1032,19.875776397515523,1288
111,p6spy-p6spy.csv,BATCHBISECT,-1,random_exponential,-1,1108,13.975155279503099,1288
112,p6spy-p6spy.csv,BATCHSTOP4,-1,random_exponential,-1,938,27.173913043478265,1288
113,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_exponential,-1,965,25.077639751552795,1288
114,p6spy-p6spy.csv,BATCHBISECT,-1,random_random,-1,1166,9.472049689440993,1288
115,p6spy-p6spy.csv,BATCHSTOP4,-1,random_random,-1,949,26.31987577639751,1288
116,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_random,-1,1050,18.47826086956522,1288
117,apache-tajo.csv,BATCHBISECT,-1,linear,1,928,27.8943278943279,1287
118,apache-tajo.csv,BATCHBISECT,-1,linear,2,958,25.563325563325563,1287
119,apache-tajo.csv,BATCHBISECT,-1,linear,3,963,25.174825174825173,1287
120,apache-tajo.csv,BATCHBISECT,-1,linear,4,1003,22.06682206682207,1287
121,apache-tajo.csv,BATCHSTOP4,-1,linear,1,779,39.47163947163947,1287
