,Unnamed: 0,project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size,fr_bracket,size_bracket
0,0,junit-team-junit5.csv,BATCHBISECT,-1,linear,1,558,67.09905660377359,1696,low,lt 5k
1,1,junit-team-junit5.csv,BATCHBISECT,-1,linear,2,581,65.74292452830188,1696,low,lt 5k
2,2,junit-team-junit5.csv,BATCHBISECT,-1,linear,3,565,66.68632075471697,1696,low,lt 5k
3,3,junit-team-junit5.csv,BATCHBISECT,-1,linear,4,577,65.97877358490567,1696,low,lt 5k
4,4,junit-team-junit5.csv,BATCHSTOP4,-1,linear,1,532,68.63207547169812,1696,low,lt 5k
5,5,junit-team-junit5.csv,BATCHSTOP4,-1,linear,2,529,68.80896226415095,1696,low,lt 5k
6,6,junit-team-junit5.csv,BATCHSTOP4,-1,linear,3,537,68.3372641509434,1696,low,lt 5k
7,7,junit-team-junit5.csv,BATCHSTOP4,-1,linear,4,551,67.51179245283018,1696,low,lt 5k
8,8,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,1,724,57.31132075471698,1696,low,lt 5k
9,9,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,2,733,56.780660377358494,1696,low,lt 5k
10,10,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,3,726,57.193396226415096,1696,low,lt 5k
11,11,junit-team-junit5.csv,BATCHDIVIDE4,-1,linear,4,744,56.13207547169812,1696,low,lt 5k
12,12,junit-team-junit5.csv,BATCHBISECT,-1,exponential,2,573,66.21462264150944,1696,low,lt 5k
13,13,junit-team-junit5.csv,BATCHBISECT,-1,exponential,3,590,65.2122641509434,1696,low,lt 5k
14,14,junit-team-junit5.csv,BATCHBISECT,-1,exponential,4,593,65.03537735849056,1696,low,lt 5k
15,15,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,2,549,67.62971698113208,1696,low,lt 5k
16,16,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,3,551,67.51179245283018,1696,low,lt 5k
17,17,junit-team-junit5.csv,BATCHSTOP4,-1,exponential,4,571,66.33254716981132,1696,low,lt 5k
18,18,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,2,716,57.783018867924525,1696,low,lt 5k
19,19,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,3,592,65.09433962264151,1696,low,lt 5k
20,20,junit-team-junit5.csv,BATCHDIVIDE4,-1,exponential,4,747,55.95518867924528,1696,low,lt 5k
21,21,junit-team-junit5.csv,BATCHBISECT,-1,stagger,2,577,65.97877358490567,1696,low,lt 5k
22,22,junit-team-junit5.csv,BATCHBISECT,-1,stagger,3,574,66.15566037735849,1696,low,lt 5k
23,23,junit-team-junit5.csv,BATCHBISECT,-1,stagger,4,573,66.21462264150944,1696,low,lt 5k
24,24,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,2,555,67.27594339622641,1696,low,lt 5k
25,25,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,3,534,68.51415094339623,1696,low,lt 5k
26,26,junit-team-junit5.csv,BATCHSTOP4,-1,stagger,4,537,68.3372641509434,1696,low,lt 5k
27,27,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,2,733,56.780660377358494,1696,low,lt 5k
28,28,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,3,709,58.195754716981135,1696,low,lt 5k
29,29,junit-team-junit5.csv,BATCHDIVIDE4,-1,stagger,4,729,57.01650943396226,1696,low,lt 5k
30,30,junit-team-junit5.csv,BATCHBISECT,-1,random_linear,-1,593,65.03537735849056,1696,low,lt 5k
31,31,junit-team-junit5.csv,BATCHSTOP4,-1,random_linear,-1,534,68.51415094339623,1696,low,lt 5k
32,32,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_linear,-1,630,62.85377358490566,1696,low,lt 5k
33,33,junit-team-junit5.csv,BATCHBISECT,-1,random_exponential,-1,592,65.09433962264151,1696,low,lt 5k
34,34,junit-team-junit5.csv,BATCHSTOP4,-1,random_exponential,-1,532,68.63207547169812,1696,low,lt 5k
35,35,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_exponential,-1,554,67.33490566037736,1696,low,lt 5k
36,36,junit-team-junit5.csv,BATCHBISECT,-1,random_random,-1,571,66.33254716981132,1696,low,lt 5k
37,37,junit-team-junit5.csv,BATCHSTOP4,-1,random_random,-1,544,67.9245283018868,1696,low,lt 5k
38,38,junit-team-junit5.csv,BATCHDIVIDE4,-1,random_random,-1,719,57.6061320754717,1696,low,lt 5k
39,39,ratpack-ratpack.csv,BATCHBISECT,-1,linear,1,1747,6.876332622601282,1876,med,lt 5k
40,40,ratpack-ratpack.csv,BATCHBISECT,-1,linear,2,1853,1.226012793176977,1876,med,lt 5k
41,41,ratpack-ratpack.csv,BATCHBISECT,-1,linear,3,1833,2.292110874200432,1876,med,lt 5k
42,42,ratpack-ratpack.csv,BATCHBISECT,-1,linear,4,1867,0.4797441364605532,1876,med,lt 5k
43,43,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,1,1520,18.97654584221749,1876,med,lt 5k
44,44,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,2,1539,17.96375266524521,1876,med,lt 5k
45,45,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,3,1624,13.43283582089552,1876,med,lt 5k
46,46,ratpack-ratpack.csv,BATCHSTOP4,-1,linear,4,1599,14.765458422174843,1876,med,lt 5k
47,47,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,1,1528,18.550106609808097,1876,med,lt 5k
48,48,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,2,1543,17.750533049040513,1876,med,lt 5k
49,49,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,3,1638,12.68656716417911,1876,med,lt 5k
50,50,ratpack-ratpack.csv,BATCHDIVIDE4,-1,linear,4,1595,14.978678038379527,1876,med,lt 5k
51,51,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,2,1818,3.091684434968016,1876,med,lt 5k
52,52,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,3,1871,0.2665245202558566,1876,med,lt 5k
53,53,ratpack-ratpack.csv,BATCHBISECT,-1,exponential,4,1932,-2.985074626865668,1876,med,lt 5k
54,54,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,2,1674,10.767590618336882,1876,med,lt 5k
55,55,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,3,1603,14.552238805970148,1876,med,lt 5k
56,56,ratpack-ratpack.csv,BATCHSTOP4,-1,exponential,4,1788,4.690831556503198,1876,med,lt 5k
57,57,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,2,1680,10.447761194029852,1876,med,lt 5k
58,58,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,3,1599,14.765458422174843,1876,med,lt 5k
59,59,ratpack-ratpack.csv,BATCHDIVIDE4,-1,exponential,4,1806,3.731343283582092,1876,med,lt 5k
60,60,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,2,1778,5.223880597014926,1876,med,lt 5k
61,61,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,3,1873,0.1599147121535225,1876,med,lt 5k
62,62,ratpack-ratpack.csv,BATCHBISECT,-1,stagger,4,1905,-1.545842217484008,1876,med,lt 5k
63,63,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,2,1621,13.592750533049042,1876,med,lt 5k
64,64,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,3,1611,14.12579957356077,1876,med,lt 5k
65,65,ratpack-ratpack.csv,BATCHSTOP4,-1,stagger,4,1728,7.889125799573563,1876,med,lt 5k
66,66,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,2,1633,12.953091684434966,1876,med,lt 5k
67,67,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,3,1618,13.752665245202564,1876,med,lt 5k
68,68,ratpack-ratpack.csv,BATCHDIVIDE4,-1,stagger,4,1753,6.556503198294237,1876,med,lt 5k
69,69,ratpack-ratpack.csv,BATCHBISECT,-1,random_linear,-1,1985,-5.810234541577827,1876,med,lt 5k
70,70,ratpack-ratpack.csv,BATCHSTOP4,-1,random_linear,-1,1714,8.635394456289973,1876,med,lt 5k
71,71,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_linear,-1,1721,8.262260127931768,1876,med,lt 5k
72,72,ratpack-ratpack.csv,BATCHBISECT,-1,random_exponential,-1,1921,-2.3987206823027662,1876,med,lt 5k
73,73,ratpack-ratpack.csv,BATCHSTOP4,-1,random_exponential,-1,1633,12.953091684434966,1876,med,lt 5k
74,74,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_exponential,-1,1678,10.5543710021322,1876,med,lt 5k
75,75,ratpack-ratpack.csv,BATCHBISECT,-1,random_random,-1,1947,-3.784648187633266,1876,med,lt 5k
76,76,ratpack-ratpack.csv,BATCHSTOP4,-1,random_random,-1,1685,10.18123667377398,1876,med,lt 5k
