,project,BATCHSTOP4 MFU 2,BATCHBISECT linear 3,BATCHDIVIDE4 MFU 3,BATCHDIVIDE4 mixed 3,Baseline Dynamic BATCHDIVIDE4,BATCHDIVIDE4 16,BATCHSTOP4 16,BATCHDIVIDE4 exponential 2,BATCHSTOP4 linear 4,BATCHBISECT mixed 3,BATCHDIVIDE4 random_linear -1,BATCHDIVIDE4 random_exponential -1,BATCHDIVIDE4 4,BATCHSTOP4 mixed 2,BATCHSTOP4 random_linear -1,BATCHBISECT MFU 2,BATCHBISECT 8,BATCHBISECT mixed 2,Baseline Dynamic BATCHBISECT,BATCHSTOP4 random -1,BATCHBISECT random_exponential -1,BATCHSTOP4 8,BATCHBISECT 2,BATCHDIVIDE4 linear 4,BATCHDIVIDE4 exponential 3,BATCHBISECT 16,BATCHSTOP4 linear 2,BATCHBISECT random -1,BATCHBISECT 4,BATCHBISECT linear 1,BATCHSTOP4 4,BATCHSTOP4 MFU 3,BATCHBISECT linear 2,BATCHSTOP4 exponential 3,BATCHDIVIDE4 linear 3,BATCHDIVIDE4 8,BATCHDIVIDE4 MFU 2,BATCHSTOP4 random_exponential -1,BATCHDIVIDE4 mixed 2,Baseline Dynamic BATCHSTOP4,BATCHBISECT exponential 2,BATCHDIVIDE4 linear 1,BATCHSTOP4 mixed 3,BATCHSTOP4 exponential 2,BATCHBISECT exponential 3,BATCHBISECT linear 4,BATCHSTOP4 linear 3,BATCHBISECT random_linear -1,BATCHDIVIDE4 linear 2,BATCHSTOP4 linear 1,BATCHBISECT MFU 3,BATCHDIVIDE4 random -1
200,CloudSlang-cloud-slang.csv,49.668265709217,39.32096909787940,62.55620053564870,63.02090610529410,73.22010663106340,68.41891860966090,50.71356717919330,57.43794712856840,53.86901023547180,37.596035465907600,61.5927291784572,61.69575663315690,49.81383473579160,48.96960784175360,51.31082442192900,37.49625408169840,53.52425471706560,36.33190271009250,61.21863131554770,47.91148295083800,34.30588427899840,52.04761890547560,38.87769509293840,63.109961343534500,52.92534461272260,52.19020299078330,54.36979893651200,35.458427481138700,51.290470547381600,42.93878522633340,49.81383473579160,51.46654171647500,41.978983340131300,52.800723732585900,62.13948035586340,52.04761890547560,59.92090878683060,50.646697217364900,59.20921959290510,58.33301578295930,36.97758847071030,62.87102232873100,51.99885023242340,47.55808466786820,38.51735495122190,40.435829655629600,50.406582090064800,35.351024887951800,66.0378698814996,52.421215752192200,37.243295805935800,66.31006935770610
32,DSpace-DSpace.csv,66.19251275561770,63.22217197590560,79.94667413780300,79.67835253923050,80.99467023425960,77.81359903360480,63.39203930993470,77.1476304683218,66.220435500809,59.83186182659880,77.21080920491630,75.96810601993700,57.740165459159400,65.3187282646813,67.12693755176760,63.47930567320610,62.450076558200300,63.50666432253500,76.20897495320360,64.22889505842620,61.40042438812050,62.769352968832600,41.45366160399410,81.67722622782520,70.19561904350020,63.01883633482360,66.24817021404620,61.88761518132390,57.420889048527100,62.99418323149840,57.740165459159400,65.82227783789580,64.24704014200170,65.31807015284180,79.16634152807930,62.769352968832600,80.60158943410840,66.55372213954040,79.46371406356800,72.8684932717466,61.854427541416400,79.54184134051740,65.08660281728280,63.57397976212080,61.53326896372770,62.49072767426100,65.10662822039980,61.72402738121320,80.40377981834230,66.20247844918770,57.623708573034900,79.01572793280490
92,FasterXML-jackson-databind.csv,55.561728281696700,50.12626030743240,66.1391281457947,66.40588174077000,66.12489516568410,67.06596673202200,51.79447852760740,64.98442024327680,57.17648283165900,49.51347694869390,68.14245835705500,64.36643342944420,48.674498766681400,55.90928847342870,58.52509595783370,48.4343721878386,44.56233002340140,48.68964757304730,59.42743628828370,57.00369751397280,48.53461521980010,52.22614002909370,29.248150022136500,69.12070791476130,59.089670835552500,43.96148251217510,58.39791739362000,49.28513709573750,41.01068876098920,48.6276652403078,48.674498766681400,56.062790398707100,50.11799599640040,58.3149681977068,68.22525451017120,52.22614002909370,65.74657337177770,57.50583093056140,66.20906870397240,57.88935617956210,47.41847410209790,61.70425397758230,56.651086909943500,55.19702729671330,51.22847453061770,48.96405330786700,57.22499739827250,48.84819991062300,67.79107209540080,55.710179794677800,48.38417415045940,68.22158148304590
254,Graylog2-graylog2-server.csv,71.83593902608210,65.46593465480610,82.98952216507670,82.43534525851900,82.26009431005050,85.3881947775218,72.02726822402720,81.70539444998670,71.95929452956800,64.33290974099340,83.20316405328340,78.9868360297739,63.262688609147600,69.35295577935920,72.05564102256480,66.56659797518550,71.47768927748640,63.274328796865500,77.92542498431910,70.01606082502990,63.22581716868670,70.83514046909520,44.889409581619900,84.78042258949970,72.5662282162948,72.66981703241840,71.4748857731114,66.43096844529310,63.905237417538800,64.90689735683920,63.262688609147600,71.39056721075360,65.5326573697838,71.91238252387820,83.25204482511360,70.83514046909520,83.77259889742940,71.21285530460970,80.88180420190070,75.6991503851245,65.46445808020080,81.9230046324452,70.58057375382490,70.21841306990010,65.17265002382520,64.4423608336125,70.9620529555025,65.12955250253250,84.96062621529010,70.29356456491650,67.10631675539960,84.98477436248120
152,JabRef-jabref.csv,64.9511193903726,60.356004071193300,76.34313699715690,75.62739191995820,82.067031972388,77.27282632268720,62.69205905151080,75.08685087188890,67.00502514450110,62.02485531114210,77.46187011991990,75.41791700624570,56.81295339529580,64.19105689530200,67.1019225496787,61.34591622505740,59.35969766556220,59.771521176589900,73.09453881717560,65.69306056838970,62.091049759446600,61.92294082915760,38.35380475894490,78.2651233188488,68.96578920683090,60.12881588791540,66.50363740840750,60.59946819098550,54.2497102317005,61.493703546520100,56.81295339529580,65.53409999962440,61.18751901329900,67.3980605496111,78.04597744318550,61.92294082915760,75.39707279699240,66.24777943446470,74.26219010669980,72.25316512745010,60.89062987069080,76.96667931090170,65.91211255121850,64.77272300487120,62.2110448019049,61.43868234551810,66.06947694179770,59.67330927172960,78.6189115191485,66.13116453404740,60.81129042555990,76.86076819361450
218,SpongePowered-SpongeCommon.csv,57.17039868711690,47.49780278754320,68.78525910255210,68.11643800101630,72.5073953375022,79.32668704201540,63.31523822292770,64.80036477615660,60.12101520289540,47.41513185867320,69.53224652334880,67.44278821723760,58.48034998885980,56.77425229961940,57.50762866979850,46.4375019444358,59.38340919448220,47.74011189579900,62.540087784795000,59.83900719700510,45.738704124278000,63.416136323675100,37.72258013374140,71.14635509027370,61.20383909404850,59.28251109373480,59.09616790592040,45.74787537981310,54.44762285966680,47.56896913791490,58.48034998885980,58.12187593981060,47.02724932333630,61.10590434412880,67.61934298810530,63.416136323675100,67.6285142436404,58.8212894979726,66.09607198042080,62.09562216760520,45.309405106347700,62.66835573323380,58.46779106907670,55.421897198975400,50.58767331404450,47.718949952815000,58.77011842910330,45.11671151831920,70.16269742504850,58.666544815356400,47.584524624335,70.73646802310510
176,SpongePowered-SpongeForge.csv,52.64851251358300,45.01694238081720,65.9176149762861,65.19951392310940,70.4525723479946,63.76253016343730,47.32157858254420,61.63743455931860,57.65445871741240,45.60821321478550,66.87522386906700,65.4112597351925,45.97738717688590,54.10719582700520,57.48849007462250,40.8637732397592,45.64855406772220,43.51951293333280,59.47926885682910,56.89468444683710,39.94294903344390,48.3961237783521,32.7256730061528,68.20049856980300,57.619484597959100,44.586280819496800,57.54869142778000,43.52189684656560,43.22981746625600,46.32184820266520,45.97738717688590,54.33620237793840,44.21652088081670,57.59528335222860,65.50462464079110,48.3961237783521,62.62479710333420,56.08735261607320,62.913612717905500,59.24513236602780,43.69788396015670,60.73489707982700,55.086893637335600,52.81671418902140,47.10241381776460,43.11370451365300,57.14541780191730,41.41825938726190,67.31848084978360,56.93186142282200,42.705572532974200,68.70727627653270
38,apache-nifi.csv,36.4589959930412,27.484709452074100,47.9787029271613,47.54804596250540,64.64117504195160,47.00909394614780,27.243944801947700,43.94880249824090,38.99764151231820,25.78685757625340,49.08743427210580,48.39177456937360,32.56148348855830,36.96151064523460,36.72052569107990,25.746575203423500,19.641651761658500,28.345240724476200,44.62939605545810,38.82252202873480,22.333139381167900,30.556577370318500,17.970637177884300,47.18802378396520,39.83278535120630,16.32901919328770,40.37034835814480,22.40135282246870,21.646557879898300,28.420449161909000,32.56148348855830,37.71616311254830,27.87112184329400,39.54983042025990,46.54083989358800,30.556577370318500,46.25945027646130,36.869988702836700,46.25086550848120,42.75517733660390,26.193790253328900,41.60814471913260,36.647004857609000,34.851467616225200,26.492765192899200,26.830628397678700,39.35656307957880,19.681448854471600,44.45836106262310,40.478868630303900,24.60898338492750,48.84461496581870
272,apache-pdfbox.csv,15.405254569056700,8.08305143634098,19.56801708206860,20.224359456623900,36.03019728913810,9.567456251821,-10.164945647341700,17.9289906833785,19.391971099459800,5.564325177584830,21.338821490467900,20.41885470256160,2.662969062688520,15.777095282323300,11.455128792614500,5.981818840887000,-30.842722680385600,8.115162387714260,19.76685534272880,12.486817069484100,2.4557867422465200,-5.328810670547800,-11.636765979216400,22.11871750433280,17.236912479020200,-35.67885765717950,20.658130875893700,-2.716333428628890,-22.850942947149300,11.798927993499800,2.662969062688520,15.98025945922290,9.486341047712960,17.195380263426100,18.990276434596900,-5.328810670547800,18.610382335762200,15.458601836513900,18.565242340221500,20.15996656904570,6.412153465041800,22.713744718278500,16.675415390549900,15.158078896504900,4.755618219596500,6.9918433395936600,16.55555502360280,-4.25873629898544,22.972188291232300,21.68140669904890,3.7672916960190600,23.37766172087340
278,apache-sling.csv,1.3996997312785200,1.4537057508322000,2.551334686065640,2.551334686065640,3.8035984836713800,-20.885096447679300,-39.66949805506380,1.8287933599205400,1.8482976157679000,0.6385402908735780,2.038902136201690,1.9171730928218800,-21.687386757610500,1.7059399719282500,1.076853545338080,0.6979462877467030,-81.15198773275860,0.8555138156499000,2.063653333574020,0.792413097452922,0.22719881439110200,-33.591644089670500,-45.94823274049630,2.0991638842520800,2.009060156278280,-87.22984169815180,2.0433526669594800,-0.94209459717122,-69.24773040069850,0.9564799618522390,-21.687386757610500,1.7651960561863500,1.0607972796357200,1.9587426116895000,2.0322809957058500,-33.591644089670500,1.8694415408418300,1.2584289538976100,2.235290785030840,2.166790089514380,0.7271979867485360,2.516464387180800,1.7651960561863500,1.3916106964274800,0.4133434345285990,1.1852559818803200,1.7307224010954100,0.1843612846549260,2.175772353696460,2.2200902705057600,0.6068806204933140,2.1058880896707100
