,Build_Result,Actual_Result,Index
0,1,1,1
1,1,1,2
2,1,1,3
3,1,1,4
4,0,1,5
5,0,1,6
6,1,1,7
7,1,1,8
8,1,1,9
9,1,1,10
10,1,1,11
11,1,1,12
12,1,1,13
13,1,1,14
14,1,1,15
15,1,1,16
16,1,1,17
17,1,1,18
18,1,1,19
19,1,1,20
20,1,1,21
21,1,1,22
22,1,1,23
23,1,1,24
24,1,1,25
25,1,1,26
26,1,1,27
27,1,1,28
28,1,1,29
29,1,1,30
30,1,0,31
31,1,0,32
32,1,1,33
33,1,1,34
34,1,1,35
35,1,1,36
36,0,1,37
37,0,1,38
38,1,1,39
39,1,1,40
40,1,1,41
41,1,1,42
42,1,1,43
43,1,1,44
44,1,1,45
45,1,1,46
46,1,1,47
47,1,1,48
48,1,1,49
49,1,1,50
50,1,1,51
51,1,1,52
52,1,1,53
53,1,1,54
54,1,1,55
55,1,1,56
56,1,1,57
57,1,1,58
58,1,1,59
59,1,1,60
60,1,1,61
61,1,1,62
62,1,1,63
63,1,1,64
64,1,1,65
65,1,1,66
66,1,1,67
67,1,1,68
68,1,1,69
69,1,1,70
70,1,1,71
71,1,1,72
72,1,1,73
73,1,1,74
74,1,1,75
75,1,1,76
76,1,1,77
77,1,1,78
78,1,1,79
79,1,1,80
80,0,1,81
81,0,1,82
82,1,1,83
83,1,1,84
84,0,1,85
85,0,1,86
86,0,1,87
87,0,1,88
88,1,0,89
89,1,0,90
90,1,1,91
91,1,1,92
92,1,0,93
93,1,0,94
94,1,0,95
95,1,0,96
96,0,0,97
97,0,0,98
98,1,0,99
99,1,0,100
100,1,1,101
101,1,1,102
102,0,1,103
103,0,1,104
104,1,1,105
105,1,1,106
106,1,1,107
107,1,1,108
108,1,0,109
109,1,0,110
110,1,1,111
111,1,1,112
112,1,1,113
113,1,1,114
114,0,1,115
115,0,1,116
116,0,1,117
117,0,1,118
118,1,1,119
119,1,1,120
120,1,1,121
121,1,1,122
122,1,1,123
123,1,1,124
124,1,1,125
125,1,0,126
126,1,0,127
127,1,0,128
128,0,1,129
129,0,1,130
130,1,1,131
131,1,1,132
132,1,1,133
133,1,1,134
134,0,1,135
135,0,1,136
136,0,1,137
137,0,1,138
138,1,0,139
139,1,0,140
140,1,1,141
141,1,1,142
142,0,1,143
143,0,1,144
144,1,1,145
145,1,1,146
146,1,1,147
147,1,1,148
148,1,1,149
149,1,1,150
150,1,1,151
151,1,1,152
152,1,1,153
153,1,1,154
154,1,1,155
155,1,1,156
156,1,1,157
157,1,1,158
158,1,0,159
159,1,0,160
160,1,0,161
161,1,0,162
162,1,0,163
163,1,0,164
164,1,1,165
165,1,1,166
166,1,1,167
167,1,1,168
168,1,0,169
169,1,0,170
170,1,1,171
171,1,1,172
172,1,1,173
173,1,1,174
174,1,1,175
175,1,1,176
176,1,1,177
177,1,1,178
178,1,1,179
179,1,1,180
180,1,1,181
181,1,1,182
182,1,1,183
183,1,1,184
184,1,1,185
185,1,1,186
186,1,1,187
187,1,1,188
188,1,1,189
189,1,1,190
190,1,1,191
191,1,1,192
192,1,1,193
193,1,1,194
194,1,1,195
195,1,1,196
196,1,1,197
197,1,1,198
198,1,1,199
199,0,0,200
200,0,0,201
201,0,0,202
202,1,0,203
203,1,0,204
204,1,0,205
205,1,1,206
206,1,1,207
207,1,1,208
208,1,1,209
209,1,1,210
210,1,1,211
211,1,1,212
212,0,1,213
213,0,1,214
214,1,1,215
215,1,1,216
216,1,0,217
217,1,0,218
218,1,0,219
219,1,0,220
220,1,0,221
221,1,0,222
222,1,0,223
223,1,0,224
224,1,0,225
225,1,0,226
226,1,0,227
227,1,0,228
228,1,0,229
229,1,0,230
230,1,0,231
231,1,0,232
232,1,0,233
233,1,0,234
234,1,0,235
235,1,0,236
236,1,0,237
237,1,0,238
238,1,0,239
239,1,0,240
240,1,0,241
241,1,0,242
242,1,0,243
243,1,1,244
244,1,1,245
245,1,1,246
246,1,1,247
247,1,1,248
248,1,1,249
249,1,1,250
250,1,1,251
251,1,1,252
252,1,1,253
253,1,1,254
254,1,1,255
255,1,1,256
256,1,1,257
257,1,1,258
258,1,1,259
259,1,1,260
260,1,1,261
261,1,1,262
262,1,1,263
263,1,1,264
264,1,1,265
265,1,1,266
266,1,1,267
267,1,1,268
268,1,0,269
269,1,0,270
270,1,0,271
271,1,0,272
272,1,0,273
273,1,0,274
274,1,1,275
275,1,1,276
276,0,1,277
277,0,1,278
278,0,0,279
279,0,0,280
280,0,0,281
281,1,1,282
282,1,1,283
283,0,1,284
284,0,1,285
285,1,1,286
286,1,1,287
287,1,1,288
288,1,1,289
289,1,1,290
290,0,1,291
291,0,1,292
292,0,1,293
293,0,1,294
294,0,1,295
295,1,0,296
296,1,0,297
297,1,0,298
298,1,0,299
299,1,0,300
300,1,0,301
301,1,1,302
302,1,1,303
303,1,1,304
304,1,1,305
305,1,0,306
306,1,0,307
307,1,0,308
308,0,0,309
309,0,0,310
310,0,0,311
311,1,0,312
312,1,0,313
313,1,0,314
314,1,1,315
315,1,1,316
316,1,1,317
317,1,1,318
