,Build_Result,Actual_Result,Index
0,1,0,1
1,1,0,2
2,1,1,3
3,1,0,4
4,1,0,5
5,0,0,6
6,1,0,7
7,1,1,8
8,0,0,9
9,0,1,10
10,1,1,11
11,1,1,12
12,0,0,13
13,1,1,14
14,0,0,15
15,0,0,16
16,1,1,17
17,0,0,18
18,0,1,19
19,0,0,20
20,1,0,21
21,0,0,22
22,0,0,23
23,1,0,24
24,1,0,25
25,1,0,26
26,1,0,27
27,1,1,28
28,1,0,29
29,1,0,30
30,1,0,31
31,1,0,32
32,1,0,33
33,1,0,34
34,0,0,35
35,1,0,36
36,1,0,37
37,1,0,38
38,1,0,39
39,1,0,40
40,1,0,41
41,0,0,42
42,0,0,43
43,0,1,44
44,0,0,45
45,1,0,46
46,1,0,47
47,1,0,48
48,0,0,49
49,1,0,50
50,1,0,51
51,0,0,52
52,1,0,53
53,0,0,54
54,1,0,55
55,0,0,56
56,1,0,57
57,1,0,58
58,1,0,59
59,0,0,60
60,1,0,61
61,0,0,62
62,1,0,63
63,1,0,64
64,1,0,65
65,0,1,66
66,0,1,67
67,1,1,68
68,1,1,69
69,1,1,70
70,1,1,71
71,0,1,72
72,1,1,73
73,0,1,74
74,1,0,75
75,1,0,76
76,0,0,77
77,1,0,78
78,1,0,79
79,0,0,80
80,0,0,81
81,0,1,82
82,1,0,83
83,0,0,84
84,1,0,85
85,1,0,86
86,0,0,87
87,1,1,88
88,1,0,89
89,1,1,90
90,0,0,91
91,1,0,92
92,1,0,93
93,0,1,94
94,0,0,95
95,0,0,96
96,1,1,97
97,0,1,98
98,1,0,99
99,1,0,100
100,1,1,101
101,1,1,102
102,0,0,103
103,1,0,104
104,1,0,105
105,1,0,106
106,1,0,107
107,0,1,108
108,0,0,109
109,1,0,110
110,1,0,111
111,1,0,112
112,1,1,113
113,1,1,114
114,1,0,115
115,1,0,116
116,1,0,117
117,1,0,118
118,1,0,119
119,0,0,120
120,1,0,121
121,1,0,122
122,1,0,123
123,1,0,124
124,0,0,125
125,1,0,126
126,0,0,127
127,0,0,128
128,0,0,129
129,1,0,130
130,1,0,131
131,0,0,132
132,1,0,133
133,1,0,134
134,1,0,135
135,1,0,136
136,1,0,137
137,1,0,138
138,1,0,139
139,0,0,140
140,1,0,141
141,0,0,142
142,1,0,143
143,1,0,144
144,1,0,145
145,1,0,146
146,1,1,147
147,1,0,148
148,1,0,149
149,1,0,150
150,1,0,151
151,0,0,152
152,1,0,153
153,1,0,154
154,0,0,155
155,0,0,156
156,1,0,157
157,1,0,158
158,0,1,159
159,1,1,160
160,1,0,161
161,0,0,162
162,1,0,163
163,1,1,164
164,1,1,165
165,1,1,166
166,1,0,167
167,1,0,168
168,1,0,169
169,1,0,170
170,1,0,171
171,1,1,172
172,1,1,173
173,1,1,174
174,0,1,175
175,1,1,176
176,0,1,177
177,1,0,178
178,0,0,179
179,1,0,180
180,0,0,181
181,1,0,182
182,1,1,183
183,1,0,184
184,1,0,185
185,1,0,186
186,1,0,187
187,0,0,188
188,1,0,189
189,1,1,190
190,1,0,191
191,1,0,192
192,1,0,193
193,1,1,194
194,1,1,195
195,0,1,196
196,0,0,197
197,1,1,198
198,1,1,199
199,1,1,200
200,1,1,201
201,1,1,202
202,1,1,203
203,1,0,204
204,0,1,205
205,1,0,206
206,1,0,207
207,0,0,208
208,1,0,209
209,1,0,210
210,0,0,211
211,1,0,212
212,1,0,213
213,1,0,214
214,1,0,215
215,1,0,216
216,1,0,217
217,0,0,218
218,0,1,219
219,1,0,220
220,1,0,221
221,1,0,222
222,1,0,223
223,1,0,224
224,1,0,225
225,0,0,226
226,0,1,227
227,1,0,228
228,1,0,229
229,1,0,230
230,1,0,231
231,1,1,232
232,1,1,233
233,0,1,234
234,1,0,235
235,1,0,236
236,0,0,237
237,0,0,238
238,1,0,239
239,1,0,240
240,1,0,241
241,1,0,242
242,1,1,243
243,1,1,244
244,1,1,245
245,1,1,246
246,1,0,247
247,0,0,248
248,1,1,249
249,1,1,250
250,1,0,251
251,1,0,252
252,1,0,253
253,1,1,254
254,1,1,255
255,1,0,256
256,1,0,257
257,1,0,258
258,1,0,259
259,1,1,260
260,0,0,261
261,1,0,262
262,1,0,263
263,1,0,264
264,1,0,265
265,1,1,266
266,0,1,267
267,1,1,268
268,1,0,269
269,1,0,270
270,1,0,271
271,0,0,272
272,1,0,273
273,1,0,274
274,1,0,275
275,1,0,276
276,1,0,277
277,1,0,278
278,1,0,279
279,1,0,280
280,1,0,281
281,1,0,282
282,0,0,283
283,1,0,284
284,1,0,285
285,1,0,286
286,1,0,287
287,1,0,288
288,1,0,289
289,1,0,290
290,1,0,291
291,1,0,292
292,1,0,293
293,0,0,294
294,1,0,295
295,0,0,296
296,0,0,297
297,0,0,298
298,0,0,299
299,0,0,300
300,1,0,301
301,0,0,302
302,1,0,303
303,1,0,304
304,1,0,305
305,1,0,306
306,0,0,307
307,1,0,308
308,1,0,309
309,1,0,310
310,1,0,311
311,1,0,312
312,1,0,313
313,0,0,314
314,1,0,315
315,1,0,316
316,1,0,317
317,1,0,318
318,1,0,319
319,1,0,320
320,0,0,321
321,1,0,322
322,1,0,323
323,1,0,324
324,1,0,325
325,1,0,326
326,1,0,327
327,0,0,328
328,1,0,329
329,0,0,330
330,1,0,331
331,1,0,332
332,1,0,333
333,0,0,334
334,1,0,335
335,1,0,336
336,1,0,337
337,1,0,338
338,1,0,339
339,1,0,340
340,0,0,341
