project,method,batch,reqd_builds,delay
junit-team-junit5.csv,sbs,1,0.4975124378109453,210
junit-team-junit5.csv,sbs,2,0.4975124378109453,210
junit-team-junit5.csv,sbs,4,0.4975124378109453,210
junit-team-junit5.csv,sbs,8,0.4975124378109453,210
junit-team-junit5.csv,sbs,16,0.4975124378109453,210
junit-team-junit5.csv,sbs,32,0.4975124378109453,210
ratpack-ratpack.csv,sbs,1,34.82587064676617,349
ratpack-ratpack.csv,sbs,2,34.82587064676617,349
ratpack-ratpack.csv,sbs,4,34.82587064676617,349
ratpack-ratpack.csv,sbs,8,34.82587064676617,349
ratpack-ratpack.csv,sbs,16,34.82587064676617,349
ratpack-ratpack.csv,sbs,32,34.82587064676617,349
p6spy-p6spy.csv,sbs,1,7.766990291262136,3372
p6spy-p6spy.csv,sbs,2,7.766990291262136,3372
p6spy-p6spy.csv,sbs,4,7.766990291262136,3372
p6spy-p6spy.csv,sbs,8,7.766990291262136,3372
p6spy-p6spy.csv,sbs,16,7.766990291262136,3372
p6spy-p6spy.csv,sbs,32,7.766990291262136,3372
BuildCraft-BuildCraft.csv,sbs,1,57.81990521327014,25
BuildCraft-BuildCraft.csv,sbs,2,57.81990521327014,25
BuildCraft-BuildCraft.csv,sbs,4,57.81990521327014,25
BuildCraft-BuildCraft.csv,sbs,8,57.81990521327014,25
BuildCraft-BuildCraft.csv,sbs,16,57.81990521327014,25
BuildCraft-BuildCraft.csv,sbs,32,57.81990521327014,25
apache-tajo.csv,sbs,1,3.3333333333333335,623
apache-tajo.csv,sbs,2,3.3333333333333335,623
apache-tajo.csv,sbs,4,3.3333333333333335,623
apache-tajo.csv,sbs,8,3.3333333333333335,623
apache-tajo.csv,sbs,16,3.3333333333333335,623
apache-tajo.csv,sbs,32,3.3333333333333335,623
osmdroid-osmdroid.csv,sbs,1,100.0,0
osmdroid-osmdroid.csv,sbs,2,100.0,0
osmdroid-osmdroid.csv,sbs,4,100.0,0
osmdroid-osmdroid.csv,sbs,8,100.0,0
osmdroid-osmdroid.csv,sbs,16,100.0,0
osmdroid-osmdroid.csv,sbs,32,100.0,0
DSpace-DSpace.csv,sbs,1,1.834862385321101,34
DSpace-DSpace.csv,sbs,2,1.834862385321101,34
DSpace-DSpace.csv,sbs,4,1.834862385321101,34
DSpace-DSpace.csv,sbs,8,1.834862385321101,34
DSpace-DSpace.csv,sbs,16,1.834862385321101,34
DSpace-DSpace.csv,sbs,32,1.834862385321101,34
apache-nifi.csv,sbs,1,20.444444444444443,598
apache-nifi.csv,sbs,2,20.444444444444443,598
apache-nifi.csv,sbs,4,20.444444444444443,598
apache-nifi.csv,sbs,8,20.444444444444443,598
apache-nifi.csv,sbs,16,20.444444444444443,598
apache-nifi.csv,sbs,32,20.444444444444443,598
caelum-vraptor4.csv,sbs,1,0.44052863436123346,1180
caelum-vraptor4.csv,sbs,2,0.44052863436123346,1180
caelum-vraptor4.csv,sbs,4,0.44052863436123346,1180
caelum-vraptor4.csv,sbs,8,0.44052863436123346,1180
caelum-vraptor4.csv,sbs,16,0.44052863436123346,1180
caelum-vraptor4.csv,sbs,32,0.44052863436123346,1180
grails-grails-core.csv,sbs,1,11.934156378600823,638
grails-grails-core.csv,sbs,2,11.934156378600823,638
grails-grails-core.csv,sbs,4,11.934156378600823,638
grails-grails-core.csv,sbs,8,11.934156378600823,638
grails-grails-core.csv,sbs,16,11.934156378600823,638
grails-grails-core.csv,sbs,32,11.934156378600823,638
square-wire.csv,sbs,1,6.097560975609756,993
square-wire.csv,sbs,2,6.097560975609756,993
square-wire.csv,sbs,4,6.097560975609756,993
square-wire.csv,sbs,8,6.097560975609756,993
square-wire.csv,sbs,16,6.097560975609756,993
square-wire.csv,sbs,32,6.097560975609756,993
puniverse-quasar.csv,sbs,1,5.0,2426
puniverse-quasar.csv,sbs,2,5.0,2426
puniverse-quasar.csv,sbs,4,5.0,2426
puniverse-quasar.csv,sbs,8,5.0,2426
puniverse-quasar.csv,sbs,16,5.0,2426
puniverse-quasar.csv,sbs,32,5.0,2426
dropwizard-dropwizard.csv,sbs,1,0.819672131147541,258
dropwizard-dropwizard.csv,sbs,2,0.819672131147541,258
dropwizard-dropwizard.csv,sbs,4,0.819672131147541,258
dropwizard-dropwizard.csv,sbs,8,0.819672131147541,258
dropwizard-dropwizard.csv,sbs,16,0.819672131147541,258
dropwizard-dropwizard.csv,sbs,32,0.819672131147541,258
essentials-Essentials.csv,sbs,1,3.9215686274509802,351
essentials-Essentials.csv,sbs,2,3.9215686274509802,351
essentials-Essentials.csv,sbs,4,3.9215686274509802,351
essentials-Essentials.csv,sbs,8,3.9215686274509802,351
essentials-Essentials.csv,sbs,16,3.9215686274509802,351
essentials-Essentials.csv,sbs,32,3.9215686274509802,351
mybatis-mybatis-3.csv,sbs,1,1.5384615384615385,1474
mybatis-mybatis-3.csv,sbs,2,1.5384615384615385,1474
mybatis-mybatis-3.csv,sbs,4,1.5384615384615385,1474
mybatis-mybatis-3.csv,sbs,8,1.5384615384615385,1474
mybatis-mybatis-3.csv,sbs,16,1.5384615384615385,1474
mybatis-mybatis-3.csv,sbs,32,1.5384615384615385,1474
naver-pinpoint.csv,sbs,1,0.7874015748031497,208
naver-pinpoint.csv,sbs,2,0.7874015748031497,208
naver-pinpoint.csv,sbs,4,0.7874015748031497,208
naver-pinpoint.csv,sbs,8,0.7874015748031497,208
naver-pinpoint.csv,sbs,16,0.7874015748031497,208
naver-pinpoint.csv,sbs,32,0.7874015748031497,208
FasterXML-jackson-databind.csv,sbs,1,0.7692307692307693,3904
FasterXML-jackson-databind.csv,sbs,2,0.7692307692307693,3904
FasterXML-jackson-databind.csv,sbs,4,0.7692307692307693,3904
FasterXML-jackson-databind.csv,sbs,8,0.7692307692307693,3904
FasterXML-jackson-databind.csv,sbs,16,0.7692307692307693,3904
FasterXML-jackson-databind.csv,sbs,32,0.7692307692307693,3904
samtools-htsjdk.csv,sbs,1,0.0,2046
samtools-htsjdk.csv,sbs,2,0.0,2046
samtools-htsjdk.csv,sbs,4,0.0,2046
samtools-htsjdk.csv,sbs,8,0.0,2046
samtools-htsjdk.csv,sbs,16,0.0,2046
samtools-htsjdk.csv,sbs,32,0.0,2046
deeplearning4j-deeplearning4j.csv,sbs,1,100.0,0
deeplearning4j-deeplearning4j.csv,sbs,2,100.0,0
deeplearning4j-deeplearning4j.csv,sbs,4,100.0,0
deeplearning4j-deeplearning4j.csv,sbs,8,100.0,0
deeplearning4j-deeplearning4j.csv,sbs,16,100.0,0
deeplearning4j-deeplearning4j.csv,sbs,32,100.0,0
open-keychain-open-keychain.csv,sbs,1,3.767123287671233,2348
open-keychain-open-keychain.csv,sbs,2,3.767123287671233,2348
open-keychain-open-keychain.csv,sbs,4,3.767123287671233,2348
open-keychain-open-keychain.csv,sbs,8,3.767123287671233,2348
open-keychain-open-keychain.csv,sbs,16,3.767123287671233,2348
open-keychain-open-keychain.csv,sbs,32,3.767123287671233,2348
yegor256-takes.csv,sbs,1,13.57615894039735,1317
yegor256-takes.csv,sbs,2,13.57615894039735,1317
yegor256-takes.csv,sbs,4,13.57615894039735,1317
yegor256-takes.csv,sbs,8,13.57615894039735,1317
yegor256-takes.csv,sbs,16,13.57615894039735,1317
yegor256-takes.csv,sbs,32,13.57615894039735,1317
keycloak-keycloak.csv,sbs,1,0.0,5364
keycloak-keycloak.csv,sbs,2,0.0,5364
keycloak-keycloak.csv,sbs,4,0.0,5364
keycloak-keycloak.csv,sbs,8,0.0,5364
keycloak-keycloak.csv,sbs,16,0.0,5364
keycloak-keycloak.csv,sbs,32,0.0,5364
RS485-LogisticsPipes.csv,sbs,1,16.049382716049383,1934
RS485-LogisticsPipes.csv,sbs,2,16.049382716049383,1934
RS485-LogisticsPipes.csv,sbs,4,16.049382716049383,1934
RS485-LogisticsPipes.csv,sbs,8,16.049382716049383,1934
RS485-LogisticsPipes.csv,sbs,16,16.049382716049383,1934
RS485-LogisticsPipes.csv,sbs,32,16.049382716049383,1934
rackerlabs-blueflood.csv,sbs,1,1.8518518518518519,5694
rackerlabs-blueflood.csv,sbs,2,1.8518518518518519,5694
rackerlabs-blueflood.csv,sbs,4,1.8518518518518519,5694
rackerlabs-blueflood.csv,sbs,8,1.8518518518518519,5694
rackerlabs-blueflood.csv,sbs,16,1.8518518518518519,5694
rackerlabs-blueflood.csv,sbs,32,1.8518518518518519,5694
xetorthio-jedis.csv,sbs,1,3.3033033033033035,3497
xetorthio-jedis.csv,sbs,2,3.3033033033033035,3497
xetorthio-jedis.csv,sbs,4,3.3033033033033035,3497
xetorthio-jedis.csv,sbs,8,3.3033033033033035,3497
xetorthio-jedis.csv,sbs,16,3.3033033033033035,3497
xetorthio-jedis.csv,sbs,32,3.3033033033033035,3497
orbeon-orbeon-forms.csv,sbs,1,84.92753623188406,21
orbeon-orbeon-forms.csv,sbs,2,84.92753623188406,21
orbeon-orbeon-forms.csv,sbs,4,84.92753623188406,21
orbeon-orbeon-forms.csv,sbs,8,84.92753623188406,21
orbeon-orbeon-forms.csv,sbs,16,84.92753623188406,21
orbeon-orbeon-forms.csv,sbs,32,84.92753623188406,21
linkedin-gobblin.csv,sbs,1,33.333333333333336,4557
linkedin-gobblin.csv,sbs,2,33.333333333333336,4557
linkedin-gobblin.csv,sbs,4,33.333333333333336,4557
linkedin-gobblin.csv,sbs,8,33.333333333333336,4557
linkedin-gobblin.csv,sbs,16,33.333333333333336,4557
linkedin-gobblin.csv,sbs,32,33.333333333333336,4557
JabRef-jabref.csv,sbs,1,2.387267904509284,6577
JabRef-jabref.csv,sbs,2,2.387267904509284,6577
JabRef-jabref.csv,sbs,4,2.387267904509284,6577
JabRef-jabref.csv,sbs,8,2.387267904509284,6577
JabRef-jabref.csv,sbs,16,2.387267904509284,6577
JabRef-jabref.csv,sbs,32,2.387267904509284,6577
datastax-java-driver.csv,sbs,1,27.77777777777778,966
datastax-java-driver.csv,sbs,2,27.77777777777778,966
datastax-java-driver.csv,sbs,4,27.77777777777778,966
datastax-java-driver.csv,sbs,8,27.77777777777778,966
datastax-java-driver.csv,sbs,16,27.77777777777778,966
datastax-java-driver.csv,sbs,32,27.77777777777778,966
jOOQ-jOOQ.csv,sbs,1,9.043927648578812,1518
jOOQ-jOOQ.csv,sbs,2,9.043927648578812,1518
jOOQ-jOOQ.csv,sbs,4,9.043927648578812,1518
jOOQ-jOOQ.csv,sbs,8,9.043927648578812,1518
jOOQ-jOOQ.csv,sbs,16,9.043927648578812,1518
jOOQ-jOOQ.csv,sbs,32,9.043927648578812,1518
structr-structr.csv,sbs,1,52.94117647058823,1489
structr-structr.csv,sbs,2,52.94117647058823,1489
structr-structr.csv,sbs,4,52.94117647058823,1489
structr-structr.csv,sbs,8,52.94117647058823,1489
structr-structr.csv,sbs,16,52.94117647058823,1489
structr-structr.csv,sbs,32,52.94117647058823,1489
floragunncom-search-guard.csv,sbs,1,5.198019801980198,6016
floragunncom-search-guard.csv,sbs,2,5.198019801980198,6016
floragunncom-search-guard.csv,sbs,4,5.198019801980198,6016
floragunncom-search-guard.csv,sbs,8,5.198019801980198,6016
floragunncom-search-guard.csv,sbs,16,5.198019801980198,6016
floragunncom-search-guard.csv,sbs,32,5.198019801980198,6016
SpongePowered-SpongeForge.csv,sbs,1,0.0,5182
SpongePowered-SpongeForge.csv,sbs,2,0.0,5182
SpongePowered-SpongeForge.csv,sbs,4,0.0,5182
SpongePowered-SpongeForge.csv,sbs,8,0.0,5182
SpongePowered-SpongeForge.csv,sbs,16,0.0,5182
SpongePowered-SpongeForge.csv,sbs,32,0.0,5182
sakaiproject-sakai.csv,sbs,1,1.1764705882352942,6815
sakaiproject-sakai.csv,sbs,2,1.1764705882352942,6815
sakaiproject-sakai.csv,sbs,4,1.1764705882352942,6815
sakaiproject-sakai.csv,sbs,8,1.1764705882352942,6815
sakaiproject-sakai.csv,sbs,16,1.1764705882352942,6815
sakaiproject-sakai.csv,sbs,32,1.1764705882352942,6815
dreamhead-moco.csv,sbs,1,0.0,106030
dreamhead-moco.csv,sbs,2,0.0,106030
dreamhead-moco.csv,sbs,4,0.0,106030
dreamhead-moco.csv,sbs,8,0.0,106030
dreamhead-moco.csv,sbs,16,0.0,106030
dreamhead-moco.csv,sbs,32,0.0,106030
nutzam-nutz.csv,sbs,1,9.745762711864407,2728
nutzam-nutz.csv,sbs,2,9.745762711864407,2728
nutzam-nutz.csv,sbs,4,9.745762711864407,2728
nutzam-nutz.csv,sbs,8,9.745762711864407,2728
nutzam-nutz.csv,sbs,16,9.745762711864407,2728
nutzam-nutz.csv,sbs,32,9.745762711864407,2728
CloudSlang-cloud-slang.csv,sbs,1,14.227642276422765,2105
CloudSlang-cloud-slang.csv,sbs,2,14.227642276422765,2105
CloudSlang-cloud-slang.csv,sbs,4,14.227642276422765,2105
CloudSlang-cloud-slang.csv,sbs,8,14.227642276422765,2105
CloudSlang-cloud-slang.csv,sbs,16,14.227642276422765,2105
CloudSlang-cloud-slang.csv,sbs,32,14.227642276422765,2105
geotools-geotools.csv,sbs,1,90.65255731922399,6
geotools-geotools.csv,sbs,2,90.65255731922399,6
geotools-geotools.csv,sbs,4,90.65255731922399,6
geotools-geotools.csv,sbs,8,90.65255731922399,6
geotools-geotools.csv,sbs,16,90.65255731922399,6
geotools-geotools.csv,sbs,32,90.65255731922399,6
CloudifySource-cloudify.csv,sbs,1,0.3466204506065858,7917
CloudifySource-cloudify.csv,sbs,2,0.3466204506065858,7917
CloudifySource-cloudify.csv,sbs,4,0.3466204506065858,7917
CloudifySource-cloudify.csv,sbs,8,0.3466204506065858,7917
CloudifySource-cloudify.csv,sbs,16,0.3466204506065858,7917
CloudifySource-cloudify.csv,sbs,32,0.3466204506065858,7917
SpongePowered-SpongeCommon.csv,sbs,1,4.137931034482759,1464
SpongePowered-SpongeCommon.csv,sbs,2,4.137931034482759,1464
SpongePowered-SpongeCommon.csv,sbs,4,4.137931034482759,1464
SpongePowered-SpongeCommon.csv,sbs,8,4.137931034482759,1464
SpongePowered-SpongeCommon.csv,sbs,16,4.137931034482759,1464
SpongePowered-SpongeCommon.csv,sbs,32,4.137931034482759,1464
apache-zeppelin.csv,sbs,1,94.44444444444444,90
apache-zeppelin.csv,sbs,2,94.44444444444444,90
apache-zeppelin.csv,sbs,4,94.44444444444444,90
apache-zeppelin.csv,sbs,8,94.44444444444444,90
apache-zeppelin.csv,sbs,16,94.44444444444444,90
apache-zeppelin.csv,sbs,32,94.44444444444444,90
typetools-checker-framework.csv,sbs,1,36.9496855345912,1116
typetools-checker-framework.csv,sbs,2,36.9496855345912,1116
typetools-checker-framework.csv,sbs,4,36.9496855345912,1116
typetools-checker-framework.csv,sbs,8,36.9496855345912,1116
typetools-checker-framework.csv,sbs,16,36.9496855345912,1116
typetools-checker-framework.csv,sbs,32,36.9496855345912,1116
geoserver-geoserver.csv,sbs,1,91.86390532544378,28
geoserver-geoserver.csv,sbs,2,91.86390532544378,28
geoserver-geoserver.csv,sbs,4,91.86390532544378,28
geoserver-geoserver.csv,sbs,8,91.86390532544378,28
geoserver-geoserver.csv,sbs,16,91.86390532544378,28
geoserver-geoserver.csv,sbs,32,91.86390532544378,28
ngageoint-geowave.csv,sbs,1,6.609195402298851,7292
ngageoint-geowave.csv,sbs,2,6.609195402298851,7292
ngageoint-geowave.csv,sbs,4,6.609195402298851,7292
ngageoint-geowave.csv,sbs,8,6.609195402298851,7292
ngageoint-geowave.csv,sbs,16,6.609195402298851,7292
ngageoint-geowave.csv,sbs,32,6.609195402298851,7292
sparklemotion-nokogiri.csv,sbs,1,38.820301783264746,6238
sparklemotion-nokogiri.csv,sbs,2,38.820301783264746,6238
sparklemotion-nokogiri.csv,sbs,4,38.820301783264746,6238
sparklemotion-nokogiri.csv,sbs,8,38.820301783264746,6238
sparklemotion-nokogiri.csv,sbs,16,38.820301783264746,6238
sparklemotion-nokogiri.csv,sbs,32,38.820301783264746,6238
