index,duration,total_builds
16,0,0
32,0,0
48,0,0
64,0,0
80,0,0
96,0,0
112,0,0
128,0,0
144,0,0
160,0,0
176,0,0
192,0,0
208,0,7
224,0,0
240,0,0
256,0,0
272,0,0
288,0,0
304,0,0
320,0,0
336,0,0
352,0,0
368,0,0
384,0,0
400,0,0
416,0,0
432,0,0
448,0,0
464,0,0
480,0,0
496,0,0
512,0,0
528,0,0
544,0,0
560,0,0
576,0,0
592,0,3
608,0,15
624,0,8
640,0,15
656,0,4
672,0,0
688,0,0
704,0,0
720,0,0
736,0,0
752,0,0
768,0,11
784,0,3
800,0,0
816,0,0
832,0,0
848,0,0
864,0,6
880,0,0
896,0,0
912,0,0
928,0,0
944,0,0
960,0,0
976,0,0
992,0,0
1008,0,0
1024,0,0
1040,0,3
1056,0,15
1072,0,15
1088,0,13
1104,0,0
1120,0,0
1136,0,0
1152,0,0
1168,0,0
1184,0,0
1200,0,0
1216,0,0
1232,0,0
1248,0,0
1264,0,0
1280,0,0
1296,0,0
1312,0,0
1328,0,0
1344,0,0
1360,0,0
1376,0,0
1392,0,0
1408,0,0
1424,0,0
1440,0,0
1456,0,0
1472,0,0
1488,0,0
1504,0,0
1520,0,0
1536,0,0
1552,0,0
1568,0,0
1584,0,0
1600,0,0
1616,0,0
1632,0,0
