index,duration,total_builds
16,0,9
32,0,5
48,0,3
64,0,5
80,0,6
96,0,4
112,0,1
128,0,2
144,0,5
160,0,6
176,0,5
192,0,9
208,0,3
224,0,6
240,0,8
256,0,5
272,0,7
288,0,5
304,0,5
320,0,5
336,0,6
352,0,5
368,0,6
384,0,5
400,0,3
416,0,4
432,0,13
448,0,8
464,0,4
480,0,3
496,0,1
512,0,11
528,0,3
544,0,12
560,0,10
576,0,14
592,0,7
608,0,3
624,0,3
640,0,2
656,0,3
672,0,5
688,0,8
704,0,6
720,0,5
736,0,3
752,0,4
768,0,4
784,0,5
800,0,5
816,0,7
832,0,6
848,0,2
864,0,3
880,0,7
896,0,8
912,0,11
928,0,5
