index,duration,total_builds
16,0,15
32,0,15
48,0,15
64,0,15
80,0,15
96,0,15
112,0,15
128,0,15
144,0,15
160,0,15
176,0,15
192,0,15
208,0,15
224,0,15
240,0,15
256,0,15
272,0,15
288,0,15
304,0,15
320,0,15
336,0,15
352,0,15
368,0,15
384,0,15
400,0,15
416,0,15
432,0,15
448,0,15
464,0,15
480,0,15
496,0,15
512,0,15
528,0,15
544,0,13
560,0,0
576,0,5
592,0,15
608,0,15
624,0,7
640,0,9
656,0,15
672,0,15
688,0,15
704,0,15
720,0,15
736,0,15
752,0,15
768,0,15
784,0,15
800,0,15
816,0,15
832,0,15
848,0,15
864,0,15
880,0,15
896,0,15
912,0,15
928,0,15
944,0,15
960,0,15
976,0,15
992,0,15
1008,0,15
1024,0,15
1040,0,15
1056,0,15
1072,0,15
1088,0,9
1104,0,0
1120,0,0
1136,0,10
1152,0,15
1168,0,15
1184,0,15
1200,0,15
1216,0,15
1232,0,15
1248,0,15
1264,0,15
1280,0,15
1296,0,15
1312,0,15
1328,0,15
1344,0,15
1360,0,15
1376,0,15
1392,0,15
1408,0,15
1424,0,15
1440,0,15
1456,0,15
1472,0,15
1488,0,15
1504,0,15
1520,0,15
1536,0,15
1552,0,15
1568,0,15
1584,0,15
1600,0,15
1616,0,15
1632,0,15
1648,0,15
1664,0,15
1680,0,15
1696,0,15
1712,0,15
1728,0,15
1744,0,15
1760,0,15
1776,0,15
1792,0,15
1808,0,15
