index,duration,total_builds
2,0,1
4,0,1
6,0,1
8,0,1
10,0,1
12,0,1
14,0,1
16,0,1
18,0,1
20,0,1
22,0,0
24,0,1
26,0,1
28,0,0
30,0,1
32,0,0
34,0,1
36,0,1
38,0,0
40,0,1
42,0,1
44,0,1
46,0,1
48,0,1
50,0,0
52,0,0
54,0,1
56,0,1
58,0,0
60,0,1
62,0,1
64,0,1
66,0,1
68,0,0
70,0,0
72,0,0
74,0,0
76,0,0
78,0,1
80,0,0
82,0,1
84,0,0
86,0,1
88,0,1
90,0,0
92,0,1
94,0,1
96,0,1
98,0,1
100,0,0
102,0,1
104,0,0
106,0,0
108,0,0
110,0,1
112,0,1
114,0,1
116,0,1
118,0,1
120,0,0
122,0,0
124,0,0
126,0,1
128,0,1
130,0,1
132,0,0
134,0,1
136,0,0
138,0,0
140,0,0
142,0,1
144,0,0
146,0,0
148,0,0
150,0,1
152,0,1
154,0,0
156,0,0
158,0,1
160,0,1
162,0,1
164,0,0
166,0,0
168,0,0
170,0,1
172,0,1
174,0,0
176,0,1
178,0,1
180,0,0
182,0,0
184,0,0
186,0,0
188,0,1
190,0,1
192,0,1
194,0,1
196,0,1
198,0,1
200,0,1
202,0,0
204,0,1
206,0,0
208,0,1
210,0,1
