index,duration,total_builds
2,0,0
4,0,0
6,0,1
8,0,1
10,0,1
12,0,1
14,0,1
16,0,1
18,0,0
20,0,0
22,0,0
24,0,0
26,0,0
28,0,0
30,0,0
32,0,0
34,0,0
36,0,0
38,0,0
40,0,0
42,0,0
44,0,0
46,0,0
48,0,1
50,0,1
52,0,1
54,0,1
56,0,1
58,0,1
60,0,1
62,0,0
64,0,0
66,0,1
68,0,1
70,0,1
72,0,0
74,0,0
76,0,0
78,0,0
80,0,0
82,0,0
84,0,0
86,0,0
88,0,0
90,0,0
92,0,1
94,0,1
96,0,0
98,0,0
100,0,0
102,0,0
104,0,0
106,0,0
108,0,0
110,0,0
112,0,0
114,0,0
116,0,0
118,0,0
120,0,0
122,0,0
124,0,0
126,0,0
128,0,1
130,0,1
132,0,0
134,0,0
136,0,0
138,0,1
140,0,1
142,0,0
144,0,0
146,0,0
148,0,0
150,0,0
152,0,0
154,0,0
156,0,0
158,0,0
160,0,0
162,0,0
164,0,0
166,0,0
168,0,0
170,0,0
172,0,0
174,0,0
176,0,1
178,0,1
180,0,1
182,0,1
184,0,0
186,0,0
188,0,0
190,0,0
192,0,0
194,0,0
196,0,0
198,0,0
200,0,0
202,0,0
204,0,0
206,0,0
208,0,0
210,0,0
212,0,0
214,0,0
216,0,0
218,0,0
220,0,0
222,0,0
224,0,0
226,0,0
228,0,0
230,0,0
232,0,0
234,0,1
236,0,1
238,0,1
240,0,1
242,0,1
244,0,1
246,0,0
248,0,0
250,0,0
252,0,1
254,0,1
256,0,1
258,0,1
260,0,1
262,0,1
264,0,0
266,0,0
268,0,0
270,0,0
272,0,0
274,0,0
276,0,0
278,0,0
280,0,0
282,0,0
284,0,0
286,0,0
288,0,0
290,0,0
292,0,0
294,0,0
296,0,0
298,0,0
300,0,1
302,0,1
304,0,1
306,0,0
308,0,0
310,0,0
312,0,0
314,0,1
316,0,1
318,0,0
320,0,0
322,0,0
324,0,1
326,0,1
328,0,1
330,0,0
332,0,1
334,0,1
336,0,1
338,0,0
340,0,0
342,0,0
344,0,0
346,0,0
348,0,0
350,0,0
352,0,0
354,0,0
356,0,0
358,0,0
360,0,1
362,0,1
364,0,1
366,0,0
368,0,0
370,0,0
372,0,0
374,0,0
376,0,0
378,0,0
