index,duration,total_builds
2,0,1
4,0,1
6,0,1
8,0,1
10,0,1
12,0,1
14,0,1
16,0,1
18,0,1
20,0,0
22,0,1
24,0,1
26,0,0
28,0,1
30,0,1
32,0,1
34,0,1
36,0,1
38,0,1
40,0,0
42,0,1
44,0,1
46,0,0
48,0,1
50,0,1
52,0,1
54,0,1
56,0,1
58,0,1
60,0,1
62,0,1
64,0,1
66,0,0
68,0,1
70,0,0
72,0,1
74,0,1
76,0,0
78,0,1
80,0,1
82,0,0
84,0,0
86,0,1
88,0,1
90,0,1
92,0,1
94,0,1
96,0,1
98,0,0
100,0,1
102,0,1
104,0,1
106,0,1
108,0,1
110,0,0
112,0,1
114,0,1
116,0,0
118,0,1
120,0,1
122,0,1
124,0,1
126,0,0
128,0,0
130,0,1
132,0,1
134,0,1
136,0,1
138,0,0
140,0,1
142,0,1
144,0,0
146,0,0
148,0,1
150,0,1
152,0,1
154,0,1
156,0,1
158,0,1
160,0,1
162,0,1
164,0,1
166,0,1
168,0,0
170,0,1
172,0,1
174,0,1
176,0,1
178,0,1
180,0,1
182,0,1
184,0,0
186,0,0
188,0,1
190,0,1
192,0,1
194,0,1
196,0,1
198,0,0
200,0,0
202,0,1
204,0,1
206,0,1
208,0,1
210,0,1
212,0,1
214,0,1
216,0,1
218,0,1
220,0,1
222,0,1
224,0,1
226,0,1
228,0,1
230,0,1
232,0,1
234,0,1
236,0,1
238,0,1
240,0,1
242,0,1
244,0,1
246,0,1
248,0,1
250,0,1
252,0,1
254,0,1
256,0,1
258,0,1
260,0,1
262,0,1
264,0,1
266,0,1
268,0,1
270,0,1
272,0,1
274,0,1
276,0,0
278,0,1
280,0,0
282,0,1
284,0,1
286,0,1
288,0,1
290,0,1
292,0,1
294,0,1
296,0,1
298,0,1
300,0,1
302,0,1
304,0,1
306,0,1
308,0,1
310,0,1
312,0,1
314,0,0
316,0,1
318,0,1
320,0,1
322,0,1
324,0,1
326,0,1
328,0,1
330,0,1
332,0,1
334,0,1
336,0,1
338,0,1
340,0,1
342,0,1
344,0,1
