index,duration,total_builds
2,0,0
4,0,0
6,0,1
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,0,0
26,0,1
28,0,1
30,0,1
32,0,0
34,0,0
36,0,0
38,0,0
40,0,0
42,0,0
44,0,0
46,0,0
48,0,1
50,0,0
52,0,1
54,0,0
56,0,0
58,0,0
60,0,0
62,0,1
64,0,0
66,0,1
68,0,0
70,0,0
72,0,0
74,0,0
76,0,0
78,0,0
80,0,0
82,0,0
84,0,0
86,0,0
88,0,1
90,0,0
92,0,0
94,0,0
96,0,0
98,0,0
100,0,0
102,0,0
104,0,0
106,0,0
108,0,0
110,0,0
112,0,0
114,0,0
116,0,0
118,0,0
120,0,0
122,0,0
124,0,0
126,0,0
128,0,1
130,0,0
132,0,0
134,0,0
136,0,0
138,0,0
140,0,0
142,0,0
144,0,1
146,0,1
148,0,0
150,0,0
152,0,0
154,0,0
156,0,1
158,0,1
160,0,1
162,0,1
164,0,1
166,0,1
168,0,1
170,0,1
172,0,1
174,0,1
176,0,1
178,0,1
180,0,1
182,0,1
184,0,1
186,0,1
188,0,1
190,0,1
192,0,1
194,0,1
196,0,1
198,0,1
200,0,1
