index,duration,total_builds
2,0,1
4,0,1
6,0,1
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,1
22,0,1
24,0,1
26,0,1
28,0,1
30,0,1
32,0,1
34,0,1
36,0,1
38,0,1
40,0,1
42,0,1
44,0,1
46,0,1
48,0,1
50,0,1
52,0,1
54,0,1
56,0,1
58,0,1
60,0,1
62,0,1
64,0,1
66,0,1
68,0,1
70,0,0
72,0,0
74,0,0
76,0,0
78,0,0
80,0,1
82,0,1
84,0,1
86,0,1
88,0,1
90,0,1
92,0,0
94,0,0
96,0,0
98,0,0
100,0,0
102,0,0
104,0,0
106,0,0
108,0,0
110,0,0
112,0,0
114,0,0
116,0,0
118,0,0
120,0,0
122,0,0
124,0,0
126,0,0
128,0,0
130,0,0
132,0,0
134,0,0
136,0,0
138,0,0
140,0,0
142,0,0
144,0,0
146,0,0
148,0,0
150,0,0
152,0,0
154,0,0
156,0,0
158,0,0
160,0,0
162,0,0
164,0,1
166,0,1
168,0,1
170,0,1
172,0,1
174,0,1
176,0,1
178,0,1
180,0,1
182,0,1
184,0,1
186,0,1
188,0,1
190,0,1
192,0,1
194,0,1
196,0,1
198,0,1
200,0,1
202,0,1
204,0,1
206,0,1
208,0,1
210,0,1
212,0,1
214,0,1
216,0,1
218,0,1
220,0,1
222,0,1
224,0,1
226,0,1
228,0,1
230,0,1
232,0,1
234,0,1
236,0,1
238,0,1
240,0,1
242,0,1
244,0,1
246,0,1
248,0,1
250,0,1
252,0,1
254,0,1
256,0,1
258,0,1
260,0,1
262,0,1
264,0,1
266,0,1
268,0,1
270,0,1
272,0,1
274,0,0
276,0,0
278,0,0
280,0,0
282,0,0
284,0,0
286,0,0
288,0,0
290,0,1
292,0,1
294,0,1
296,0,1
298,0,1
300,0,1
302,0,0
304,0,0
306,0,0
308,0,0
310,0,0
312,0,0
314,0,0
316,0,0
318,0,0
320,0,0
322,0,0
324,0,0
326,0,0
328,0,0
330,0,0
332,0,0
334,0,0
336,0,0
338,0,1
340,0,1
342,0,1
344,0,1
346,0,1
348,0,1
350,0,1
352,0,0
354,0,0
356,0,0
358,0,0
360,0,0
362,0,0
364,0,0
366,0,0
368,0,1
370,0,1
372,0,1
374,0,0
376,0,0
378,0,0
380,0,0
382,0,0
384,0,0
386,0,0
388,0,0
390,0,0
