index,duration,total_builds
32,0,0
64,0,0
96,0,0
128,0,0
160,0,0
192,0,0
224,0,0
256,0,0
288,0,0
320,0,0
352,0,0
384,0,0
416,0,0
448,0,0
480,0,0
512,0,0
544,0,0
576,0,0
608,0,0
640,0,0
672,0,0
704,0,0
736,0,0
768,0,0
800,0,29
832,0,5
864,0,0
896,0,0
928,0,0
960,0,0
992,0,0
1024,0,0
1056,0,0
1088,0,0
1120,0,0
1152,0,0
1184,0,0
1216,0,0
1248,0,0
1280,0,0
1312,0,0
1344,0,0
1376,0,0
1408,0,0
1440,0,0
1472,0,0
1504,0,0
1536,0,0
1568,0,0
1600,0,0
1632,0,0
1664,0,0
1696,0,0
1728,0,0
1760,0,0
1792,0,0
1824,0,0
1856,0,0
1888,0,0
1920,0,0
1952,0,0
1984,0,0
2016,0,0
2048,0,0
2080,0,0
2112,0,0
2144,0,0
2176,0,0
2208,0,0
2240,0,0
2272,0,0
2304,0,0
2336,0,0
2368,0,0
2400,0,0
2432,0,0
2464,0,0
2496,0,0
2528,0,0
2560,0,0
2592,0,0
2624,0,0
2656,0,0
2688,0,0
2720,0,0
2752,0,0
2784,0,0
2816,0,0
2848,0,0
2880,0,0
2912,0,0
2944,0,0
2976,0,0
3008,0,0
3040,0,0
3072,0,0
3104,0,0
3136,0,0
3168,0,0
3200,0,0
3232,0,0
3264,0,0
3296,0,0
3328,0,0
3360,0,0
3392,0,0
3424,0,0
3456,0,0
3488,0,0
3520,0,0
3552,0,0
3584,0,0
3616,0,0
3648,0,0
3680,0,0
3712,0,0
3744,0,0
3776,0,0
3808,0,0
3840,0,0
3872,0,0
3904,0,0
3936,0,0
3968,0,0
4000,0,0
4032,0,0
4064,0,0
4096,0,0
4128,0,0
4160,0,0
4192,0,0
4224,0,0
4256,0,0
4288,0,0
4320,0,0
4352,0,0
4384,0,0
4416,0,0
4448,0,0
4480,0,0
4512,0,0
4544,0,0
4576,0,0
4608,0,0
4640,0,0
4672,0,0
4704,0,0
