index,duration,total_builds
4,0,0
8,0,1
12,0,3
16,0,3
20,0,3
24,0,3
28,0,0
32,0,0
36,0,0
40,0,0
44,0,0
48,0,2
52,0,0
56,0,0
60,0,0
64,0,0
68,0,0
72,0,0
76,0,0
80,0,0
84,0,0
88,0,0
92,0,0
96,0,0
100,0,0
104,0,0
108,0,0
112,0,0
116,0,1
120,0,1
124,0,0
128,0,0
132,0,0
136,0,3
140,0,0
144,0,2
148,0,0
152,0,0
156,0,3
160,0,3
164,0,1
168,0,0
172,0,0
176,0,0
180,0,0
184,0,0
188,0,1
192,0,2
196,0,0
200,0,0
204,0,0
208,0,0
212,0,0
216,0,0
220,0,0
224,0,0
228,0,0
232,0,0
236,0,2
240,0,0
244,0,0
248,0,0
252,0,0
256,0,0
260,0,0
264,0,0
268,0,0
272,0,0
276,0,0
280,0,0
284,0,0
288,0,0
292,0,2
296,0,1
300,0,0
304,0,0
308,0,0
312,0,0
316,0,0
320,0,1
324,0,0
