index,duration,total_builds
4,0,1
8,0,0
12,0,0
16,0,0
20,0,0
24,0,0
28,0,3
32,0,1
36,0,0
40,0,1
44,0,0
48,0,0
52,0,0
56,0,0
60,0,0
64,0,2
68,0,2
72,0,0
76,0,0
80,0,0
84,0,0
88,0,0
92,0,1
96,0,0
100,0,0
104,0,0
108,0,0
112,0,0
116,0,0
120,0,3
124,0,0
128,0,0
132,0,1
136,0,0
140,0,0
144,0,0
148,0,0
152,0,0
156,0,0
160,0,0
164,0,0
168,0,0
172,0,1
176,0,1
180,0,2
184,0,0
188,0,0
192,0,3
196,0,3
200,0,3
204,0,3
208,0,0
212,0,0
216,0,0
220,0,0
224,0,2
