index,duration,total_builds
4,0,3
8,0,3
12,0,3
16,0,3
20,0,3
24,0,3
28,0,3
32,0,3
36,0,3
40,0,3
44,0,3
48,0,3
52,0,3
56,0,3
60,0,3
64,0,3
68,0,3
72,0,3
76,0,3
80,0,3
84,0,3
88,0,3
92,0,3
96,0,3
100,0,3
104,0,3
108,0,3
112,0,3
116,0,3
120,0,3
124,0,3
128,0,3
132,0,3
136,0,3
140,0,3
144,0,3
148,0,3
152,0,3
156,0,3
160,0,3
164,0,3
168,0,3
172,0,3
176,0,3
180,0,3
184,0,3
188,0,3
192,0,3
196,0,3
200,0,3
204,0,3
208,0,3
212,0,3
216,0,3
220,0,3
224,0,3
228,0,3
232,0,3
236,0,3
240,0,3
244,0,3
248,0,3
252,0,3
256,0,3
260,0,3
264,0,3
268,0,3
272,0,3
276,0,3
280,0,3
284,0,3
