index,duration,total_builds
4,0,0
8,0,0
12,0,1
16,0,3
20,0,3
24,0,3
28,0,2
32,0,0
36,0,0
40,0,0
44,0,0
48,0,0
52,0,0
56,0,0
60,0,0
64,0,0
68,0,0
72,0,0
76,0,0
80,0,0
84,0,0
88,0,0
92,0,0
96,0,0
100,0,0
104,0,0
108,0,0
112,0,0
116,0,0
120,0,0
124,0,0
128,0,0
132,0,0
136,0,0
140,0,1
144,0,0
148,0,0
152,0,2
156,0,0
160,0,2
164,0,1
168,0,0
172,0,0
176,0,0
180,0,1
184,0,0
188,0,0
192,0,0
196,0,0
200,0,0
204,0,0
208,0,0
212,0,0
216,0,1
220,0,1
224,0,1
228,0,0
232,0,0
236,0,0
240,0,0
244,0,0
248,0,0
252,0,1
256,0,0
260,0,0
264,0,0
268,0,0
272,0,0
276,0,0
280,0,0
284,0,0
288,0,0
292,0,0
296,0,0
300,0,0
304,0,0
308,0,0
312,0,0
316,0,0
320,0,0
324,0,1
328,0,0
332,0,0
336,0,0
340,0,0
344,0,0
348,0,0
352,0,1
356,0,0
360,0,0
364,0,0
368,0,0
372,0,1
376,0,0
380,0,0
384,0,0
