index,duration,total_builds
4,0,0
8,0,0
12,0,3
16,0,2
20,0,0
24,0,0
28,0,0
32,0,0
36,0,0
40,0,0
44,0,1
48,0,3
52,0,3
56,0,3
60,0,0
64,0,0
68,0,0
72,0,0
76,0,0
80,0,0
84,0,0
88,0,0
92,0,0
96,0,0
100,0,0
104,0,0
108,0,0
112,0,0
116,0,3
120,0,3
124,0,0
128,0,0
132,0,0
136,0,0
140,0,0
144,0,0
148,0,0
152,0,0
156,0,0
160,0,0
164,0,2
168,0,3
172,0,0
176,0,0
180,0,0
184,0,0
188,0,0
192,0,0
196,0,0
200,0,3
204,0,3
208,0,3
212,0,3
216,0,3
220,0,3
224,0,3
228,0,3
232,0,3
236,0,3
240,0,3
244,0,3
248,0,3
252,0,3
256,0,3
260,0,3
264,0,3
268,0,3
272,0,3
276,0,3
280,0,3
284,0,3
288,0,3
292,0,0
296,0,0
300,0,0
304,0,0
308,0,0
312,0,0
316,0,0
320,0,0
324,0,0
328,0,0
332,0,0
336,0,0
340,0,0
344,0,0
348,0,0
352,0,0
356,0,0
360,0,0
364,0,0
368,0,0
372,0,0
376,0,0
