index,duration,total_builds
8,0,2
16,0,0
24,0,0
32,0,2
40,0,0
48,0,0
56,0,0
64,0,5
72,0,0
80,0,0
88,0,0
96,0,0
104,0,1
112,0,2
120,0,0
128,0,0
136,0,3
144,0,2
152,0,3
160,0,5
168,0,3
176,0,0
184,0,0
192,0,3
200,0,1
208,0,0
216,0,0
224,0,0
232,0,5
240,0,4
248,0,0
256,0,0
264,0,5
272,0,0
280,0,0
288,0,0
296,0,0
304,0,0
312,0,0
320,0,0
328,0,2
336,0,0
344,0,0
352,0,0
360,0,0
368,0,0
376,0,0
384,0,0
392,0,0
400,0,0
408,0,0
416,0,0
424,0,4
432,0,0
440,0,0
448,0,0
456,0,0
464,0,1
472,0,1
480,0,3
488,0,0
