index,duration,total_builds
8,0,0
16,0,0
24,0,0
32,0,0
40,0,0
48,0,0
56,0,1
64,0,7
72,0,7
80,0,7
88,0,7
96,0,7
104,0,7
112,0,7
120,0,7
128,0,7
136,0,7
144,0,7
152,0,7
160,0,7
168,0,7
176,0,7
184,0,5
192,0,0
200,0,0
208,0,0
216,0,0
224,0,7
232,0,7
240,0,2
248,0,0
256,0,3
264,0,7
272,0,6
280,0,0
288,0,0
296,0,7
304,0,7
312,0,2
320,0,0
328,0,3
336,0,7
344,0,6
352,0,0
360,0,0
368,0,0
376,0,0
384,0,0
392,0,0
400,0,3
408,0,7
416,0,6
424,0,0
432,0,0
440,0,7
448,0,7
456,0,2
464,0,0
472,0,3
480,0,7
488,0,7
496,0,7
504,0,7
512,0,0
520,0,0
528,0,0
536,0,0
544,0,0
552,0,0
560,0,0
568,0,0
576,0,0
584,0,0
592,0,0
600,0,0
608,0,0
616,0,3
624,0,7
632,0,0
640,0,0
648,0,0
656,0,0
664,0,0
672,0,0
680,0,0
688,0,0
696,0,0
704,0,0
712,0,0
720,0,0
728,0,0
