index,duration,total_builds
8,0,3
16,0,3
24,0,7
32,0,3
40,0,0
48,0,0
56,0,1
64,0,1
72,0,7
80,0,5
88,0,3
96,0,0
104,0,1
112,0,7
120,0,4
128,0,0
136,0,0
144,0,0
152,0,2
160,0,3
168,0,0
176,0,4
184,0,7
192,0,4
200,0,0
208,0,4
216,0,2
224,0,3
232,0,0
240,0,0
248,0,0
256,0,0
264,0,7
272,0,7
280,0,4
288,0,2
296,0,2
304,0,7
312,0,7
320,0,7
328,0,0
336,0,0
344,0,7
352,0,1
360,0,0
368,0,0
376,0,0
384,0,2
392,0,2
400,0,0
408,0,0
416,0,0
424,0,0
432,0,5
440,0,3
448,0,1
456,0,0
464,0,5
472,0,0
480,0,0
488,0,0
496,0,0
504,0,7
512,0,2
520,0,4
528,0,0
536,0,0
544,0,0
552,0,0
560,0,5
568,0,0
576,0,0
584,0,2
592,0,7
600,0,7
608,0,7
616,0,7
624,0,7
632,0,3
