factor,update_method,algorithm,builds_saved
2,linear,BATCHBISECT,66.62735849
3,linear,BATCHBISECT,66.68632075
4,linear,BATCHBISECT,65.97877358
2,linear,BATCHSTOP4,71.75707547
3,linear,BATCHSTOP4,71.63915094
4,linear,BATCHSTOP4,70.87264151
2,linear,BATCHDIVIDE4,60.31839623
3,linear,BATCHDIVIDE4,60.31839623
4,linear,BATCHDIVIDE4,59.375
2,exponential,BATCHBISECT,66.21462264
3,exponential,BATCHBISECT,65.15330189
2,exponential,BATCHSTOP4,69.98820755
3,exponential,BATCHSTOP4,71.28537736
2,exponential,BATCHDIVIDE4,66.56839623
3,exponential,BATCHDIVIDE4,68.57311321
2,stagger,BATCHBISECT,66.27358491
3,stagger,BATCHBISECT,66.15566038
2,stagger,BATCHSTOP4,70.45990566
3,stagger,BATCHSTOP4,71.34433962
2,stagger,BATCHDIVIDE4,57.7240566
3,stagger,BATCHDIVIDE4,59.25707547
-1,random_linear,BATCHBISECT,66.15566038
-1,random_linear,BATCHSTOP4,70.63679245
-1,random_linear,BATCHDIVIDE4,58.96226415
-1,random_exponential,BATCHBISECT,65.68396226
-1,random_exponential,BATCHSTOP4,70.28301887
-1,random_exponential,BATCHDIVIDE4,66.50943396
2,linear,BATCHBISECT,0.852878465
3,linear,BATCHBISECT,1.172707889
4,linear,BATCHBISECT,-1.599147122
2,linear,BATCHSTOP4,20.04264392
3,linear,BATCHSTOP4,20.30916844
4,linear,BATCHSTOP4,16.52452026
2,linear,BATCHDIVIDE4,5.383795309
3,linear,BATCHDIVIDE4,8.848614072
4,linear,BATCHDIVIDE4,6.396588486
2,exponential,BATCHBISECT,0.746268657
3,exponential,BATCHBISECT,-4.371002132
2,exponential,BATCHSTOP4,20.14925373
3,exponential,BATCHSTOP4,15.8315565
2,exponential,BATCHDIVIDE4,8.102345416
3,exponential,BATCHDIVIDE4,7.356076759
2,stagger,BATCHBISECT,4.797441365
3,stagger,BATCHBISECT,-0.26652452
2,stagger,BATCHSTOP4,20.30916844
3,stagger,BATCHSTOP4,17.91044776
2,stagger,BATCHDIVIDE4,6.876332623
3,stagger,BATCHDIVIDE4,8.795309168
-1,random_linear,BATCHBISECT,1.172707889
-1,random_linear,BATCHSTOP4,19.45628998
-1,random_linear,BATCHDIVIDE4,7.8891258
-1,random_exponential,BATCHBISECT,-1.759061834
-1,random_exponential,BATCHSTOP4,17.00426439
-1,random_exponential,BATCHDIVIDE4,8.795309168
2,linear,BATCHBISECT,16.14906832
3,linear,BATCHBISECT,13.74223602
4,linear,BATCHBISECT,13.19875776
2,linear,BATCHSTOP4,33.22981366
3,linear,BATCHSTOP4,33.22981366
4,linear,BATCHSTOP4,31.28881988
2,linear,BATCHDIVIDE4,19.8757764
3,linear,BATCHDIVIDE4,19.95341615
4,linear,BATCHDIVIDE4,18.40062112
2,exponential,BATCHBISECT,15.91614907
3,exponential,BATCHBISECT,13.66459627
2,exponential,BATCHSTOP4,33.15217391
3,exponential,BATCHSTOP4,31.75465839
2,exponential,BATCHDIVIDE4,21.89440994
3,exponential,BATCHDIVIDE4,22.20496894
2,stagger,BATCHBISECT,18.71118012
3,stagger,BATCHBISECT,14.9068323
2,stagger,BATCHSTOP4,33.38509317
3,stagger,BATCHSTOP4,31.75465839
2,stagger,BATCHDIVIDE4,20.0310559
3,stagger,BATCHDIVIDE4,19.95341615
-1,random_linear,BATCHBISECT,13.81987578
-1,random_linear,BATCHSTOP4,33.54037267
-1,random_linear,BATCHDIVIDE4,19.8757764
-1,random_exponential,BATCHBISECT,7.763975155
-1,random_exponential,BATCHSTOP4,30.74534161
-1,random_exponential,BATCHDIVIDE4,24.53416149
2,linear,BATCHBISECT,24.00932401
3,linear,BATCHBISECT,22.84382284
4,linear,BATCHBISECT,20.82362082
2,linear,BATCHSTOP4,42.89044289
3,linear,BATCHSTOP4,41.72494172
4,linear,BATCHSTOP4,39.78243978
2,linear,BATCHDIVIDE4,30.22533023
3,linear,BATCHDIVIDE4,28.36052836
4,linear,BATCHDIVIDE4,29.37062937
2,exponential,BATCHBISECT,26.4957265
3,exponential,BATCHBISECT,20.9013209
2,exponential,BATCHSTOP4,42.96814297
3,exponential,BATCHSTOP4,39.93783994
2,exponential,BATCHDIVIDE4,29.37062937
3,exponential,BATCHDIVIDE4,32.47863248
2,stagger,BATCHBISECT,29.91452991
3,stagger,BATCHBISECT,27.66122766
2,stagger,BATCHSTOP4,42.96814297
3,stagger,BATCHSTOP4,42.89044289
2,stagger,BATCHDIVIDE4,28.43822844
3,stagger,BATCHDIVIDE4,30.61383061
-1,random_linear,BATCHBISECT,25.01942502
-1,random_linear,BATCHSTOP4,41.02564103
-1,random_linear,BATCHDIVIDE4,29.6037296
-1,random_exponential,BATCHBISECT,24.94172494
-1,random_exponential,BATCHSTOP4,41.56954157
-1,random_exponential,BATCHDIVIDE4,32.32323232
2,linear,BATCHBISECT,5.733082707
3,linear,BATCHBISECT,5.263157895
4,linear,BATCHBISECT,7.894736842
2,linear,BATCHSTOP4,24.06015038
3,linear,BATCHSTOP4,23.59022556
4,linear,BATCHSTOP4,23.21428571
