project,method,algorithm,batch_size,builds_saved,testall_size,confidence
JabRef-jabref.csv,ssr,BATCHBISECT,1,91.84156036376953,3383,20
JabRef-jabref.csv,ssr,BATCHBISECT,2,88.91516399383545,3383,20
JabRef-jabref.csv,ssr,BATCHBISECT,4,82.58941841125488,3383,20
JabRef-jabref.csv,ssr,BATCHBISECT,8,71.0020694732666,3383,16
JabRef-jabref.csv,ssr,BATCHBISECT,16,59.385162353515625,3383,16
JabRef-jabref.csv,ssr,BATCH4,4,84.77682495117188,3383,20
JabRef-jabref.csv,ssr,BATCHSTOP4,4,84.77682495117188,3383,20
JabRef-jabref.csv,ssr,BATCHSTOP4,8,74.04670333862305,3383,17
JabRef-jabref.csv,ssr,BATCHSTOP4,16,63.2279052734375,3383,16
dreamhead-moco.csv,ssr,BATCHBISECT,1,69.93144035339355,4084,20
dreamhead-moco.csv,ssr,BATCHBISECT,2,56.78256607055664,4084,20
dreamhead-moco.csv,ssr,BATCHBISECT,4,47.698333740234375,4084,20
dreamhead-moco.csv,ssr,BATCHBISECT,8,33.863861083984375,4084,19
dreamhead-moco.csv,ssr,BATCHBISECT,16,23.506362915039062,4084,20
dreamhead-moco.csv,ssr,BATCH4,4,60.3330078125,4084,20
dreamhead-moco.csv,ssr,BATCHSTOP4,4,60.3330078125,4084,20
dreamhead-moco.csv,ssr,BATCHSTOP4,8,47.575904846191406,4084,19
dreamhead-moco.csv,ssr,BATCHSTOP4,16,38.834476470947266,4084,20
DSpace-DSpace.csv,ssr,BATCHBISECT,1,92.2404932975769,1946,20
DSpace-DSpace.csv,ssr,BATCHBISECT,2,87.35868453979492,1946,20
DSpace-DSpace.csv,ssr,BATCHBISECT,4,83.09352493286133,1946,16
DSpace-DSpace.csv,ssr,BATCHBISECT,8,75.8992805480957,1946,20
DSpace-DSpace.csv,ssr,BATCHBISECT,16,67.57451248168945,1946,19
DSpace-DSpace.csv,ssr,BATCH4,4,85.14902400970459,1946,16
DSpace-DSpace.csv,ssr,BATCHSTOP4,4,85.14902400970459,1946,16
DSpace-DSpace.csv,ssr,BATCHSTOP4,8,78.36587905883789,1946,20
DSpace-DSpace.csv,ssr,BATCHSTOP4,16,70.24666023254395,1946,19
RS485-LogisticsPipes.csv,ssr,BATCHBISECT,1,74.03047180175781,2888,20
RS485-LogisticsPipes.csv,ssr,BATCHBISECT,2,66.10110855102539,2888,20
RS485-LogisticsPipes.csv,ssr,BATCHBISECT,4,53.08171844482422,2888,20
RS485-LogisticsPipes.csv,ssr,BATCHBISECT,8,38.885040283203125,2888,20
RS485-LogisticsPipes.csv,ssr,BATCHBISECT,16,25.34626007080078,2888,20
RS485-LogisticsPipes.csv,ssr,BATCH4,4,62.91551208496094,2888,20
RS485-LogisticsPipes.csv,ssr,BATCHSTOP4,4,62.91551208496094,2888,20
RS485-LogisticsPipes.csv,ssr,BATCHSTOP4,8,50.51939010620117,2888,20
RS485-LogisticsPipes.csv,ssr,BATCHSTOP4,16,38.2963981628418,2888,20
